#{"t_start": 1631102788.8981757, "env_id": null}
r,l,t
-17.064276,800,0.221252
-406.99237,274,2.620399
125.47997,800,3.646131
121.666577,800,6.211331
-335.504517,228,8.767034
-346.229537,212,9.496429
227.089061,800,10.35403
-150.012455,591,13.047724
398.470849,800,16.763889
377.133723,800,19.382253
-182.934753,570,21.991761
-365.804808,173,23.860357
-322.826817,259,24.514571
365.007478,800,25.556146
-350.631595,191,28.127713
381.29203,800,28.921359
367.50283,800,31.540864
415.499852,800,35.912893
385.647725,800,38.564036
423.00665,800,41.245095
492.136796,800,43.934516
492.622298,800,46.61136
529.793033,800,49.284075
528.32568,800,53.665668
562.552655,800,56.307069
566.216849,800,59.024167
595.868044,800,61.765002
603.826049,800,64.467179
667.756634,800,67.200349
698.374819,800,71.617906
705.376722,800,74.280199
716.562506,800,77.014626
710.543115,800,79.777958
679.910155,800,82.454109
663.985446,800,85.118557
720.490404,800,87.780486
716.634586,800,92.258676
705.404485,800,95.015866
710.446339,800,97.824326
735.342803,800,100.520158
725.823131,800,103.200427
724.338411,800,105.874689
703.328699,800,110.290991
677.940991,800,112.97649
711.321282,800,115.689754
726.837481,800,118.392924
687.325624,800,121.092128
685.049731,800,123.867171
736.283624,800,128.44894
698.790617,800,131.178383
713.754872,800,133.914968
728.836874,800,136.643584
696.42343,800,139.395282
674.136903,800,142.139001
702.778149,800,146.487442
711.385917,800,149.314149
719.162635,800,152.081812
720.341572,800,154.838141
709.480656,800,157.611989
703.104969,800,160.415108
706.869138,800,163.26933
702.683032,800,167.816058
713.409225,800,170.590666
693.72616,800,173.36966
695.567275,800,176.15222
708.24024,800,178.947221
684.915067,800,181.742711
694.300424,800,186.271241
704.32501,800,189.051472
716.575542,800,191.97068
713.5101,800,194.787224
718.990359,800,197.577343
696.071025,800,200.368549
686.527964,800,204.865433
682.687908,800,207.699835
684.216903,800,210.623431
659.10678,800,213.575159
704.017926,800,216.517235
679.443566,800,219.578207
696.355866,800,224.195376
697.380655,800,227.076345
692.746454,800,229.95947
708.707984,800,232.863957
686.923135,800,235.771193
705.961279,800,238.694247
669.576519,800,241.646562
693.72989,800,246.289047
670.565102,800,249.264416
683.404663,800,252.248514
703.665521,800,255.245522
688.110728,800,258.247995
66.850527,583,261.190936
682.701934,800,265.030771
667.516579,800,267.80473
670.635994,800,270.593958
672.284217,800,273.398571
684.398025,800,276.282953
683.739217,800,279.274293
682.480677,800,283.914049
697.25571,800,286.95338
725.981812,800,289.927363
683.774027,800,292.891533
649.932796,800,295.855061
135.992101,642,298.787403
660.972467,800,301.206911
662.805448,800,305.840736
713.641092,800,308.814459
672.670113,800,311.788852
693.461986,800,314.76777
671.721536,800,317.746861
678.538525,800,320.73026
667.079451,800,325.387923
688.10143,800,328.362098
-126.809918,338,331.219132
695.108113,800,332.599015
684.911263,800,335.568286
714.634124,800,338.534281
673.972546,800,341.51602
697.806221,800,346.162992
676.877449,800,349.141111
698.012441,800,352.115243
726.816586,800,355.177296
659.289444,800,358.162312
686.766588,800,361.175864
686.967965,800,365.818552
656.234536,800,368.797558
682.693417,800,371.775196
669.580182,800,374.75625
688.842033,800,377.744659
671.269458,800,380.739609
684.006219,800,385.391256
672.430226,800,388.38788
683.450935,800,391.390381
707.098889,800,394.393629
699.231877,800,397.397791
697.066796,800,400.392381
663.164135,800,403.397686
703.086425,800,408.076691
689.207746,800,411.073886
678.785774,800,414.143206
718.183005,800,417.136168
664.243376,800,420.125854
704.097253,800,423.114676
690.49061,800,427.77117
676.633971,800,430.766379
679.123682,800,433.763516
688.041042,800,436.747673
685.142843,800,439.732748
674.25511,800,442.712522
-400.952543,39,445.520553
670.608335,800,447.543414
691.415219,800,450.53887
657.474681,800,453.539342
650.455926,800,456.53311
637.907159,800,459.524973
638.744735,800,462.517577
699.11734,800,467.178851
637.914165,800,470.170444
642.378143,800,473.151869
655.954089,800,476.126442
670.31153,800,479.105963
694.45762,800,482.096397
670.136054,800,485.09061
634.126173,800,489.751019
676.163291,800,492.745772
-232.274978,261,495.589218
690.400084,800,496.702532
691.067957,800,499.701232
670.668519,800,502.70783
702.726902,800,505.725127
-35.461701,456,510.318379
721.11295,800,512.123422
694.184701,800,515.126382
682.881535,800,518.128021
713.06507,800,521.118905
701.972545,800,524.131828
668.975278,800,528.794879
710.130911,800,531.790179
673.985428,800,534.797588
679.003877,800,537.810801
658.436096,800,540.81343
695.157449,800,543.798875
716.098707,800,548.446976
654.438297,800,551.446362
666.746688,800,554.438389
688.420712,800,557.432913
690.4687,800,560.423913
684.461814,800,563.428712
683.34572,800,566.428277
688.886607,800,571.084863
700.572484,800,574.083881
700.598072,800,577.084733
677.123943,800,580.078161
730.12582,800,583.082132
704.399289,800,586.082573
643.890751,800,590.757243
