#{"t_start": 1626110858.0622234, "env_id": null}
r,l,t
-401.883541,24,0.009999
-39.368499,800,0.289082
-79.445202,800,2.629713
-0.998018,800,5.006073
-2.046294,800,7.373733
1.325848,800,9.74926
6.263176,800,12.126343
29.100142,800,16.268653
18.013529,800,18.646486
57.814009,800,21.013705
-75.689557,785,23.359386
-325.857103,268,25.516125
273.687936,800,26.452458
357.194242,800,28.813649
324.172728,800,32.889611
-191.241941,520,35.176558
-313.183859,237,36.6335
386.74313,800,37.490842
372.104486,800,39.845931
371.909867,800,42.2005
398.07686,800,44.564123
376.883611,800,48.640825
423.795186,800,51.015258
401.986404,800,53.369958
401.016659,800,55.732359
440.594316,800,58.098729
445.395541,800,60.457433
465.325673,800,64.546493
471.490112,800,66.899317
504.629634,800,69.266611
508.609369,800,71.627039
521.319921,800,73.975486
536.811311,800,76.347013
538.605735,800,80.04391
-56.539882,556,82.346476
569.535546,800,84.055471
187.84284,779,86.415996
-196.789526,285,88.591808
-288.016412,204,89.408832
577.559185,800,90.169934
98.338183,667,92.508208
709.417294,800,94.519153
656.40619,800,98.614669
672.495451,800,100.992768
719.19159,800,103.360234
688.896235,800,105.729388
121.686561,625,108.06008
684.268184,800,109.967862
722.231267,800,114.006081
703.950209,800,116.387541
692.464521,800,118.770144
710.412412,800,121.151429
701.813519,800,123.53009
673.243193,800,125.92072
700.950844,800,130.13491
679.451633,800,132.511338
691.148026,800,134.889812
709.055056,800,137.278671
726.494308,800,139.666247
724.698529,800,142.051929
675.460496,800,144.435045
-371.960906,91,148.357954
703.240128,800,148.815308
712.44923,800,151.191591
705.459134,800,153.580732
702.679753,800,155.973854
673.623426,800,158.362351
707.94256,800,160.750391
-364.493424,98,162.960897
710.792652,800,165.162552
666.029383,800,167.563928
-74.737462,431,169.872999
659.87216,800,171.273921
724.466638,800,173.692406
716.289905,800,176.120193
9.754179,472,178.460118
708.525901,800,181.704539
715.303653,800,184.128126
721.617727,800,186.554476
675.630702,800,188.984899
697.148664,800,191.421714
724.296053,800,193.85898
695.365649,800,198.035812
661.867632,800,200.474413
656.29725,800,202.918737
684.753737,800,205.364092
-233.488908,271,207.668381
11.512099,494,208.559973
695.762174,800,210.148899
677.651799,800,214.307422
706.108569,800,216.758501
-201.85721,269,219.065366
222.852343,738,220.008618
700.194359,800,222.28545
694.571022,800,224.739205
90.755758,580,227.136677
16.446918,552,228.914357
28.543015,562,232.211403
699.424849,800,233.996851
687.542339,800,236.445987
711.754912,800,238.905056
680.775661,800,241.375308
675.254723,800,243.838968
643.173105,800,248.01175
669.873972,800,250.481726
648.047632,800,252.941516
679.048135,800,255.406592
701.831981,800,257.861753
688.543258,800,260.328142
682.606751,800,262.802383
678.776784,800,266.981466
680.728439,800,269.457895
668.750952,800,271.926917
674.92873,800,274.396964
696.891822,800,276.865231
-400.093675,37,279.141438
-400.819088,37,279.255978
716.190766,800,279.573901
666.875902,800,283.792247
715.212273,800,286.27089
645.485896,800,288.755025
659.03079,800,291.22164
695.860078,800,293.697052
668.000848,800,296.176195
688.458859,800,300.370016
672.351656,800,302.843956
684.469826,800,305.325531
703.265343,800,307.809634
649.780466,800,310.28845
716.070604,800,312.770395
684.219787,800,316.968215
662.154065,800,319.449177
-211.645254,263,321.783754
698.936192,800,322.73844
690.028044,800,325.21141
685.702715,800,327.691405
693.721231,800,330.146623
684.706048,800,334.34552
663.370621,800,336.816046
682.406884,800,339.288785
666.445294,800,341.757389
696.972085,800,344.229659
654.258616,800,346.697897
666.778352,800,350.908498
693.004092,800,353.384076
658.354184,800,355.858472
-93.025341,394,358.223757
717.026681,800,359.547001
690.424356,800,362.014237
647.772569,800,364.46767
663.512644,800,368.635653
670.023724,800,371.105082
711.473837,800,373.564142
691.686268,800,376.025055
-401.330742,36,378.284588
664.055083,800,378.60218
674.696479,800,381.059315
700.79238,800,385.246744
658.839246,800,387.712491
669.949045,800,390.177308
664.314605,800,392.655719
657.434697,800,395.132373
669.680873,800,397.615419
710.310476,800,400.088634
690.281908,800,404.255573
672.361185,800,406.731065
646.088694,800,409.197841
673.782634,800,411.669413
694.212253,800,414.138367
667.214379,800,416.607809
684.075338,800,420.799032
690.087607,800,423.275886
668.955251,800,425.759482
659.98628,800,428.229629
686.628542,800,430.708107
-90.506952,404,433.093148
703.690668,800,434.455923
681.797757,800,438.64608
655.85889,800,441.132005
-371.587198,97,443.426415
690.385492,800,443.917701
664.423985,800,446.40873
666.891056,800,448.888299
638.359128,800,451.376102
687.002083,800,455.577127
676.59047,800,458.06056
632.184369,800,460.540538
673.957658,800,463.026577
-362.662651,128,465.330997
200.986228,729,465.891022
668.716245,800,468.186001
-24.885909,479,472.300476
673.647329,800,473.88389
670.5564,800,476.37422
663.39343,800,478.87423
679.45312,800,481.371949
-208.059213,274,483.720299
636.894282,800,484.711511
682.933271,800,488.936562
697.507088,800,491.432432
675.197153,800,493.919732
700.947939,800,496.419324
685.178319,800,498.900509
650.132313,800,501.377953
690.49198,800,503.854681
670.036915,800,508.031108
