#{"t_start": 1626114941.350464, "env_id": null}
r,l,t
-419.647766,224,0.065739
119.716969,800,0.880457
-243.085613,653,3.108822
-360.691315,248,4.893814
-368.302542,170,5.5995
-364.588052,305,6.132093
-335.708116,288,7.014571
-398.333891,130,7.804277
-384.631001,171,8.195667
-8.013085,800,8.871147
-404.493142,42,10.990833
-362.584812,257,11.175766
-405.143943,37,11.857867
-401.750538,16,11.960698
-401.724844,16,12.007601
-401.754989,17,12.054774
-401.571558,16,12.104346
-401.468893,13,12.151094
-401.79507,15,12.189762
-401.795715,16,12.233981
-406.339333,42,12.288725
-401.832684,16,12.404493
-401.647781,18,12.451608
-401.468893,13,12.503525
-404.655713,42,12.549996
-401.468893,13,12.665465
-402.829464,22,12.705631
-401.555143,17,12.768976
-401.543188,15,12.818419
-401.468893,13,12.862337
-401.551973,14,12.901102
-401.571558,15,12.942936
-401.986224,17,12.987617
-401.620822,15,13.037009
-401.468893,14,13.080978
-401.543188,15,13.122804
-402.111215,40,13.173281
-365.394149,231,13.346174
-402.115649,17,13.957842
-401.987565,18,14.00773
-401.511524,14,14.059698
-401.724844,16,14.101771
-401.602253,17,14.149209
-403.484549,40,14.205585
-401.525229,14,14.315171
-401.960279,18,14.357415
-402.141407,18,14.40987
-401.689378,17,14.462734
-402.430791,19,14.551057
-402.907471,25,14.608504
-401.468893,13,14.678714
-401.532913,16,14.7176
-401.551973,14,14.764375
-401.597713,14,14.805595
-402.259346,18,14.847949
-401.532108,17,14.90002
-401.61142,17,14.950166
-401.468893,13,14.999047
-402.35069,20,15.038966
-401.468893,13,15.095562
-401.468893,13,15.134257
-401.717646,22,15.174442
-401.468893,13,15.236909
-404.700118,42,15.282112
-401.601122,15,15.398376
-401.468893,13,15.441853
-401.461697,15,15.480892
-401.468893,13,15.524485
-401.895259,17,15.563772
-402.352911,21,15.613798
-401.862972,15,15.67351
-402.13423,19,15.718106
-402.3247,21,15.774057
-401.468893,13,15.833332
-401.551973,14,15.871841
-401.468893,13,15.91286
-401.822452,17,15.952352
-402.493718,19,16.002644
-401.468893,13,16.057084
-401.732382,14,16.095422
-402.455685,20,16.138215
-401.468893,13,16.194253
-401.740475,17,16.233422
-401.74793,15,16.282478
-401.468893,13,16.325962
-405.805468,36,16.370332
-401.487974,16,16.470203
-401.538623,14,16.516378
-402.105886,16,16.558374
-402.576076,20,16.606146
-401.468893,13,16.663246
-401.625895,17,16.701882
-403.685127,27,16.753848
-405.261953,37,16.835228
-401.734732,15,16.937778
-405.143353,34,16.986629
-401.93392,20,17.082177
-401.601122,15,17.139018
-402.049994,19,17.1838
-402.654198,22,17.240122
-402.542328,19,17.304125
-405.21172,34,17.363809
-401.573104,16,17.459401
-405.427506,35,17.511057
-281.500484,325,17.694806
-405.85313,33,18.558087
-261.068466,336,18.738066
-401.784098,18,19.614348
-406.022166,36,19.671698
-405.952698,38,19.777047
-401.468893,13,19.879726
-409.808256,65,19.932107
-403.833332,36,20.11135
-401.468893,13,20.20919
-405.223926,37,20.253357
-404.163106,35,20.360689
-404.183233,33,20.461011
-403.940928,36,20.557068
-406.466909,42,20.662785
-253.862729,384,20.876498
-405.726477,39,21.889833
-404.463374,32,21.99954
-404.878686,36,22.092887
-402.329252,38,22.196967
-404.995071,34,22.306076
-330.565736,248,22.462716
-412.975834,67,23.129979
-415.526224,78,23.324309
-332.979248,276,23.606128
160.293843,800,24.54529
-411.33779,82,26.655653
-413.959486,123,26.905311
-408.16805,54,27.239696
351.057574,800,28.977342
-407.586567,52,31.078237
-433.790531,200,31.27006
370.260461,800,32.025192
-108.015784,800,34.327734
-47.384311,800,36.636537
-28.833886,800,38.962243
-3.470278,800,41.266655
-10.163204,800,45.394262
4.318603,800,47.696119
309.69676,800,49.993818
226.792777,800,52.318295
-306.584547,434,54.535633
-307.049996,441,55.796331
-406.076261,159,56.98965
-405.005865,104,57.43552
-343.516964,262,57.786196
-156.087863,560,58.63219
-391.710017,184,60.156471
-341.436792,246,61.181458
-271.913131,312,61.911562
-325.327908,224,62.795758
-266.063079,312,63.472758
-402.743951,37,64.304526
-351.121365,157,64.444977
-284.672487,288,64.935271
-403.235599,38,65.704365
383.32725,800,66.028867
-317.958575,295,68.213349
-255.046583,378,69.08659
-290.44216,276,70.150061
-341.23197,195,70.930537
-325.157544,253,71.509517
-301.729223,281,72.254172
-306.464887,254,73.059895
-192.383699,509,73.863148
358.909503,800,77.247639
332.008462,800,79.565151
-13.282552,800,81.890025
129.281588,800,84.217393
-30.519895,800,86.529854
358.597258,800,88.850088
353.674804,800,91.899542
420.209787,800,94.230567
403.855543,800,96.543712
407.676151,800,98.863609
-303.496722,259,101.038628
449.684525,800,101.950919
-202.158299,541,104.225503
377.502119,800,107.707648
367.484087,800,110.037853
344.758228,800,112.371964
368.70928,800,114.714437
416.333917,800,117.061167
367.644877,800,119.396403
386.650068,800,121.723098
431.328287,800,125.88482
461.112799,800,128.219834
386.259775,800,130.551594
499.67008,800,132.903551
501.379786,800,135.247532
484.172122,800,137.58431
319.195079,800,141.726025
329.623796,800,144.074824
410.874314,800,146.409139
413.970506,800,148.748698
418.81211,800,151.086101
433.379971,800,153.446078
456.824205,800,157.58975
484.825641,800,159.963256
459.400011,800,162.329468
483.679504,800,164.708616
483.511605,800,167.079181
535.330057,800,169.447515
527.622827,800,173.651795
552.636834,800,176.02877
534.01578,800,178.416479
527.551839,800,180.81721
559.146001,800,183.222054
541.969392,800,185.622817
520.923296,800,188.032393
522.057508,800,192.255301
526.631885,800,194.665018
512.084494,800,197.077739
541.787692,800,199.495734
554.850993,800,201.90942
513.846261,800,204.33623
575.743271,800,208.554098
