#{"t_start": 1631057055.682364, "env_id": null}
r,l,t
-403.673433,549,0.204042
4.864232,800,1.881753
-377.982158,374,3.373895
40.767112,800,4.273546
-370.868001,446,5.768674
-403.469963,128,6.55437
-400.600927,48,6.78212
-343.083974,269,6.94282
-407.385883,69,7.412603
-417.818447,236,7.598296
252.802914,800,8.241137
325.475622,800,11.949545
216.165561,800,13.546318
251.770585,800,15.120627
367.374118,800,16.701791
396.690139,800,18.296924
351.138397,800,19.942179
416.059462,800,23.342979
-352.73377,171,24.784235
-318.475018,257,25.157788
430.102159,800,25.86778
382.23674,800,27.531659
432.700885,800,29.191155
-318.40531,177,30.649018
429.372992,800,31.212631
454.547436,800,32.869689
-335.906781,161,34.323365
514.593167,800,36.610721
586.827654,800,38.157718
14.556073,546,39.598139
609.135505,800,40.710157
-154.123462,355,42.09014
673.090495,800,42.892595
639.11694,800,44.406244
612.72208,800,48.117734
643.093524,800,49.705997
665.300469,800,51.290242
667.931233,800,52.875773
659.713947,800,54.468668
691.203445,800,56.059918
703.613544,800,59.911164
669.170129,800,61.492083
696.619545,800,63.067995
693.813579,800,64.653233
715.108748,800,66.347008
674.582569,800,67.959422
711.573206,800,71.827098
727.345443,800,73.43378
708.256686,800,75.017973
706.246627,800,76.647878
708.224538,800,78.23643
709.215093,800,79.829405
696.0588,800,81.415608
723.250903,800,85.062405
706.225468,800,86.720559
135.301707,629,88.33938
720.74111,800,89.728008
723.935217,800,91.438391
690.87446,800,93.147933
-363.161437,123,94.563562
714.756375,800,97.089158
-361.891853,108,98.471253
700.798155,800,98.893682
638.969633,800,100.487183
18.149178,496,101.988831
697.524969,800,103.064762
693.776091,800,104.6519
-218.751344,250,106.076673
-371.816598,100,106.526476
683.475133,800,109.198496
698.808795,800,110.791532
653.059646,800,112.372303
715.826446,800,113.958255
696.924456,800,115.5537
702.784448,800,117.201793
711.716987,800,121.274704
711.156123,800,122.95602
708.694792,800,124.573314
696.820406,800,126.158753
722.55552,800,127.804279
702.223681,800,129.459685
713.869956,800,133.481119
715.640555,800,135.133518
688.998576,800,136.781678
741.781693,800,138.423554
685.341381,800,140.030355
687.571623,800,141.620044
692.424868,800,143.230588
-372.947312,92,144.682056
699.650207,800,147.459436
704.382544,800,149.089795
713.11271,800,150.717007
691.123434,800,152.345677
700.705335,800,153.981517
709.54136,800,155.611874
670.334353,800,159.602446
691.313818,800,161.346383
682.463693,800,163.013694
672.238159,800,164.699574
707.469343,800,166.417311
693.822237,800,168.129878
678.064839,800,172.288197
690.621535,800,173.895212
700.537307,800,175.499327
677.536193,800,177.101261
695.852473,800,178.704174
670.839495,800,180.371855
669.976842,800,184.386612
680.670205,800,185.975152
678.446986,800,187.559522
693.897939,800,189.143445
683.592997,800,190.723245
704.841365,800,192.304487
664.93959,800,193.886665
646.042286,800,197.996167
638.365274,800,199.892873
629.924218,800,201.475614
717.703088,800,203.060796
658.658758,800,204.643448
662.779925,800,206.222652
704.888189,800,210.172354
41.38058,562,211.684294
667.155464,800,212.879767
682.509918,800,214.510989
47.604491,523,216.083246
700.074749,800,217.212471
682.387789,800,218.78511
674.537678,800,222.621688
-249.779777,224,224.028082
651.190296,800,224.651663
669.316293,800,226.225671
157.701464,646,227.759529
686.818959,800,229.07682
690.964264,800,230.647841
704.680036,800,234.482037
-156.677879,324,235.936766
666.152978,800,236.720733
697.695565,800,238.307037
696.018867,800,239.893424
701.778818,800,241.477611
717.917842,800,243.062228
697.535986,800,246.913109
711.785095,800,248.507648
-184.721041,293,249.947575
722.209911,800,250.690818
690.834713,800,252.289079
-130.568445,336,253.7479
-278.916992,185,254.378686
669.521341,800,254.936679
669.736474,800,258.799265
665.874351,800,260.413493
691.277561,800,262.008001
674.289134,800,263.600446
-11.238427,505,265.10308
-263.054444,222,266.015696
-48.313321,447,266.528391
680.115886,800,267.518143
674.44108,800,271.382036
675.088607,800,272.971221
705.288407,800,274.574289
682.061329,800,276.17497
704.583064,800,277.768872
699.705129,800,279.367029
647.820993,800,283.247186
657.364443,800,284.862725
689.118175,800,286.458859
687.339164,800,288.045031
691.280295,800,289.679321
700.330255,800,291.327936
697.753875,800,295.359079
668.521686,800,297.019968
673.679583,800,298.645365
-352.43669,114,300.024575
-159.949831,328,300.315905
677.165802,800,301.113732
698.03846,800,302.701355
672.492539,800,304.292369
690.375547,800,308.162349
705.575232,800,309.762602
726.13187,800,311.355349
648.699201,800,312.939256
683.766532,800,314.571393
687.364721,800,316.27482
680.041667,800,320.455395
-151.508745,322,322.017329
684.561169,800,322.858422
692.935165,800,324.573834
704.204621,800,326.283999
700.947078,800,327.986388
-35.413012,478,330.04113
704.555539,800,333.639049
713.299379,800,335.340296
702.731339,800,336.970369
698.065608,800,338.597313
655.870863,800,340.230904
682.555097,800,341.866494
726.98216,800,343.48274
692.873291,800,347.339931
692.797167,800,348.967942
688.197407,800,350.557488
-299.862846,163,351.952416
724.606184,800,352.47149
-96.476989,378,353.931827
641.659794,800,354.814448
678.646063,800,358.669065
644.59881,800,360.265699
683.526579,800,361.870577
700.389263,800,363.461374
706.823659,800,365.058788
687.149142,800,366.656092
717.136358,800,370.540411
