#{"t_start": 1631050242.93206, "env_id": null}
r,l,t
-2.107351,800,0.331853
-15.728054,800,1.940482
66.044379,800,3.509129
-375.966558,432,4.960213
-384.449329,236,5.753552
-295.999456,367,6.26022
126.15398,800,7.117197
-298.641755,375,8.560612
336.134169,800,11.795227
40.657427,800,13.459522
358.688311,800,15.109366
348.70107,800,16.755143
321.412241,800,18.394973
16.625951,800,20.023552
321.517945,800,23.986336
382.957935,800,25.613577
-287.730038,343,27.090896
-300.761061,318,27.777127
-314.029472,341,28.429562
-292.728455,397,29.13717
-297.035533,380,29.931149
-327.139663,331,30.692728
-263.572854,397,31.380712
-237.627541,447,32.197047
-297.632579,276,33.045386
-278.433666,324,33.6201
-207.142618,510,36.670237
366.044749,800,37.828238
-202.066189,421,39.388877
452.21096,800,40.39558
476.495035,800,42.089363
458.463037,800,43.777116
449.291404,800,45.44999
-162.784503,479,47.010996
450.118449,800,50.258802
-80.50598,592,51.844606
468.870477,800,53.11954
449.862586,800,54.751476
479.635702,800,56.373094
484.777097,800,57.990694
505.01955,800,61.958295
504.662445,800,63.568861
560.063116,800,65.165108
559.747935,800,66.762625
511.309797,800,68.360931
547.021227,800,70.006705
558.572588,800,73.985884
589.797727,800,75.672837
-228.571434,292,77.19161
600.598356,800,77.953874
612.999583,800,79.57225
595.440297,800,81.197219
583.648345,800,82.772325
628.686928,800,86.621746
637.737102,800,88.219057
592.649513,800,89.762897
645.187181,800,91.277369
624.695922,800,92.790675
636.779406,800,94.357754
562.727064,800,98.198874
586.578211,800,99.834114
609.985798,800,101.499585
643.025511,800,103.150132
640.63468,800,104.809903
605.788276,800,106.473112
649.341267,800,108.130334
636.025585,800,112.008044
647.535376,800,113.59413
609.278159,800,115.173642
656.775004,800,116.750948
620.805376,800,118.330756
626.446727,800,119.908778
641.788206,800,123.70647
616.373638,800,125.234958
597.900387,800,126.807537
573.079063,800,128.377156
648.186379,800,129.947551
606.75718,800,131.588652
656.974038,800,135.586103
611.587891,800,137.244991
600.673938,800,138.907695
649.188245,800,140.558092
634.97624,800,142.212245
635.810659,800,143.873269
622.616421,800,148.130468
594.762521,800,149.782892
611.637347,800,151.382183
656.581553,800,153.00773
622.102363,800,154.645098
604.729077,800,156.279336
593.942906,800,157.912176
-402.149914,46,159.307798
656.37712,800,161.998098
643.639465,800,163.635738
646.330138,800,165.266257
656.326156,800,166.899332
686.459594,800,168.530292
595.02541,800,170.155011
675.396258,800,174.132567
612.725933,800,175.769954
632.250791,800,177.398004
605.84185,800,179.02993
627.95355,800,180.661123
662.62441,800,182.344484
596.723586,800,186.30063
664.3291,800,187.926339
646.834077,800,189.547168
589.229651,800,191.134428
615.710138,800,192.743463
640.91037,800,194.367476
666.491928,800,198.353158
682.125397,800,199.938433
642.739977,800,201.518264
646.156317,800,203.088759
625.86951,800,204.65708
636.568038,800,206.234165
677.962083,800,207.810421
661.133475,800,211.638517
655.017994,800,213.216328
660.390682,800,214.793071
681.900316,800,216.384124
637.26255,800,217.969074
658.938682,800,219.552675
668.602397,800,223.374933
662.029002,800,224.95402
643.586779,800,226.535067
647.158605,800,228.113154
604.993137,800,229.6852
645.862324,800,231.285181
649.454204,800,235.316599
630.682103,800,236.977705
659.848413,800,238.632026
695.91789,800,240.303416
662.420608,800,242.021168
688.496391,800,243.676334
677.590885,800,247.697615
665.28584,800,249.360331
650.921258,800,251.026837
643.841034,800,252.66775
673.966526,800,254.306413
668.524803,800,255.93345
651.627279,800,257.543815
654.360399,800,261.511129
659.948258,800,263.14674
687.778874,800,264.762917
644.073767,800,266.434035
626.328746,800,268.062046
669.076102,800,269.688302
631.948592,800,273.686278
674.933171,800,275.345645
665.322762,800,277.001126
690.42604,800,278.665105
688.055104,800,280.267351
654.695272,800,281.845444
644.826235,800,285.660249
652.65695,800,287.248136
659.29873,800,288.812665
654.068926,800,290.404513
703.445412,800,291.992474
657.168534,800,293.581898
640.56334,800,297.397463
642.743788,800,298.975515
633.000598,800,300.488472
683.431228,800,302.069873
654.738085,800,303.655726
659.380945,800,305.234123
638.159768,800,306.814558
639.960004,800,310.627076
689.937767,800,312.215546
619.423341,800,313.787014
656.424746,800,315.362103
640.149847,800,316.9376
-402.377449,43,318.296896
689.303835,800,318.605965
647.674465,800,322.423428
674.722761,800,324.036374
661.31825,800,325.673326
664.561969,800,327.30534
692.888793,800,328.903925
630.959566,800,330.538154
667.092932,800,334.562395
661.802,800,336.238906
589.957374,800,337.896154
646.80869,800,339.549373
654.678327,800,341.210872
620.532182,800,342.868949
690.820813,800,347.34989
669.128705,800,349.028676
646.561133,800,350.693653
654.738219,800,352.353523
608.936158,800,354.014737
675.926835,800,355.693492
638.488144,800,357.337159
682.028449,800,361.376006
621.545948,800,363.045964
627.628222,800,364.688353
647.01009,800,366.31729
668.829064,800,368.442428
609.154862,800,370.10069
678.79106,800,374.107575
