#{"t_start": 1626104305.4361007, "env_id": null}
r,l,t
-1.2578,800,0.459414
-96.777143,800,5.325091
3.755969,800,10.678313
-2.466873,800,16.693867
-380.073869,538,23.92033
43.721584,800,27.271777
56.497368,800,33.98598
78.498721,800,37.936224
-0.730528,800,42.003269
4.609536,800,46.117519
50.110956,800,50.363532
0.079049,800,54.435489
-0.266996,800,61.516272
28.765064,800,65.726899
59.399041,800,69.898816
122.330825,800,73.976555
160.881741,800,78.00237
185.18618,800,82.333475
190.463264,800,85.951294
200.876522,800,91.868344
208.830595,800,95.53388
217.631604,800,99.237869
238.895691,800,102.945672
235.031071,800,106.591753
230.99591,800,110.259314
254.110958,800,116.240391
222.998661,800,119.867068
235.689288,800,123.498497
270.599494,800,127.169997
253.705356,800,130.878074
260.29362,800,134.491583
300.83606,800,140.406125
264.02481,800,144.331678
282.321842,800,148.509326
313.072584,800,152.197456
286.469542,800,156.834825
290.029887,800,161.090801
315.019659,800,167.7784
281.75695,800,171.545392
274.933413,800,175.293763
292.729406,800,178.981537
327.697997,800,183.247595
308.594048,800,187.356959
304.444313,800,191.883745
298.209178,800,198.232014
270.966311,800,201.570956
294.159513,800,204.916592
314.325937,800,208.291662
333.01529,800,211.639717
302.050587,800,214.982199
297.050435,800,220.525837
283.035769,800,223.88696
297.257538,800,227.225314
339.680668,800,230.547009
339.707953,800,233.840632
355.926993,800,237.187181
327.126927,800,242.768892
345.166486,800,246.10352
336.119624,800,249.485987
331.376277,800,252.892553
303.795026,800,256.242189
378.300512,800,259.57878
376.639114,800,265.163429
376.666308,800,268.518765
302.383676,800,271.872751
351.399207,800,276.171569
359.6349,800,279.612575
352.595226,800,283.004901
346.560615,800,286.38488
280.951262,800,291.986305
311.614335,800,295.412571
349.89228,800,298.948987
342.621434,800,302.426648
331.661058,800,305.967113
313.967197,800,309.531419
291.782473,800,315.339478
286.351872,800,318.921446
367.154997,800,322.517994
369.777095,800,326.096157
364.472006,800,329.675107
339.817837,800,333.267368
357.0555,800,339.129929
353.961269,800,342.735432
361.155513,800,346.333439
340.87515,800,349.947464
317.683863,800,353.560272
355.71607,800,357.188557
394.137558,800,363.042747
336.229689,800,367.687138
343.987755,800,371.300236
351.294502,800,374.932797
329.925622,800,378.591327
353.261749,800,382.242755
339.747236,800,385.904405
323.371802,800,391.370008
326.04233,800,395.009863
314.607416,800,398.654802
330.255397,800,402.30389
349.854311,800,405.941621
339.173917,800,409.565269
332.850335,800,415.464514
420.089265,800,419.112227
347.584956,800,422.745441
333.896777,800,426.377906
375.440804,800,430.039064
393.202154,800,433.708238
347.229982,800,439.513584
436.797443,800,443.15435
432.576613,800,446.803343
413.990727,800,450.439531
352.468422,800,454.113271
419.492625,800,457.797642
401.413089,800,463.717091
377.961604,800,467.372756
317.468115,800,471.016001
382.281845,800,474.655982
357.518899,800,478.353587
338.12078,800,482.018309
455.707858,800,485.685876
430.706873,800,491.807723
276.418996,800,495.51598
429.797193,800,499.150612
387.849138,800,503.192583
383.905163,800,506.824249
392.41849,800,510.473504
388.617072,800,516.362231
419.310821,800,520.022458
351.958543,800,523.658694
377.906703,800,527.294128
463.532282,800,530.950836
416.274598,800,534.611514
391.669665,800,540.507328
349.55834,800,544.113731
404.326706,800,547.743325
407.830412,800,551.338623
316.46445,800,554.966616
424.055653,800,558.561667
342.525342,800,564.429137
474.918745,800,568.088959
440.135901,800,571.738871
463.230677,800,575.409337
360.178619,800,579.094511
371.268664,800,582.757263
335.029489,800,586.428419
366.743366,800,592.328338
387.248119,800,595.997461
410.013222,800,599.667774
422.188625,800,603.315884
352.055726,800,606.975189
357.058224,800,611.573171
369.348951,800,617.501509
419.14459,800,621.177836
404.532536,800,624.860403
393.507255,800,628.557988
339.504738,800,632.238076
322.63417,800,635.909326
433.754976,800,641.81848
394.019027,800,645.478358
435.228013,800,649.137417
442.317584,800,652.826859
390.908724,800,656.472703
437.74925,800,660.127593
392.406769,800,666.054782
489.667253,800,669.722346
418.418464,800,673.383218
341.170776,800,677.050678
386.563103,800,680.703729
466.554869,800,684.376705
405.661614,800,688.051791
386.146622,800,694.101121
380.892509,800,700.298575
331.497451,800,706.143439
352.908603,800,712.287081
322.449284,800,715.958148
415.668639,800,719.601737
305.543227,800,725.452976
384.344152,800,729.117633
312.085002,800,732.774388
395.304179,800,736.406969
395.145286,800,740.046463
365.99406,800,743.669091
332.414109,800,749.564233
377.347337,800,753.23292
390.769266,800,756.900927
456.803407,800,760.567957
376.061377,800,764.199439
406.256328,800,767.85806
433.987162,800,773.724297
