#{"t_start": 1626428076.9644241, "env_id": null}
r,l,t
-3.153161,800,0.214925
-404.393551,38,2.501356
-448.595819,799,2.822926
-402.990085,34,5.173304
26.371922,800,5.487316
-19.696649,800,8.028226
140.761931,800,10.601388
216.878664,800,13.138136
343.124805,800,17.386747
237.180713,800,19.935186
246.141062,800,22.458848
141.102459,800,25.006126
253.711541,800,27.553405
31.938893,800,30.12493
309.727635,800,34.397448
302.260373,800,36.981743
423.79674,800,39.558968
389.825408,800,42.123695
357.460136,800,44.716969
-156.721274,479,47.227937
425.55429,800,48.855689
448.669024,800,52.862281
429.676867,800,55.443703
-84.446373,692,57.99862
-272.987376,272,60.140848
-49.839594,610,61.110208
-296.445032,268,63.002732
436.954757,800,64.014418
-166.098478,410,66.532424
490.842382,800,68.886943
-195.22393,390,71.359969
504.135899,800,72.726536
473.270985,800,75.31315
553.804548,800,77.889694
573.269022,800,80.46513
624.790218,800,83.047143
618.33744,800,87.307835
609.925671,800,89.908501
600.537846,800,92.507726
629.934316,800,95.108167
611.556571,800,97.707811
608.934445,800,100.302388
650.131066,800,104.565024
642.024703,800,107.160978
658.946686,800,109.757356
670.492681,800,112.347758
633.592517,800,114.95177
650.857768,800,117.560275
659.198869,800,121.848113
624.978084,800,124.461997
659.76474,800,127.073127
649.392803,800,129.691992
605.061075,800,132.299357
646.084681,800,134.895857
607.482698,800,137.510066
629.172133,800,141.798491
618.372242,800,144.428313
621.139153,800,147.057328
668.603401,800,149.693726
615.189493,800,152.332446
629.243639,800,154.967339
610.011205,800,159.257463
623.40924,800,161.902632
613.07438,800,164.546734
642.096677,800,167.198299
617.017081,800,169.849858
643.391389,800,172.504626
628.39929,800,176.756328
593.223528,800,179.399051
643.047347,800,182.070141
642.953078,800,184.741729
616.631783,800,187.419237
559.652391,800,190.114961
635.352045,800,194.470429
614.798928,800,197.170206
629.517452,800,199.854864
621.646645,800,202.578125
589.393665,800,205.289991
625.044108,800,208.003777
641.94229,800,210.739371
631.074724,800,215.133792
635.284171,800,217.876081
634.426758,800,220.6347
578.491695,800,223.393005
635.853397,800,226.159395
642.947744,800,228.923523
641.764941,800,233.357993
642.473164,800,236.117991
632.125203,800,238.889777
613.630504,800,241.65801
634.565704,800,244.435091
599.03891,800,247.199606
634.489858,800,251.627245
600.980969,800,254.372235
608.033014,800,257.132887
637.003697,800,259.894167
608.403201,800,262.644238
633.586998,800,265.39384
650.517565,800,269.813106
645.335634,800,272.585365
619.12144,800,275.360266
656.767952,800,278.145081
622.595841,800,280.910791
618.983829,800,283.686136
648.193296,800,286.458536
653.688393,800,290.911097
683.048246,800,293.675395
661.098306,800,296.442113
666.960358,800,299.212164
644.8941,800,301.991713
641.266818,800,304.76071
624.443165,800,309.233762
601.396872,800,311.995987
605.455397,800,314.754213
608.480765,800,317.519158
670.144387,800,320.295625
625.189727,800,323.075343
631.257568,800,327.603018
629.941951,800,330.392958
591.964407,800,333.168415
640.082297,800,335.960905
641.76921,800,338.735886
651.275022,800,341.524175
637.577845,800,345.955701
665.61171,800,348.717158
657.665585,800,351.506626
655.735311,800,354.271376
671.75023,800,357.045572
634.547874,800,359.829473
662.151547,800,362.595906
658.20145,800,367.014865
616.418144,800,369.784317
610.582965,800,372.538384
621.344411,800,375.306957
621.487012,800,378.09159
643.646554,800,380.862981
646.331939,800,385.311193
603.198316,800,388.057437
644.300062,800,390.802329
635.720966,800,393.579087
645.761588,800,396.348033
612.672244,800,399.118113
647.77083,800,403.554797
652.269928,800,406.319952
655.731547,800,409.092031
627.151604,800,411.877998
614.767678,800,414.657252
622.585762,800,417.435266
615.890008,800,421.93653
620.097649,800,424.721711
650.026754,800,427.48911
639.99104,800,430.258862
625.670126,800,433.029895
650.649507,800,435.807402
648.213416,800,438.583738
565.78162,800,443.115404
612.44207,800,445.883921
632.537427,800,448.661893
594.917402,800,451.429262
644.405933,800,454.203408
642.970176,800,456.984425
592.548441,800,461.414809
648.538065,800,464.183795
642.037965,800,466.949998
649.252787,800,469.711897
648.10379,800,472.476386
648.162488,800,475.250502
635.286785,800,479.675719
602.093352,800,482.448357
632.182878,800,485.230286
658.564783,800,488.008307
646.864951,800,490.787779
627.010913,800,493.560445
662.330122,800,498.057292
649.418871,800,500.829704
620.06561,800,503.591606
637.072586,800,506.365624
641.390991,800,509.138412
607.887499,800,511.892624
623.423122,800,514.666421
624.675672,800,519.081544
638.092556,800,521.856669
633.646572,800,524.617542
640.140111,800,527.402822
633.920001,800,530.16492
631.199869,800,532.939986
636.478125,800,537.375664
650.587875,800,540.158575
635.609105,800,542.931453
615.467463,800,545.703204
606.855586,800,548.49001
620.068984,800,551.264867
628.602063,800,555.705805
