#{"t_start": 1626721258.6465607, "env_id": null}
r,l,t
-5.659961,800,0.27687
-9.196928,800,1.90128
76.744647,800,3.518755
-478.367661,552,5.063313
274.16284,800,6.240132
102.797571,800,7.91399
377.682347,800,11.889159
237.099736,800,13.505053
325.701943,800,15.100972
282.336127,800,16.682271
376.748108,800,18.270359
216.202802,800,19.870749
299.206887,800,23.85159
344.663882,800,25.496856
381.189728,800,27.109126
-152.949797,609,28.657473
395.521,800,29.948236
-182.380721,480,31.465009
-221.034251,402,32.408864
460.258568,800,33.327369
-284.593456,301,36.564777
-213.841145,366,37.192026
463.569181,800,38.057018
-172.867734,404,39.521874
61.804614,786,40.450391
-240.600786,294,41.896652
-20.346661,577,42.624676
-143.399357,428,43.716623
78.550297,728,44.656512
-0.790306,593,47.275927
548.816134,800,48.516246
616.685784,800,50.104353
615.948952,800,51.693402
589.446167,800,53.28425
631.970503,800,54.878258
609.652114,800,56.462701
592.179249,800,60.414276
623.230802,800,62.010731
638.254311,800,63.593288
609.502801,800,65.170719
634.578103,800,66.749601
614.811174,800,68.330615
645.729144,800,72.265405
607.469426,800,73.866035
606.88359,800,75.443592
655.732308,800,77.010647
647.174301,800,78.57828
560.199001,800,80.148372
648.747889,800,83.981762
643.857071,800,85.562559
620.202061,800,87.147359
645.355314,800,88.71464
575.136073,800,90.340133
668.344014,800,91.980793
607.676267,800,95.98439
607.210277,800,97.629834
638.569471,800,99.272078
609.68695,800,100.91282
629.87577,800,102.554654
629.975587,800,104.193585
592.806258,800,105.814111
622.715018,800,109.745424
123.851757,714,111.338675
653.72794,800,112.800681
663.63869,800,114.405029
674.721649,800,116.009591
663.125538,800,117.604275
642.272143,800,121.573852
662.015469,800,123.206258
643.020136,800,124.824577
625.170992,800,126.420188
613.252785,800,128.508968
654.074675,800,130.124162
649.573401,800,134.132195
647.707979,800,135.75035
640.668105,800,137.346607
630.88659,800,138.952275
589.442805,800,140.563747
627.407435,800,142.187354
664.012131,800,146.050452
607.041533,800,147.631337
631.71016,800,149.201498
623.21409,800,150.812241
663.092017,800,152.451962
608.376758,800,154.076848
645.256816,800,155.651098
605.922545,800,159.576586
584.415906,800,161.158428
612.27355,800,162.731435
630.237063,800,164.306087
607.165872,800,165.875639
617.609338,800,167.91307
613.713319,800,171.832667
568.740058,800,173.415693
590.57222,800,174.984442
626.920489,800,176.558607
597.980628,800,178.134137
613.72841,800,179.710035
611.236758,800,183.626448
654.868583,800,185.677288
670.784161,800,187.244238
646.206373,800,188.80794
629.898091,800,190.37077
604.366259,800,191.935424
619.459726,800,195.939071
628.482939,800,197.592182
643.280136,800,199.234388
654.608041,800,200.876552
611.880472,800,202.55931
647.592993,800,204.183555
642.815811,800,205.809742
624.271234,800,209.793489
644.806957,800,211.426121
617.121137,800,213.051517
637.37817,800,214.682624
631.580848,800,216.30972
633.162038,800,217.937141
654.049886,800,221.994533
632.203427,800,223.627482
628.16637,800,225.238194
656.693642,800,226.834558
623.066806,800,228.419948
671.24544,800,230.031209
629.594954,800,234.087012
643.63719,800,235.732361
618.506558,800,237.374814
606.443145,800,238.995141
644.971231,800,240.60957
649.293521,800,242.284864
649.073401,800,246.405557
636.778917,800,247.984791
634.337599,800,249.546309
567.271577,800,251.114287
645.733354,800,252.678622
614.715185,800,254.227973
626.234193,800,255.777686
625.477533,800,259.583151
622.716575,800,261.143653
658.58613,800,262.680734
610.26381,800,264.245685
606.908575,800,265.817298
610.278759,800,267.384516
640.363804,800,271.219175
634.461478,800,272.813699
624.651276,800,274.414939
632.048092,800,276.034658
629.535002,800,277.626766
593.310668,800,279.21439
647.494532,800,283.056808
612.004563,800,284.646102
637.629387,800,286.237877
619.894887,800,287.833148
22.861736,602,289.362797
622.165223,800,290.621835
30.93558,613,292.152546
643.820391,800,295.214471
658.278614,800,296.801096
579.488303,800,298.380428
634.141315,800,299.970562
607.320593,800,301.559336
634.007,800,303.153612
630.849082,800,307.184432
649.789721,800,308.820305
572.496081,800,310.457527
654.322541,800,312.074576
597.414149,800,313.659552
618.987595,800,315.235614
634.075845,800,319.18623
645.149602,800,320.823442
601.683438,800,322.450146
628.299914,800,324.078651
619.182595,800,325.703011
617.385673,800,327.336422
665.231366,800,328.965141
608.473054,800,332.928834
653.90506,800,334.58221
620.678009,800,336.212104
614.138765,800,337.84377
637.09613,800,339.478753
631.112493,800,341.104389
645.151705,800,345.515278
651.321642,800,347.193863
640.697881,800,348.815428
651.435086,800,350.436295
621.091204,800,352.05184
643.088045,800,353.693411
623.181496,800,357.612826
623.252362,800,359.232182
572.148903,800,360.846639
598.187457,800,362.460854
647.6104,800,364.078583
629.371767,800,365.675897
620.45843,800,369.511329
