#{"t_start": 1626723898.3453722, "env_id": null}
r,l,t
-405.083772,46,0.019252
-28.04099,800,0.356291
-429.982185,228,1.688531
-400.121983,184,2.108204
-100.249881,800,2.65703
24.370117,800,4.213634
57.359854,800,5.732714
-3.772316,800,7.242557
-2.863495,800,11.091132
-381.561771,405,12.489428
-335.894724,424,13.25896
119.672316,800,14.177694
65.739314,800,15.716001
177.96956,800,17.299456
320.286782,800,18.947881
352.214232,800,23.041903
409.479033,800,24.683893
417.647852,800,26.326561
421.295082,800,27.965411
424.97975,800,29.598808
432.99349,800,31.236855
405.241163,800,32.871524
430.439847,800,36.9558
424.916675,800,38.597389
417.663483,800,40.258203
410.92713,800,41.946662
448.389895,800,43.633509
422.42878,800,45.239304
414.925045,800,48.988501
404.487538,800,50.569564
460.142877,800,52.15434
487.424169,800,53.743428
490.31262,800,55.335757
509.400386,800,56.924056
532.230905,800,60.864623
453.497715,800,62.459036
-23.536298,721,64.023443
522.433413,800,65.479703
-218.825388,383,66.95021
483.477564,800,67.877532
468.248597,800,69.515071
-311.117423,245,70.980092
468.578526,800,74.004362
544.137261,800,75.659521
486.397254,800,77.312121
533.833864,800,78.95349
537.797133,800,80.583833
493.384081,800,82.203352
523.676056,800,86.743829
536.534923,800,88.371443
558.443236,800,90.012529
543.713195,800,91.651086
509.59738,800,93.291615
520.690726,800,94.929228
553.277591,800,99.011005
553.386004,800,100.651504
547.908303,800,102.263729
578.790168,800,103.885029
544.192836,800,105.510931
574.286985,800,107.126246
552.916051,800,111.671123
522.483486,800,113.280914
527.12682,800,114.88546
537.369644,800,116.49071
550.972533,800,118.101147
592.190444,800,119.716716
542.481794,800,121.335296
554.652922,800,125.428304
523.556805,800,127.068423
594.312141,800,128.75199
545.129446,800,130.331733
595.229902,800,131.917981
600.339279,800,133.505727
583.529858,800,137.440408
571.463341,800,139.037331
551.46822,800,140.624073
535.001925,800,142.212957
569.081819,800,143.794128
584.299286,800,145.380736
567.949046,800,149.30125
-58.550812,484,150.810719
544.125683,800,151.871525
544.892625,800,153.460917
568.309952,800,155.025113
568.95454,800,156.547281
551.64636,800,158.124184
609.271028,800,162.061314
602.312691,800,163.6669
581.760263,800,165.270574
606.682845,800,166.892411
552.352618,800,168.530735
610.543788,800,170.186499
585.956861,800,174.428817
554.194625,800,176.121403
602.6803,800,177.79925
525.768857,800,179.497192
534.735485,800,181.165114
516.307166,800,182.865272
586.73365,800,187.529415
563.079782,800,189.216561
542.590319,800,190.914469
538.859357,800,192.615379
553.137775,800,194.31596
588.482488,800,196.010055
604.051825,800,197.70024
588.776031,800,201.942474
577.680406,800,203.594638
567.517813,800,205.744188
564.184212,800,207.4188
575.193914,800,209.110516
573.200713,800,210.793638
529.791647,800,215.045229
587.858267,800,216.740798
601.962111,800,218.440465
541.612625,800,220.082068
578.486447,800,221.683812
580.584959,800,223.306964
546.03408,800,227.379209
555.883965,800,229.014655
606.302008,800,230.611966
596.009339,800,232.198501
557.232184,800,233.78785
538.80437,800,235.426609
540.164559,800,239.49847
612.383795,800,241.153816
589.189894,800,242.801825
535.209826,800,244.450871
580.38733,800,246.099058
466.349047,800,247.739707
562.519863,800,249.380992
588.641994,800,253.470708
572.975925,800,255.11766
511.68009,800,256.762272
579.919593,800,258.391065
588.953321,800,260.012299
584.72387,800,261.638559
570.980575,800,265.72508
541.074153,800,267.352106
537.794954,800,268.974442
542.013275,800,270.602395
559.259357,800,272.229022
538.355072,800,273.85289
569.4661,800,277.784506
542.34834,800,279.373508
592.596855,800,280.959256
590.127214,800,282.550072
506.573992,800,284.139009
612.288578,800,285.730331
536.72891,800,289.668934
555.94579,800,291.274874
601.25084,800,292.871104
489.968819,800,294.474932
550.692748,800,296.083246
591.226658,800,297.723115
569.802087,800,299.358151
571.110864,800,303.441379
548.957024,800,305.086554
545.973865,800,306.731572
579.990442,800,308.37725
514.441399,800,309.997399
506.700594,800,311.607034
610.194006,800,316.133281
596.776452,800,317.761357
545.813823,800,319.401626
607.42752,800,321.044664
520.67136,800,322.683918
557.006126,800,324.318986
591.44603,800,328.396241
550.393033,800,330.041895
587.142484,800,331.652791
555.437501,800,333.551318
556.527361,800,335.3656
541.734918,800,336.981699
611.225046,800,341.046543
538.721308,800,342.689142
608.307308,800,344.310772
533.738277,800,345.908069
530.911443,800,347.495488
545.534612,800,349.088041
513.824225,800,350.67935
546.296325,800,354.70068
551.525623,800,356.357229
590.446069,800,358.00748
533.388195,800,359.659069
594.432428,800,361.293832
576.492045,800,362.919383
583.242841,800,366.983465
530.132713,800,368.608901
601.079138,800,370.235044
557.508516,800,371.870847
498.375742,800,373.471062
584.251797,800,375.098398
606.411421,800,379.195143
