#{"t_start": 1626726170.7405877, "env_id": null}
r,l,t
-403.650445,34,0.015823
-8.500918,800,0.341333
-2.880093,800,1.958587
-1.209562,800,3.54696
-407.107258,315,4.979955
-403.314572,123,5.543132
-35.05377,800,6.001621
27.081748,800,7.574258
79.179891,800,11.508864
73.985904,800,13.098917
128.806252,800,14.676878
111.455095,800,16.266688
72.748357,800,17.853545
70.973236,800,19.456617
110.807504,800,23.477159
221.959657,800,25.12409
169.930083,800,26.717896
191.533407,800,28.311312
309.403594,800,29.905325
426.317907,800,31.482762
361.285784,800,33.063593
-171.249409,522,36.510633
379.947407,800,37.639643
406.159251,800,39.213224
425.212175,800,40.843781
371.136891,800,42.432848
385.397891,800,44.015682
387.185668,800,47.906854
388.138906,800,49.488813
419.558936,800,51.044606
398.115102,800,52.599001
457.942042,800,54.149514
426.256393,800,55.711681
479.822295,800,57.26612
528.982906,800,61.09941
505.555658,800,62.745853
515.484806,800,64.616647
509.035876,800,66.224294
550.934052,800,67.864357
542.948108,800,69.496987
569.157701,800,73.461811
522.073454,800,75.362988
563.823047,800,77.38338
611.400266,800,79.335305
617.323296,800,81.005078
642.691556,800,83.156301
600.169181,800,87.160745
645.602356,800,88.921371
638.488461,800,90.621124
620.011904,800,92.293864
637.820042,800,94.016175
678.312481,800,95.988468
624.296776,800,100.257624
638.115241,800,102.003747
660.397078,800,103.616682
636.980995,800,105.319779
649.337265,800,106.98051
646.071439,800,108.605079
645.196606,800,110.219086
605.930244,800,114.749812
644.363403,800,116.346064
645.49686,800,117.937112
627.271942,800,119.600264
659.696375,800,121.262705
663.076648,800,122.857249
652.886146,800,127.364039
611.755759,800,129.181275
651.447069,800,130.92492
647.106763,800,132.647866
651.958135,800,134.314958
611.111885,800,135.984992
641.819383,800,140.068217
652.543722,800,141.759631
605.3804,800,143.448185
674.839886,800,145.145238
659.843076,800,146.853589
615.240596,800,148.499745
655.541088,800,152.538742
657.023362,800,154.137538
626.758025,800,155.711697
652.012179,800,157.292719
619.863643,800,158.869727
606.890173,800,160.43621
627.882946,800,162.012872
630.588212,800,165.864236
166.302151,745,167.433447
582.121746,800,168.927136
555.444944,800,170.514652
609.962253,800,172.09637
601.872932,800,173.69243
622.332094,800,177.670621
634.982696,800,179.307212
668.455954,800,180.9329
559.948742,800,182.552546
634.988028,800,184.18092
644.740533,800,185.803735
613.573587,800,189.769411
613.503898,800,191.442333
634.039633,800,193.127416
602.699075,800,194.788019
651.591055,800,196.406969
561.417945,800,198.012616
638.908686,800,201.957975
578.073465,800,203.573457
634.238366,800,205.189735
649.161158,800,206.917031
620.11036,800,208.535775
657.603682,800,210.160042
658.690321,800,211.793205
626.867613,800,215.768153
641.606708,800,217.387182
630.940367,800,219.007078
595.086236,800,220.613812
645.024659,800,222.242877
636.078456,800,223.88644
634.506969,800,228.026344
599.447377,800,229.7016
637.335296,800,231.377712
624.641448,800,233.053789
615.75367,800,234.730192
666.934008,800,236.415891
606.529715,800,240.573562
605.153292,800,242.256332
634.075826,800,243.941723
626.207504,800,245.591022
661.18916,800,247.174068
611.793643,800,248.764091
644.310109,800,252.601375
573.899215,800,254.177594
629.969325,800,255.755351
38.732906,605,257.269901
617.984879,800,258.540294
-204.691888,358,260.038327
628.481284,800,260.912745
618.751807,800,264.910905
565.431484,800,266.517445
603.760606,800,268.123904
628.817527,800,269.74239
612.521764,800,271.366827
627.650357,800,272.989556
613.222797,800,274.616595
603.63996,800,278.555856
592.552397,800,280.194043
617.946964,800,281.835402
568.20991,800,283.457525
631.005611,800,285.082779
643.968375,800,286.715452
626.05916,800,290.683225
626.664682,800,292.320539
597.77826,800,293.945476
619.626623,800,295.572445
613.870969,800,297.188649
607.628683,800,298.809538
646.215978,800,302.762569
611.347188,800,304.393668
621.09897,800,306.015728
616.013458,800,307.6371
635.660062,800,309.264305
669.571812,800,310.879352
573.800332,800,314.820658
637.553714,800,316.431323
630.356628,800,318.048987
634.115522,800,319.667497
629.540021,800,321.281128
601.732605,800,322.893736
629.569183,800,324.502952
637.383201,800,328.47793
611.783389,800,330.090204
649.262158,800,331.702464
610.467142,800,333.309134
640.167026,800,334.931148
598.907668,800,336.567891
586.225455,800,340.574976
643.642929,800,342.217211
616.227375,800,343.853104
594.494972,800,345.48318
614.944709,800,347.111862
581.365136,800,348.734229
622.183826,800,353.167771
647.035602,800,354.773277
636.333017,800,356.370464
610.87111,800,357.972308
625.078898,800,359.59153
579.57358,800,361.22058
568.340128,800,365.1945
625.134403,800,366.837728
606.858421,800,368.463079
631.656567,800,370.081788
637.903922,800,371.753906
629.222708,800,373.381303
597.137703,800,374.97771
608.282159,800,378.801992
