#{"t_start": 1626720125.2951002, "env_id": null}
r,l,t
-402.227069,23,0.011441
-408.520268,103,0.092258
-405.722921,97,0.307503
-413.431213,169,0.524661
-73.624708,800,1.05777
10.273752,800,2.64237
-402.936135,25,3.970009
76.251738,800,4.252537
55.189934,800,5.826257
-494.278435,459,7.291686
41.982706,800,8.29024
28.466957,800,11.684185
-404.036541,83,13.053149
-404.662392,83,13.217509
-385.573724,467,13.495613
24.752092,800,14.513931
-386.378567,287,15.923162
-333.473998,609,16.592813
119.14522,800,17.867855
123.598631,800,19.450186
148.614033,800,23.254623
140.327371,800,24.843663
206.057547,800,26.416346
184.786405,800,28.036491
-267.870362,437,29.535221
236.58061,800,30.522479
-260.748058,426,32.016858
324.892901,800,35.318995
357.859489,800,36.93275
349.843034,800,38.540875
379.028214,800,40.147688
409.876807,800,41.766863
429.888807,800,43.386916
449.2684,800,47.337979
420.658335,800,48.945133
416.208734,800,50.544511
445.632748,800,52.145804
421.153223,800,53.771823
421.65155,800,55.373187
415.315469,800,56.937175
442.809027,800,60.729393
422.450836,800,62.296463
453.322936,800,63.862861
445.39403,800,65.500082
415.5854,800,67.121527
434.77103,800,68.695399
411.171192,800,72.527129
404.428704,800,74.091535
411.550687,800,75.637966
452.314425,800,77.191524
425.380255,800,78.762863
443.488156,800,80.325545
433.998638,800,84.126116
437.900182,800,85.702866
424.127385,800,87.277188
415.712877,800,88.851561
385.06656,800,90.438246
378.280082,800,92.023717
411.995552,800,95.833501
432.40068,800,97.419755
422.668323,800,99.004811
429.988872,800,100.618302
433.407544,800,102.232044
450.670814,800,103.852246
476.231051,800,105.487228
475.823872,800,109.43964
488.999365,800,111.070621
558.381892,800,112.695914
598.708793,800,114.327103
536.58703,800,115.972301
542.84192,800,117.634417
582.535893,800,121.527979
599.837836,800,123.207965
591.571349,800,124.886468
643.702941,800,126.561905
651.624698,800,128.200206
644.063999,800,129.803479
603.655679,800,133.775169
655.527562,800,135.385618
661.71493,800,137.01172
671.469179,800,138.618556
673.112027,800,140.182517
681.866808,800,141.764112
623.828433,800,145.681042
611.803803,800,147.322489
631.478349,800,148.963806
638.574682,800,150.593153
664.096144,800,152.220107
683.643313,800,153.841017
652.335372,800,155.473131
686.0247,800,159.512567
646.977496,800,161.135779
682.444284,800,162.741303
653.25524,800,164.340407
655.78384,800,165.921449
635.156452,800,167.485928
651.38993,800,171.279464
673.931766,800,172.88603
664.123033,800,174.522031
646.847025,800,176.171216
661.187661,800,177.838122
626.99734,800,179.525349
674.497803,800,183.508315
8.883905,626,185.074637
672.690752,800,186.392346
655.685633,800,188.004119
603.42437,800,189.617693
625.694892,800,191.22921
584.098724,800,192.835567
659.295087,800,196.756723
634.695545,800,198.36898
628.96861,800,199.974282
675.527876,800,201.580128
684.848801,800,203.2026
665.774704,800,204.820388
633.495912,800,208.787613
673.889588,800,210.448773
628.713364,800,212.127499
646.915049,800,213.803107
669.124735,800,215.48004
636.210636,800,217.166954
653.588176,800,221.2837
627.873611,800,222.934627
663.919809,800,224.567806
685.271412,800,226.148309
686.028918,800,227.723119
657.969827,800,229.311291
633.403513,800,233.265188
634.216599,800,234.895559
702.692436,800,236.517677
697.868363,800,238.14974
646.542266,800,239.783986
660.240973,800,241.383759
667.451325,800,243.36834
627.008221,800,247.403605
637.940243,800,249.003934
661.270568,800,250.588719
644.776509,800,252.174504
670.509782,800,253.766736
652.078703,800,255.35545
654.730253,800,259.308614
618.308118,800,260.918376
663.104018,800,262.57933
661.473322,800,264.164072
669.402845,800,265.766305
670.474539,800,267.388596
674.918304,800,271.329411
663.387192,800,272.943655
658.837007,800,274.555333
694.303324,800,276.173676
656.130273,800,277.785656
678.031535,800,279.4689
669.779335,800,283.399988
700.095076,800,285.028349
690.644346,800,286.662441
645.886484,800,288.246101
667.941268,800,289.848088
667.31396,800,291.463003
670.938692,800,293.059826
656.016429,800,296.893029
658.149303,800,298.476653
659.677864,800,300.046134
668.569968,800,301.618932
682.79611,800,303.19415
693.40692,800,304.806281
645.919937,800,308.766412
642.333289,800,310.392646
693.125637,800,312.002151
709.685835,800,313.56725
644.972272,800,315.170753
638.29975,800,316.835191
642.204329,800,320.956663
657.116968,800,322.644244
636.439473,800,324.324882
637.170356,800,326.007224
678.657128,800,327.681896
657.144217,800,329.359363
666.671121,800,333.481342
623.669892,800,335.161585
647.018086,800,336.834048
653.53225,800,338.504791
642.570721,800,340.177458
667.851336,800,341.915038
661.525774,800,343.57792
664.342773,800,347.686824
683.10445,800,349.367154
643.00487,800,351.036113
678.393198,800,352.710974
659.344647,800,354.431319
613.630505,800,356.229654
661.845566,800,360.185785
664.495338,800,361.834812
674.219795,800,363.669009
695.355066,800,365.68963
675.541152,800,367.623195
-397.793775,94,369.293296
663.81026,800,369.723689
650.720047,800,373.901037
