#{"t_start": 1626106792.3236556, "env_id": null}
r,l,t
-9.504636,800,0.213815
-392.517507,134,2.486261
159.185702,800,3.073562
-356.540378,288,5.38012
194.231825,800,6.396093
205.734274,800,8.863064
319.543295,800,11.32454
-179.036665,636,14.675428
411.284651,800,16.697618
-255.989522,343,19.069826
239.17998,800,20.261487
-254.36828,371,22.638318
247.933729,800,23.902545
261.002798,800,26.395732
345.722088,800,28.905175
399.038907,800,33.100343
421.773725,800,35.578347
423.620382,800,38.051905
485.510798,800,40.554142
558.365966,800,43.047081
563.54279,800,45.560838
-321.690786,223,47.902504
651.492786,800,50.434236
558.510945,800,52.90898
612.795266,800,55.43999
598.831633,800,57.95234
694.320258,800,60.485504
698.386098,800,63.003576
686.121091,800,67.23657
660.224781,800,69.772998
668.568993,800,72.288856
683.423521,800,74.815567
647.035464,800,77.336234
667.783604,800,79.838476
678.946611,800,84.047134
705.231025,800,86.560268
670.810305,800,89.06385
693.162623,800,91.56682
688.118755,800,94.08608
683.886278,800,96.592585
658.462009,800,99.094216
685.078098,800,103.301658
701.139409,800,105.820119
690.906566,800,108.344103
677.638751,800,110.861359
697.847793,800,113.40713
663.756166,800,115.977817
696.712149,800,120.201817
696.76401,800,122.735256
670.988914,800,125.253839
685.091734,800,127.787582
688.180656,800,130.3224
670.382258,800,132.858804
677.699676,800,137.090173
688.076747,800,139.615886
695.832574,800,142.157413
649.436159,800,144.679897
653.37965,800,147.228379
713.223817,800,149.769343
685.399497,800,154.007802
703.402988,800,156.54589
679.184901,800,159.076759
645.769134,800,161.627177
665.96374,800,164.151812
663.399622,800,166.704122
695.021987,800,169.243417
690.527607,800,173.484822
705.007029,800,176.04574
663.699108,800,178.60733
-181.324294,332,181.061964
673.93584,800,182.252845
694.900433,800,184.821715
701.334379,800,189.073522
663.071995,800,191.66605
688.989754,800,194.278355
701.211954,800,196.880479
702.372089,800,199.480458
687.481641,800,202.072788
678.309108,800,204.674547
673.634254,800,208.977776
678.564898,800,211.595657
653.255139,800,214.230092
705.727325,800,216.894403
702.376416,800,219.532435
680.992335,800,222.178772
656.345136,800,226.507285
664.781282,800,229.173783
647.401316,800,231.830009
676.989014,800,234.489789
689.034781,800,237.129186
682.153471,800,239.77291
598.539277,800,244.205577
657.279533,800,246.838514
703.104423,800,249.499
692.290902,800,252.155564
647.037862,800,254.805218
642.907771,800,257.437847
693.763207,800,261.798877
675.895252,800,264.424412
700.745296,800,267.067185
666.374773,800,269.710743
684.24549,800,272.355629
667.025898,800,275.013282
680.984301,800,277.657506
661.867676,800,282.079152
657.220112,800,284.722986
707.727376,800,287.387475
664.340401,800,290.062843
678.247755,800,292.739031
654.04443,800,295.422884
701.315641,800,299.787697
627.568677,800,302.463961
681.464242,800,305.149492
667.511551,800,307.830932
646.33263,800,310.498428
674.997196,800,313.168552
662.594117,800,317.546274
680.889548,800,320.233258
656.20924,800,322.892853
652.713231,800,325.566051
706.929049,800,328.253602
669.155309,800,330.928397
701.289428,800,335.293198
689.762489,800,337.967707
660.561455,800,340.640864
636.89463,800,343.304048
671.7497,800,345.963787
648.742888,800,348.656212
664.906798,800,351.32951
677.197963,800,355.688637
672.189082,800,358.360116
656.042173,800,361.033277
682.617946,800,363.700806
668.293483,800,366.373119
627.953178,800,369.021998
663.034487,800,373.354348
654.452873,800,375.986541
629.279593,800,378.641373
680.532802,800,381.301703
686.732867,800,383.96123
660.708199,800,386.587817
649.764155,800,390.916342
698.380951,800,393.556059
672.502522,800,396.211828
643.07832,800,398.86823
684.70916,800,401.506812
659.034723,800,404.160687
644.573818,800,408.513316
671.342378,800,411.174064
645.159223,800,413.827379
653.88938,800,416.497834
638.781559,800,419.142111
680.536764,800,421.780767
639.803503,800,424.425628
-306.461387,186,428.593418
685.469398,800,429.367355
624.249367,800,432.012779
700.164342,800,434.644215
630.458525,800,437.29865
693.798971,800,439.974012
649.233586,800,442.627659
613.972648,800,446.965463
704.999928,800,449.592894
664.010353,800,452.230606
642.742645,800,454.891877
659.310616,800,457.552646
669.563092,800,460.210539
655.227821,800,464.578818
686.33415,800,467.259356
623.160828,800,469.887487
642.389755,800,472.54242
628.159978,800,475.18789
652.142202,800,477.809013
654.361493,800,482.140932
605.320519,800,484.747506
634.554035,800,487.355967
624.499169,800,489.993857
671.759634,800,492.619014
654.876637,800,495.25321
664.453491,800,499.646082
630.437956,800,502.259089
644.227048,800,504.889699
670.077279,800,507.512501
641.953269,800,510.127817
655.474125,800,512.74945
646.605023,800,515.376656
649.881125,800,519.771213
640.588363,800,522.377105
640.139004,800,524.991677
650.952265,800,527.570133
655.44731,800,530.189483
663.390347,800,532.756335
648.094597,800,537.038671
