#{"t_start": 1625581807.6028042, "env_id": null}
r,l,t
-403.322878,44,0.025368
-406.895066,64,0.166094
1.051754,800,0.647702
-327.46351,268,2.400799
122.550286,800,3.28547
52.475183,800,5.228136
180.941301,800,7.177177
222.887197,800,9.310726
274.241681,800,14.695152
-260.401445,461,16.320598
342.323789,800,17.38408
228.850837,800,19.009691
255.150406,800,20.701958
247.127386,800,22.342779
360.771074,800,24.063525
-253.330375,446,27.049441
364.285925,800,28.264133
438.559048,800,30.174267
-323.776739,215,32.021895
423.188691,800,32.664889
501.042958,800,34.438187
391.719391,800,36.114762
-260.607045,324,37.635895
-318.634687,200,38.274756
-320.229048,200,39.226546
-295.880637,253,39.666918
-199.113445,484,40.26921
-272.600696,298,41.224172
-337.446613,176,41.830587
-290.20857,291,42.247143
-352.73536,152,42.823372
-276.621346,335,43.212426
413.485995,800,44.138487
-300.555174,202,45.668781
364.085852,800,46.299666
-80.647327,548,47.894675
-257.629746,319,48.963729
-343.554286,133,49.574357
-35.501909,512,51.966094
350.916561,800,53.124971
431.921918,800,54.790347
724.820534,800,56.4229
373.916894,800,58.044255
694.655698,800,59.6714
702.700097,800,63.699504
467.657179,800,65.376991
659.198669,800,67.053963
425.487755,800,68.747466
670.367322,800,70.437501
687.794359,800,72.085984
667.521941,800,73.719695
698.609235,800,77.737154
658.861965,800,79.414352
704.651404,800,81.04469
711.764333,800,82.801338
719.319157,800,84.614104
706.263871,800,86.57501
722.053267,800,91.033855
719.112488,800,92.763512
699.595866,800,94.47463
725.295727,800,96.1953
715.50776,800,97.91541
722.344911,800,99.622985
708.034346,800,103.945462
703.396641,800,105.822522
703.664269,800,107.597116
710.363545,800,109.274578
681.067792,800,111.110329
668.710515,800,112.981666
724.58136,800,118.482063
695.523043,800,120.21234
681.594908,800,121.943208
35.950405,521,123.536058
724.454686,800,124.793038
52.77814,576,126.404678
696.211019,800,127.734118
693.043295,800,132.112158
693.017416,800,133.889667
-108.349173,363,135.441069
708.781996,800,136.368897
723.606658,800,138.087226
674.329828,800,139.73368
32.499445,542,141.299802
681.172174,800,144.900142
-332.265353,130,146.360808
655.121641,800,146.846309
696.956715,800,148.483614
694.922646,800,150.122459
692.313932,800,151.780031
31.023748,498,153.394872
712.187768,800,154.664174
705.836392,800,158.94403
704.755325,800,160.683952
693.488563,800,162.404703
212.56736,714,164.093804
263.907751,782,165.661914
680.476455,800,167.454699
686.927387,800,171.755142
691.589294,800,173.490576
-40.519598,452,175.080858
702.434692,800,176.183247
-177.521861,293,177.759353
655.114983,800,178.561478
679.710756,800,180.280682
-337.705456,138,181.775162
705.908666,800,184.776816
701.520417,800,186.519815
676.012392,800,188.253468
673.313911,800,189.967974
686.091199,800,191.70977
-285.221599,197,193.262792
691.609406,800,193.896191
640.890726,800,198.03774
667.327595,800,199.759422
678.384077,800,201.488987
642.266818,800,203.238256
-243.959054,229,204.790647
660.256572,800,205.442811
672.315196,800,207.147766
692.332637,800,211.340239
676.92008,800,212.986876
657.948301,800,214.634068
683.794939,800,216.305096
717.121058,800,218.009351
654.83426,800,219.689922
661.109697,800,221.38443
676.424396,800,225.873232
-194.79766,304,227.570853
658.405352,800,228.516666
626.286359,800,230.399053
683.354664,800,232.261757
676.819279,800,234.09212
-180.498582,312,235.631167
157.579671,686,238.7364
695.94132,800,240.175843
661.618864,800,241.820352
655.0662,800,243.508227
645.144694,800,245.193243
652.156772,800,246.877004
667.91374,800,250.961869
662.873045,800,252.641299
693.962354,800,254.323692
660.797605,800,256.016987
720.865021,800,257.650507
696.918665,800,259.293783
662.472333,800,260.933806
629.286431,800,264.921578
634.022714,800,266.56794
643.367006,800,268.204658
651.062497,800,269.842458
-248.08302,235,271.294308
635.869999,800,271.948671
645.4177,800,273.62672
-285.197576,190,277.410564
654.314468,800,278.02132
654.335348,800,279.655682
710.194253,800,281.339114
677.430618,800,282.994222
-20.489949,481,284.536278
677.455488,800,285.625733
685.675136,800,289.638379
660.806792,800,291.28338
672.022988,800,292.930153
649.386617,800,294.575409
656.000637,800,296.258063
665.892714,800,297.942267
196.057709,731,302.003232
662.327956,800,303.549051
675.90652,800,305.204361
667.123859,800,306.859842
675.385623,800,308.498465
698.864255,800,310.128231
651.479981,800,311.799538
651.434992,800,315.953271
653.267452,800,317.65245
669.920293,800,319.351544
689.436363,800,321.064772
694.000769,800,322.788306
692.811804,800,324.516016
676.042323,800,328.763887
665.112039,800,330.481032
717.509568,800,332.142738
680.6429,800,333.862665
660.462521,800,335.556819
681.919437,800,337.235007
220.307282,745,341.364927
668.834952,800,342.970618
33.327239,524,344.560155
-195.249146,276,345.575706
648.770545,800,346.32128
697.029214,800,347.973703
703.478152,800,349.626011
650.031406,800,353.60764
640.273492,800,355.265738
625.451258,800,356.925343
682.309104,800,358.576605
686.956405,800,360.232754
681.942256,800,361.878393
-348.397312,123,363.30694
696.480628,800,363.769897
674.282246,800,367.739097
667.818414,800,369.383398
664.027812,800,371.101991
662.933896,800,372.82433
676.38302,800,374.522613
675.40205,800,376.160641
657.268817,800,380.268774
705.444214,800,381.984576
685.302431,800,383.699147
673.376343,800,385.385437
669.384072,800,387.059612
678.626622,800,388.700585
-237.874833,225,390.185688
654.4927,800,393.2679
