#{"t_start": 1625431368.2814379, "env_id": null}
r,l,t
-402.709422,20,0.012116
-402.956001,33,0.076555
-401.964273,90,0.198445
11.936727,800,0.745407
-11.730044,800,3.124617
-401.922845,26,5.246277
-403.375598,83,5.347755
-412.783891,184,5.63952
-399.777511,231,6.210351
30.214382,800,7.134015
65.724849,800,9.615413
90.120084,800,12.041379
41.662494,800,17.214998
98.181799,800,19.662505
91.745052,800,22.104027
125.077353,800,24.543052
138.791792,800,26.984935
241.194657,800,29.437421
-387.904107,225,31.6545
-376.608579,276,32.366693
-382.636704,347,34.00246
403.53229,800,35.235044
405.024625,800,37.681169
-159.363119,437,39.988747
349.929296,800,41.463949
382.870991,800,43.927479
378.683005,800,46.379666
-340.613392,192,48.584661
-343.472419,201,49.644775
-269.338893,324,50.301792
-348.134603,165,51.222243
-269.401646,343,51.796847
-321.07783,235,52.805418
-295.098822,300,53.54524
-348.634724,162,54.411705
-336.704887,198,54.921935
320.35289,800,55.764083
-110.475361,494,58.109992
-238.159586,402,59.593223
-246.179821,381,60.820915
-341.124957,141,61.900645
354.692899,800,62.588125
-208.373057,458,65.551823
-313.369821,220,66.87025
421.703459,800,67.770862
406.995122,800,70.227495
401.111578,800,72.68182
390.982747,800,75.144866
379.242573,800,77.589917
-198.285541,431,79.898654
-350.173846,140,81.523289
-168.168436,491,82.088845
443.989185,800,83.717505
381.138254,800,86.181222
405.10775,800,88.65407
424.700481,800,91.117969
388.925647,800,93.590323
396.6222,800,98.738968
432.150912,800,101.203136
439.346695,800,103.671793
456.187169,800,106.137177
525.504415,800,108.619841
569.875599,800,111.084095
531.782323,800,116.215862
619.078073,800,118.67496
560.283556,800,121.147069
528.097605,800,123.604563
493.376624,800,126.070364
415.433516,800,128.535962
623.325546,800,133.706459
503.662727,800,136.1724
718.3006,800,138.654544
414.150915,800,141.121604
432.926957,800,143.59789
722.056817,800,146.071812
652.087884,800,148.553014
704.604199,800,153.797681
660.380684,800,156.278411
629.227537,800,158.756734
696.620209,800,161.251099
694.900093,800,163.731868
639.529709,800,166.221958
665.877728,800,171.343843
592.345796,800,173.84294
590.827378,800,176.342185
737.300772,800,178.856122
691.09104,800,181.376527
699.262164,800,183.890321
702.297826,800,189.061875
690.371001,800,191.605218
657.341841,800,194.146866
693.399878,800,196.704765
701.749101,800,199.264596
729.846447,800,201.839235
708.806437,800,207.086571
714.379538,800,209.664246
716.809461,800,212.247598
697.515203,800,214.83244
720.542725,800,217.417671
678.506525,800,220.007861
-327.863114,161,222.359926
671.056578,800,223.13463
717.441685,800,228.50651
673.038897,800,231.095711
709.756876,800,233.699456
672.313201,800,236.297543
686.027317,800,238.898473
696.46275,800,241.493878
702.664887,800,246.804146
719.589252,800,249.412175
682.099952,800,252.014527
646.152904,800,254.614228
723.155984,800,257.213286
713.995437,800,259.816066
658.595266,800,265.075512
674.195638,800,267.695896
690.571213,800,270.308012
-218.56687,319,272.726375
715.604574,800,273.955659
-377.904698,87,276.288685
722.802907,800,276.852822
698.915272,800,279.451692
725.252445,800,284.747686
683.493352,800,287.345985
677.412743,800,289.946784
707.007224,800,292.551578
-401.722998,14,294.858286
709.875168,800,295.207025
-401.470454,16,297.507618
-401.429828,13,297.558489
-401.64052,14,297.601669
652.903306,800,297.9474
-401.511903,16,300.24973
685.305441,800,303.302925
705.280888,800,305.915085
708.04211,800,308.535425
679.066226,800,311.141355
682.57203,800,313.744862
707.28483,800,316.354561
669.680393,800,321.638257
