#{"t_start": 1625468629.84753, "env_id": null}
r,l,t
-403.23794,29,0.048808
-401.606718,16,0.107812
-404.28234,38,0.153361
-412.094172,74,0.28177
-407.455915,49,0.561737
-408.530977,84,0.696958
-131.227081,800,1.210076
-15.120785,800,3.193455
-6.509722,800,5.312244
-401.584305,14,6.891485
-401.429828,13,6.921506
-401.6435,19,6.951338
-402.0929,25,6.994098
-403.135824,141,7.093899
-402.75321,33,7.345992
-402.652172,26,7.413647
-403.21204,30,7.468903
-404.353796,36,7.53622
-420.438912,115,7.642868
-407.648023,96,7.876812
-64.58745,800,8.348939
-37.744679,800,10.08318
-36.110953,800,14.718676
-34.735637,800,16.356749
-26.380385,800,18.235332
-395.88427,386,19.797646
8.398577,800,20.783078
73.833945,800,22.497566
109.275055,800,27.467274
166.296951,800,29.162578
-340.303678,300,30.661472
321.762437,800,31.559678
-352.349339,243,33.091656
412.326252,800,33.838648
-171.961796,487,35.67976
412.399152,800,37.087077
-330.394391,206,38.870097
-218.37019,378,39.364511
-350.391395,165,40.63587
385.823468,800,41.239846
387.281944,800,43.244893
392.758127,800,44.940338
-298.822319,311,46.418983
-173.362529,558,47.160276
389.356308,800,48.41726
431.882894,800,50.080026
345.266855,800,54.73935
-274.121119,313,56.198632
-284.388303,287,56.836239
351.825183,800,57.653868
361.626071,800,59.324949
368.017304,800,60.978835
