#{"t_start": 1625471039.4224794, "env_id": null}
r,l,t
-387.553585,398,1.795033
-447.404114,393,2.658838
-26.830781,800,3.664686
-390.796033,172,5.091123
-365.014725,551,5.587873
90.268927,800,6.813557
120.016117,800,8.457431
86.681069,800,10.107526
-286.377518,413,12.013607
-383.070988,194,12.790776
-387.703653,139,13.175816
-381.163937,194,13.48532
-377.338597,181,13.887699
-384.28318,209,14.274237
228.311879,800,14.938218
379.161499,800,16.616206
334.229483,800,18.286219
362.266419,800,19.933235
397.885905,800,24.542696
-360.767877,135,25.916835
391.591472,800,26.432369
345.442646,800,28.052261
-132.159053,596,29.568339
431.631392,800,30.850538
395.05979,800,32.469291
364.465021,800,34.092587
-274.265496,309,36.925313
369.853569,800,37.739808
-230.922353,423,39.229139
393.128295,800,40.236495
293.712223,800,41.881669
329.98164,800,43.558463
359.593641,800,45.248062
-302.978454,238,46.729341
-280.07102,287,47.888148
386.56889,800,48.699415
-287.17136,299,50.201673
375.557001,800,51.048836
-281.589858,301,52.562848
334.900189,800,53.402043
348.313394,800,55.111888
350.022745,800,56.81644
426.027773,800,61.510338
461.430332,800,63.246938
428.201467,800,65.199384
453.122772,800,66.882535
451.164349,800,68.565506
468.591587,800,70.245376
531.144457,800,74.940979
542.952712,800,76.631284
575.479539,800,78.326101
567.738358,800,80.005818
659.456822,800,81.692052
644.988888,800,83.387989
645.451307,800,88.211315
607.042378,800,89.983161
705.727346,800,91.73724
691.586861,800,93.495103
705.404312,800,95.236563
680.637058,800,96.924025
675.149071,800,98.645839
642.535603,800,103.31008
707.893347,800,105.025211
704.023168,800,106.76069
703.043942,800,108.467061
696.128732,800,110.123973
714.16403,800,111.76809
731.965151,800,116.36851
701.015433,800,118.057719
713.431428,800,119.790784
688.343531,800,121.470301
722.474247,800,123.116409
684.316728,800,124.762882
690.653682,800,129.338905
714.091103,800,131.018507
705.562471,800,132.697189
730.080134,800,134.379175
696.473339,800,136.05743
727.396232,800,137.716314
705.178354,800,142.27554
74.317678,555,143.898388
-375.941015,88,144.901795
693.206622,800,145.36032
706.150693,800,147.06471
729.567593,800,148.843957
666.65146,800,150.607566
706.566293,800,152.407504
716.445759,800,157.23577
704.668151,800,158.956397
715.713989,800,160.67306
730.535299,800,162.383716
-36.899182,472,163.963526
700.584652,800,165.120728
711.743855,800,166.862688
721.002958,800,171.678257
703.135479,800,173.390803
720.324922,800,175.097386
694.678019,800,176.787972
703.922964,800,178.478758
-346.397586,126,179.883751
702.567106,800,180.421633
724.072929,800,185.15011
702.117989,800,186.801677
691.639485,800,188.451412
717.632972,800,190.190665
-255.86953,231,191.604251
-76.253283,411,192.14867
-224.404673,247,192.921787
-89.216406,403,193.492548
219.819883,738,197.478879
-121.20278,394,198.873584
-237.303403,257,199.624399
-308.061015,176,200.114386
-308.472953,167,200.47044
698.313899,800,201.10018
-19.826208,480,202.641692
655.688594,800,203.738948
648.723419,800,205.376531
680.53467,800,207.009949
640.5683,800,211.719694
699.41861,800,213.375285
690.083946,800,215.061174
652.258772,800,216.748903
676.105367,800,218.487113
709.117748,800,220.201105
-60.052948,424,224.732564
701.085869,800,225.76531
725.218537,800,227.470479
698.93037,800,229.229441
59.725888,539,230.869559
691.106773,800,232.150117
687.179397,800,233.821148
681.933742,800,238.537244
