#{"t_start": 1625541721.4009972, "env_id": null}
r,l,t
-402.315867,19,0.013202
-402.530207,28,0.090206
-408.989925,80,0.215579
-43.051634,800,0.769359
-3.116102,800,3.836771
-19.132576,800,6.93303
-3.532937,800,10.026267
-413.257783,391,12.994868
-6.046045,800,14.647309
-406.27573,55,17.512011
-408.413514,63,17.729482
-402.997458,70,17.97838
-408.472098,81,18.25727
-405.455118,86,18.575838
-403.831295,61,18.904443
-404.951351,52,19.143108
-407.18241,63,19.939302
-16.820601,800,20.441217
-398.816588,279,23.385661
-58.7139,800,24.649363
-407.207955,115,27.510158
14.209875,800,28.194333
92.249456,800,31.323867
111.915302,800,34.425874
19.041805,800,48.567022
0.539503,800,51.721735
8.891858,800,54.868407
4.551299,800,58.024207
225.420106,800,61.600213
230.818488,800,64.679837
392.368494,800,80.137423
-278.270677,304,83.55899
-206.78949,473,85.003899
-195.3009,471,87.157968
-208.932931,442,89.284117
379.262401,800,91.448291
-305.213708,269,94.861853
-247.690796,390,96.136648
414.398729,800,98.089667
417.50289,800,101.721552
408.570796,800,119.220685
407.346311,800,122.873095
381.431494,800,126.51859
-1.172183,800,130.16861
181.217365,800,133.819029
168.670032,800,137.47735
355.235708,800,148.582786
349.210912,800,151.783193
381.619483,800,154.975245
398.497029,800,158.167691
388.839909,800,161.843677
407.489153,800,165.498044
391.07822,800,181.67482
394.72926,800,185.312457
407.353009,800,188.968352
398.351467,800,192.610592
421.433962,800,196.26829
422.051373,800,199.932702
416.571143,800,203.593356
437.16137,800,220.658826
422.950601,800,223.807097
298.541417,800,226.95629
0.320327,800,230.106661
335.666104,800,233.255756
337.934972,800,236.402238
461.725278,800,250.60972
421.321436,800,253.759719
393.838161,800,256.917744
400.73086,800,260.082583
406.083356,800,263.251153
417.561356,800,266.409277
418.08191,800,280.646896
412.540491,800,283.752069
445.025918,800,286.895583
425.511582,800,290.062423
424.428986,800,293.224913
440.593198,800,296.393809
451.143818,800,310.755921
433.85832,800,314.466948
348.181802,800,318.115228
-0.743151,800,321.818015
532.761994,800,325.540735
587.540135,800,329.268727
550.364255,800,332.949713
603.331415,800,350.491449
652.216017,800,354.236609
619.873504,800,357.972705
571.669933,800,361.707927
680.81247,800,364.912815
690.004152,800,368.028807
650.132643,800,384.076471
661.243022,800,387.841916
672.21012,800,391.63494
650.750326,800,395.405278
660.074039,800,399.190301
685.11816,800,402.984393
635.303342,800,419.346753
672.931462,800,422.708721
552.699468,800,426.050283
653.584811,800,429.402412
663.561913,800,432.755337
695.241091,800,436.111746
684.794141,800,450.50517
661.393531,800,453.877346
691.54175,800,457.251267
682.109005,800,460.626604
677.243539,800,463.999774
657.752488,800,467.360981
688.275907,800,470.608402
659.958158,800,484.90504
684.284181,800,488.16144
674.813004,800,491.417453
688.517846,800,494.808859
662.602854,800,498.650105
682.024213,800,502.481108
664.50256,800,519.895527
699.86607,800,523.182626
674.828487,800,526.397229
658.170673,800,529.62073
664.403158,800,532.823504
662.182829,800,536.039744
679.307057,800,550.954638
647.202143,800,554.797257
671.261597,800,558.646761
684.219983,800,562.481379
701.91959,800,566.31764
671.341028,800,570.154919
655.397594,800,587.794926
669.928991,800,591.656201
657.711738,800,595.487945
684.026519,800,599.333185
171.984889,687,603.129042
677.812398,800,606.47828
687.854653,800,610.387432
680.668107,800,628.027718
675.926431,800,631.868685
670.400976,800,635.719125
648.624087,800,639.572833
669.749423,800,643.419374
656.874095,800,647.258736
675.673548,800,664.655185
675.006213,800,668.082192
685.688855,800,671.229589
688.38001,800,674.563074
668.027736,800,677.949575
701.049998,800,681.337577
685.121544,800,695.707965
662.632728,800,699.053308
680.669964,800,702.440985
696.736662,800,705.837689
680.645764,800,709.26599
660.035587,800,712.662652
693.549122,800,726.45105
655.425357,800,729.840717
684.925064,800,733.244742
686.880883,800,736.332988
705.199512,800,739.320982
651.932459,800,742.267195
686.382044,800,745.145081
656.562038,800,756.351979
658.749839,800,759.283908
689.177953,800,762.211758
677.877535,800,765.144751
670.092243,800,768.065234
672.852856,800,771.005701
676.501972,800,782.450902
686.948502,800,785.381236
673.119688,800,788.379843
663.727618,800,791.34236
666.77642,800,794.268496
664.578979,800,797.18767
-181.682698,354,800.417509
662.199498,800,812.745176
677.768915,800,816.166935
-93.947387,444,819.462794
33.229998,541,821.375152
664.013019,800,823.783815
647.097776,800,827.195317
671.743507,800,830.608912
209.865657,733,845.038637
672.709905,800,848.198714
657.490031,800,851.636564
690.263011,800,855.068178
660.687871,800,858.497156
658.569126,800,861.867058
649.19517,800,876.368418
624.242789,800,879.793134
-400.16197,68,882.96016
671.346185,800,883.508041
679.170103,800,886.925575
660.624241,800,890.315804
632.96924,800,893.727974
632.658174,800,907.591619
675.57853,800,911.017416
668.470854,800,914.428673
646.689357,800,917.545267
664.023613,800,920.465968
673.320203,800,923.388352
643.407557,800,935.076756
675.622267,800,938.490523
695.184014,800,941.895646
661.767082,800,945.296235
645.524318,800,948.70601
677.247648,800,952.118374
673.772206,800,955.528438
684.257351,800,969.975506
