#{"t_start": 1625516318.03399, "env_id": null}
r,l,t
-403.241243,75,0.031873
-403.083687,43,0.186454
-79.21019,800,0.523576
-408.302021,86,1.958151
-471.564895,741,2.343916
-402.156866,19,3.674023
-402.676719,23,3.713694
-403.210552,23,3.761467
-414.177367,60,3.821017
-427.198278,182,3.978469
180.592529,800,4.535246
202.777583,800,6.146293
-245.755892,426,7.658734
-312.177033,545,8.583268
-324.053,717,11.969815
304.801549,800,13.493217
363.063801,800,15.186218
-273.265599,359,16.730178
54.859498,800,17.598951
383.176376,800,19.320234
-348.284975,197,20.797727
-150.321363,606,21.33778
336.484632,800,25.057614
377.131818,800,26.7183
447.883836,800,28.322338
458.825388,800,29.923741
452.825379,800,31.53925
440.341714,800,33.133783
436.951971,800,36.994477
431.230964,800,38.591641
509.727446,800,40.191597
466.407703,800,41.908244
540.271487,800,43.592126
532.8047,800,45.296587
617.035967,800,48.756289
-302.456871,170,50.270283
134.122899,701,50.808889
-286.03307,205,52.138547
635.128089,800,52.764411
638.100076,800,54.442661
656.638867,800,56.130656
714.090185,800,57.780619
673.557125,800,61.9119
730.808878,800,63.577927
684.743856,800,65.223535
683.962557,800,66.877794
676.718231,800,68.528612
677.839827,800,70.180063
631.903456,800,71.842767
696.798692,800,75.856495
706.025906,800,77.497623
673.620778,800,79.155267
693.075227,800,80.789492
715.003439,800,82.429909
-404.488899,65,83.866493
704.906499,800,84.250772
706.404463,800,88.374079
699.627787,800,90.067761
717.464441,800,91.773069
704.83848,800,93.418494
694.857009,800,95.048004
727.364544,800,96.699705
732.058759,800,101.059235
729.389052,800,102.787181
717.443074,800,104.506582
698.77413,800,106.266196
734.542073,800,108.049258
716.274964,800,109.877275
702.343879,800,114.004848
725.890925,800,115.700063
690.986817,800,117.358367
679.201775,800,118.995831
733.004882,800,120.630254
712.255654,800,122.3
692.827753,800,126.492291
716.78601,800,128.227592
721.727517,800,129.974163
697.882408,800,131.695847
683.659538,800,133.408577
696.023341,800,135.129887
679.300236,800,136.844467
701.62537,800,141.02762
694.400388,800,142.709611
686.181907,800,144.418194
685.327047,800,146.096616
670.676352,800,147.848289
707.451276,800,149.64562
669.165172,800,153.835288
722.358088,800,155.541555
706.808949,800,157.247783
673.199717,800,158.9549
-371.316843,107,160.433854
703.910639,800,160.914349
678.590914,800,162.648312
675.14903,800,166.841807
693.828199,800,168.500973
698.18499,800,170.170759
699.005279,800,171.877232
691.130279,800,173.504023
682.544408,800,175.136342
-106.446771,385,176.637168
683.869497,800,179.819093
689.929431,800,181.451417
690.909984,800,183.100492
676.088989,800,184.816475
703.624628,800,186.509979
662.965587,800,188.19329
681.58022,800,192.344245
-372.864445,94,193.810009
680.266011,800,194.251885
693.008295,800,195.92768
701.375813,800,197.614927
678.093974,800,199.239033
674.094966,800,200.897002
668.810083,800,204.931121
680.53204,800,206.593826
699.534174,800,208.258817
679.326712,800,209.921723
648.83118,800,211.681314
662.798165,800,213.400056
684.213965,800,217.442399
643.750655,800,219.104921
675.58665,800,220.849401
676.884556,800,222.567307
687.944677,800,224.28965
668.65318,800,226.04643
647.914914,800,227.768173
707.039992,800,231.831494
156.510318,661,233.462498
678.608018,800,234.881553
681.223124,800,236.88095
700.277383,800,238.672644
668.987852,800,240.353337
649.156475,800,244.390944
676.56316,800,246.041262
700.191281,800,247.715726
705.546617,800,249.326263
677.756782,800,250.918869
696.650395,800,252.520967
659.232151,800,256.525141
688.246362,800,258.161607
688.847875,800,259.768828
663.828122,800,261.392068
697.509382,800,263.009752
667.3017,800,264.624606
676.093717,800,266.23581
665.936748,800,270.119713
682.541795,800,271.731761
676.654869,800,273.349887
682.58905,800,274.960994
660.720803,800,276.559172
673.458105,800,278.158257
711.910027,800,282.016193
651.637158,800,283.682186
706.351239,800,285.372383
695.781927,800,287.078608
693.872734,800,288.782374
665.489942,800,290.49155
698.929002,800,294.672539
673.895989,800,296.379206
698.717479,800,298.092365
697.552811,800,299.766121
-339.315294,133,301.213331
662.991167,800,302.167966
685.418189,800,303.875247
672.743993,800,308.034523
661.079685,800,309.744528
683.321458,800,311.460208
-207.16318,281,312.994354
683.16261,800,313.768847
688.961152,800,315.472831
703.445529,800,317.180927
691.852417,800,321.355373
656.443156,800,323.52453
676.846064,800,325.215571
675.101723,800,326.898812
676.93404,800,328.594722
686.578913,800,330.303165
652.855218,800,334.496678
698.52348,800,336.240756
693.062872,800,337.921162
648.550688,800,339.632626
678.777935,800,341.324608
686.9918,800,343.013903
671.672536,800,344.636746
667.423458,800,348.605242
709.06617,800,350.259425
712.415614,800,351.919954
691.846892,800,353.566597
662.535621,800,355.297915
678.982611,800,356.978443
658.218175,800,361.085045
683.824173,800,362.771984
667.205754,800,364.465727
687.547952,800,366.14897
677.868755,800,367.831772
687.328856,800,369.4953
683.826375,800,373.543495
654.612578,800,375.206405
678.037716,800,376.868178
693.497267,800,378.652095
712.829344,800,380.377385
717.978303,800,382.010406
693.043749,800,386.054238
