#{"t_start": 1625513432.8945982, "env_id": null}
r,l,t
-9.733722,800,10.192361
-403.516461,39,11.898032
-487.464438,609,12.255395
-2.340167,800,13.905963
-404.133159,57,16.006419
-7.632578,800,16.515995
-0.41965,800,18.649083
-0.974632,800,20.667024
2.226624,800,32.077768
2.286711,800,34.071059
5.488475,800,36.0662
9.342322,800,38.023746
14.687898,800,39.985441
20.058245,800,41.961022
-348.787855,576,46.564996
44.543563,800,48.084656
32.349774,800,50.087377
128.610073,800,52.234237
121.770646,800,54.225139
133.528923,800,56.193643
122.945851,800,58.157037
124.783786,800,63.495928
141.883222,800,65.566029
173.199931,800,67.521286
193.213002,800,69.474887
199.014522,800,71.425002
239.843875,800,73.374641
266.582125,800,78.662474
248.582338,800,80.716737
303.36733,800,82.766318
334.719601,800,84.808782
268.918784,800,86.870731
298.19099,800,89.407023
338.974254,800,94.706167
315.943436,800,96.754516
348.159612,800,98.774855
360.249447,800,100.806298
338.022065,800,102.858348
261.72447,800,104.916232
247.988302,800,110.084802
240.609956,800,112.037493
246.549545,800,113.983027
220.345593,800,115.932956
244.270975,800,117.884081
223.474769,800,119.821969
298.188627,800,121.76994
274.052397,800,126.804163
337.63136,800,128.786205
379.464241,800,130.832733
400.118507,800,132.907745
401.36909,800,134.969352
405.648125,800,137.036489
352.487916,800,142.322749
371.050319,800,144.375569
167.801941,800,146.431448
367.806265,800,148.490164
277.973347,800,150.53622
277.19951,800,152.580487
367.554727,800,157.994486
397.581047,800,160.100163
322.846753,800,162.223488
403.100492,800,164.340168
395.726809,800,166.447734
420.743647,800,168.552157
379.997559,800,173.990789
389.508267,800,176.085759
403.248329,800,178.168016
397.852881,800,180.144943
396.639316,800,182.097973
402.820747,800,184.048034
419.49138,800,186.054413
365.097238,800,191.091873
379.081858,800,193.103186
357.678186,800,195.119668
231.020786,800,197.139313
281.407888,800,199.143114
350.811076,800,201.198816
28.418242,800,206.77664
-31.016416,800,208.749259
370.842492,800,210.715592
402.381949,800,212.677827
422.74472,800,214.6485
430.667811,800,216.660435
447.70089,800,220.867844
403.161751,800,222.82989
432.479119,800,224.780852
419.343873,800,226.733866
434.835035,800,228.718131
418.82672,800,230.704744
428.087268,800,235.885008
386.006615,800,237.887078
409.309629,800,239.918169
240.868234,800,241.963456
-9.612854,800,244.006505
-48.173072,800,246.045558
-51.568338,800,248.035939
-78.442002,800,253.137774
-67.15879,800,255.148849
565.033984,800,257.139635
548.702666,800,259.073307
535.90023,800,261.029193
534.138628,800,262.961509
629.135166,800,268.081293
527.887198,800,270.075772
581.173803,800,272.063245
606.847055,800,274.054492
595.542516,800,276.048876
591.74827,800,278.05652
551.50718,800,283.212413
544.915526,800,285.218798
551.399187,800,287.219923
535.545883,800,289.220611
484.482737,800,291.235481
541.806496,800,293.255711
562.181109,800,298.470314
544.994654,800,300.531269
-405.96616,70,302.285995
592.894982,800,302.975625
566.994738,800,305.403384
552.483308,800,307.592012
-404.963536,42,309.324648
475.332975,800,309.77629
500.121727,800,311.826838
579.98552,800,317.103728
541.366337,800,319.145348
570.53698,800,321.193767
568.373406,800,323.236039
513.830235,800,325.211848
35.947699,674,327.114955
574.021422,800,331.899835
552.259816,800,333.863542
572.598511,800,335.817843
556.020893,800,337.777676
527.758935,800,339.732031
-93.95224,539,341.621285
527.675853,800,346.331615
561.859191,800,348.376837
526.085336,800,350.410163
553.970766,800,352.4275
568.141099,800,354.65118
477.640891,800,356.888947
541.428002,800,358.844409
522.533852,800,363.897051
573.04001,800,365.892512
478.905225,800,367.888866
573.229696,800,369.897784
561.687452,800,371.946326
568.588171,800,374.007319
530.397846,800,379.454849
568.550676,800,381.426127
533.687636,800,383.38804
533.871107,800,385.358466
532.086792,800,387.316873
582.99297,800,389.256909
601.954569,800,394.298203
572.552904,800,396.258674
515.395796,800,398.208826
595.369178,800,400.167495
543.938446,800,402.123544
585.417328,800,404.081501
586.783803,800,409.125931
523.4983,800,411.079593
563.441616,800,413.040427
618.382678,800,414.999566
596.136962,800,416.956909
555.606327,800,418.917299
569.865667,800,420.869502
548.917081,800,425.910914
492.323449,800,427.864318
514.571003,800,429.818914
540.060691,800,431.772834
516.328593,800,433.731708
532.420875,800,435.68443
551.457036,800,440.735871
499.938447,800,442.696103
558.528497,800,444.682686
557.240846,800,446.688589
580.197777,800,448.702889
578.292571,800,450.698502
581.674472,800,455.895765
579.621073,800,457.887898
583.565887,800,459.844728
547.493305,800,461.800059
616.746334,800,463.760321
591.651441,800,465.718677
565.184481,800,470.766524
528.114429,800,472.738481
602.846621,800,475.128133
588.029218,800,477.56016
553.684654,800,479.724113
544.941815,800,482.071928
591.17281,800,484.154735
549.978162,800,489.5542
