#{"t_start": 1625560143.0424736, "env_id": null}
r,l,t
-2.69398,800,0.271494
-406.247588,64,1.666293
15.827552,800,2.037098
-2.659905,800,3.679613
-407.471969,405,5.192517
-440.624191,205,5.954521
-15.466027,800,6.564669
-20.384547,800,8.199238
-13.792187,800,12.211287
-3.65836,800,13.809515
3.874514,800,15.38631
-29.748852,800,16.983428
14.059507,800,18.624993
-1.710905,800,20.255495
16.255153,800,24.253204
7.739911,800,25.889872
15.48955,800,27.50961
19.254398,800,29.130717
29.003442,800,30.740091
30.192018,800,32.365191
101.244814,800,36.379721
43.858346,800,37.986338
48.955057,800,40.075218
51.885233,800,41.704352
103.529016,800,43.325908
85.091381,800,44.959908
78.558345,800,46.623586
88.370046,800,50.628695
75.055496,800,52.280303
85.030857,800,53.943677
92.913327,800,55.598172
79.803379,800,57.219926
83.502391,800,58.838986
87.395958,800,62.916533
105.016678,800,64.542862
119.071215,800,66.242475
108.970158,800,68.004648
113.759674,800,69.865507
117.31134,800,71.573081
125.634876,800,75.879295
118.247188,800,77.576117
129.80785,800,79.241171
122.596675,800,80.934318
118.799659,800,82.573191
120.093133,800,84.186674
119.988862,800,88.245944
105.27966,800,89.892949
117.329896,800,91.586988
44.386471,800,93.258121
126.109175,800,94.941057
123.663461,800,96.636521
123.182647,800,98.388384
124.629442,800,102.4827
140.06498,800,104.167908
127.844803,800,105.887554
137.181702,800,107.580197
140.466467,800,109.272293
133.690858,800,110.941409
133.909481,800,115.03965
126.85322,800,116.68933
131.367239,800,118.336912
141.881132,800,120.225669
136.549071,800,121.93585
132.993007,800,123.608633
136.002902,800,127.48808
128.26109,800,129.098109
130.415581,800,130.708819
135.684964,800,132.317494
134.023171,800,133.918379
134.889835,800,135.520091
144.51906,800,139.406536
129.48037,800,141.043768
144.134741,800,142.732201
133.782413,800,144.49478
137.865535,800,146.246053
139.057843,800,147.928319
137.371389,800,149.604401
121.691719,800,153.538142
135.742078,800,155.202187
125.40242,800,157.063993
133.651251,800,158.811849
130.440828,800,160.542123
132.605533,800,162.258068
141.842764,800,166.459675
141.021947,800,168.156434
131.37385,800,169.871903
126.806347,800,171.559205
113.879468,800,173.207077
141.639387,800,174.856656
132.795115,800,178.96268
138.657335,800,180.641266
136.303062,800,182.347856
132.532469,800,184.119176
138.721423,800,185.831313
134.449062,800,187.515883
132.593325,800,191.563614
130.298593,800,193.2229
131.00011,800,194.854594
140.580381,800,196.465055
129.377396,800,198.077404
139.033936,800,199.685521
137.059064,800,201.285209
135.646009,800,205.134542
130.015974,800,206.726753
142.721275,800,208.358825
136.079382,800,209.972172
137.675131,800,211.607508
132.935866,800,213.27537
132.649763,800,217.506287
141.367839,800,219.357203
135.521226,800,221.177443
140.585961,800,223.009999
143.550393,800,224.94273
130.593064,800,226.637522
137.82023,800,230.614416
130.820993,800,232.33425
121.237345,800,234.363307
123.603293,800,236.154805
116.08837,800,237.882588
138.545703,800,239.711992
124.905681,800,244.238674
136.091057,800,246.105736
135.362237,800,247.721568
133.921286,800,249.330471
141.684496,800,251.017071
133.31787,800,252.741618
126.396817,800,254.38915
137.923135,800,259.130455
136.568174,800,260.98062
136.749089,800,262.629042
136.153072,800,264.290291
142.138961,800,265.972332
133.319833,800,267.661459
131.997362,800,271.695537
135.49919,800,273.360406
139.271276,800,275.277064
120.062995,800,277.112398
136.24066,800,278.744719
141.51695,800,280.415846
125.89803,800,284.515859
132.622437,800,286.188274
128.693801,800,287.841998
135.640946,800,289.468359
121.261543,800,291.072213
140.364584,800,292.661496
137.448739,800,296.516859
136.970966,800,298.180714
132.846692,800,299.820859
145.032946,800,301.484688
133.444204,800,303.182478
146.250056,800,304.88711
134.884442,800,306.571031
127.911662,800,311.011345
145.60688,800,312.958495
132.512251,800,314.626528
133.449552,800,316.296078
141.7009,800,318.228889
136.043542,800,319.963796
136.243767,800,323.88367
141.148703,800,325.493725
143.328972,800,327.098094
123.595843,800,328.720873
143.363491,800,330.382658
130.791801,800,332.063569
132.761839,800,336.218237
141.345537,800,337.893067
141.107809,800,339.564902
149.371685,800,341.215343
139.218232,800,342.853596
135.112637,800,344.489878
140.446177,800,348.510987
141.454293,800,350.175043
142.127557,800,352.07688
137.634231,800,353.831473
128.085043,800,355.46044
137.108842,800,357.062318
136.124399,800,358.776664
135.373378,800,362.783323
139.39762,800,364.437421
145.655637,800,366.094402
140.498783,800,367.752071
137.7343,800,369.436443
146.822479,800,371.084914
133.646567,800,375.154073
145.71393,800,376.847531
140.134804,800,378.50629
137.091965,800,380.142033
139.815167,800,381.8177
134.781236,800,383.461476
133.668491,800,387.456434
