#{"t_start": 1625707359.2040212, "env_id": null}
r,l,t
-402.468721,20,0.008331
-417.761266,167,0.108387
-406.099971,58,0.586032
-423.216261,139,0.77897
-434.196447,206,1.217755
-107.8951,800,1.997486
30.507869,800,4.451634
23.596845,800,6.885871
26.978553,800,9.331125
-434.473618,342,11.654733
-344.934527,405,12.723695
-164.09542,608,15.152305
156.702536,800,17.04565
-399.508358,84,19.292452
-289.498098,325,19.616471
-343.323483,273,20.588485
319.074441,800,21.560549
392.50336,800,24.002849
336.131826,800,26.45297
393.767088,800,28.90552
376.676738,800,33.073016
363.746955,800,35.52919
381.521228,800,37.979473
380.713812,800,40.430464
416.798163,800,42.880679
435.259999,800,45.327627
416.449616,800,49.483056
473.170313,800,51.939501
501.826079,800,54.384008
471.694707,800,56.841622
551.330965,800,59.300012
494.879081,800,61.760611
544.833258,800,65.924911
549.500606,800,68.384264
-297.820859,229,70.700557
-56.32367,529,71.486499
-258.827506,277,73.048705
588.20712,800,74.068262
602.276216,800,76.532008
672.42593,800,78.989412
-341.463155,139,81.280236
657.688256,800,83.594949
631.222369,800,86.058653
694.153819,800,88.524929
690.831839,800,90.992022
9.809687,515,93.377901
708.249614,800,95.054378
700.921182,800,97.524303
704.572652,800,101.681687
695.300719,800,104.148085
-121.130445,370,106.501989
705.917353,800,107.751235
718.151963,800,110.223493
700.646759,800,112.694248
716.354849,800,116.865774
706.914538,800,119.350289
738.374893,800,121.831155
675.087668,800,124.319878
717.566489,800,126.811985
691.832066,800,129.312397
683.724705,800,131.806324
691.047503,800,136.003572
714.799251,800,138.518673
687.636501,800,141.05946
701.38238,800,143.580871
720.741909,800,146.106149
711.324995,800,148.646494
722.423866,800,152.87603
720.375194,800,155.425963
686.754862,800,157.961406
689.241156,800,160.503802
708.555147,800,163.054247
701.143882,800,165.608269
710.430995,800,169.833253
710.467636,800,172.387584
691.693483,800,174.949985
716.709921,800,177.514501
718.317964,800,180.082284
697.042507,800,182.658481
680.733322,800,186.936666
723.272453,800,189.522536
723.137876,800,192.118694
678.666846,800,194.704309
677.48178,800,197.305727
-73.413001,406,199.805999
685.580807,800,201.231845
677.207519,800,205.530553
709.58809,800,208.146065
682.733856,800,210.999916
715.527418,800,213.466062
690.395194,800,216.00187
675.165297,800,218.498347
-84.072661,385,220.932959
703.078225,800,223.906174
-255.379802,231,226.3401
688.886806,800,227.230262
706.970968,800,229.817082
710.132569,800,232.402262
693.155769,800,234.988876
690.495351,800,237.581584
697.776891,800,241.835101
695.704092,800,244.45588
661.721327,800,247.06742
716.834319,800,249.678186
722.24456,800,252.288689
683.943709,800,254.90265
713.743545,800,259.24162
706.59797,800,262.012336
659.196469,800,264.715542
672.536054,800,267.438457
630.502737,800,270.154274
-136.496659,335,272.76435
-374.453812,91,273.842581
703.246285,800,274.337977
681.585898,800,278.701638
734.016463,800,281.429363
693.113993,800,284.149395
705.790143,800,286.838414
672.430262,800,289.547763
-401.552076,13,292.050382
689.819652,800,292.299647
678.194305,800,296.680603
-328.529655,149,299.225975
679.298482,800,299.899814
44.829545,523,302.54463
691.703355,800,304.399
690.046704,800,307.103186
688.591581,800,309.807887
667.315051,800,314.192843
662.40335,800,316.876164
683.277099,800,319.561554
676.996461,800,322.245783
676.457571,800,324.949352
689.724246,800,327.646957
707.009321,800,330.346314
707.042834,800,334.736213
682.89577,800,337.434232
695.624714,800,340.129764
705.933993,800,342.832955
645.152578,800,345.54361
692.383882,800,348.251849
677.938209,800,352.646086
686.349847,800,355.364647
678.549393,800,358.081957
678.357644,800,360.802366
678.415127,800,363.555223
724.806428,800,366.292766
700.326199,800,370.703546
719.05949,800,373.439758
667.948118,800,376.169366
672.710051,800,378.921102
707.356971,800,381.666137
703.325365,800,384.42203
684.11902,800,388.852413
668.586834,800,391.609377
649.485045,800,394.350823
688.877662,800,397.097991
705.829062,800,399.852781
695.070595,800,402.615945
671.27263,800,405.380799
672.923379,800,409.832723
684.494854,800,412.581141
680.620689,800,415.342979
684.716451,800,418.129889
666.863728,800,420.882415
708.079181,800,423.642361
690.297592,800,428.098797
681.182563,800,430.85393
-400.584263,38,433.43786
683.063537,800,433.768414
644.821236,800,436.553612
698.66181,800,439.358711
674.451991,800,442.154767
663.52983,800,446.619975
699.721245,800,449.418338
691.864127,800,452.200695
655.32154,800,454.995294
676.317344,800,457.786854
699.793559,800,460.604129
642.545773,800,465.082833
675.055359,800,467.885556
689.53984,800,470.668719
655.543069,800,473.451112
690.451818,800,476.297643
664.915701,800,479.110967
711.655404,800,481.894891
684.939635,800,486.36171
672.452652,800,489.152714
655.256993,800,491.952266
713.347238,800,494.766012
705.369123,800,497.583576
683.302619,800,500.359679
686.341403,800,504.806464
679.225052,800,507.574597
682.73967,800,510.349526
717.237558,800,513.118862
705.312539,800,515.897786
679.511392,800,518.655349
663.385144,800,523.106087
666.829053,800,525.879084
670.392889,800,528.644038
666.671376,800,531.416126
690.209975,800,534.194554
686.880228,800,536.97134
694.562171,800,541.453746
