#{"t_start": 1625700536.446457, "env_id": null}
r,l,t
-421.960192,607,0.158488
-407.456398,63,1.807957
-447.664034,272,2.050895
-117.427287,800,3.004256
-401.936722,30,5.244918
-3.61765,800,5.532265
-5.354679,800,7.97419
-1.408089,800,10.456894
-11.315122,800,12.935906
-24.041586,800,17.021319
-8.032702,800,19.478178
4.843315,800,21.944897
-402.734861,479,24.326538
-401.363965,86,25.688668
-427.843761,582,26.082428
-13.428725,800,27.944052
3.867563,800,32.022404
6.810997,800,34.509115
3.930444,800,36.996108
4.055512,800,39.482935
16.157255,800,41.966109
19.566732,800,44.455472
29.003327,800,46.954871
37.477933,800,51.063986
28.285379,800,53.534578
31.842336,800,56.041468
27.605638,800,58.533112
32.651297,800,61.022329
36.568812,800,63.516995
33.207009,800,67.705679
42.262952,800,70.251499
40.228594,800,72.779552
39.251656,800,75.261901
42.697163,800,77.802833
50.734325,800,80.309623
45.043153,800,84.45569
58.967914,800,86.975363
55.62623,800,89.503942
56.145666,800,92.044708
58.492291,800,94.569314
61.204786,800,97.112249
59.123553,800,101.276591
65.746849,800,103.787103
60.97488,800,106.294155
67.881626,800,108.816612
69.270676,800,111.362731
69.412772,800,113.91714
74.855082,800,116.468259
78.229148,800,120.625341
79.128563,800,123.180404
75.243289,800,125.750991
65.042788,800,128.297043
77.664348,800,130.83516
74.079726,800,133.394841
72.38415,800,137.567187
72.194581,800,140.132064
72.735722,800,142.700359
73.735296,800,145.274683
73.96783,800,147.852497
82.748623,800,150.438856
83.720251,800,154.64195
78.78026,800,157.230649
86.771154,800,159.874141
86.586468,800,162.466748
81.75424,800,165.069572
81.652253,800,167.665705
89.091062,800,171.867193
80.151109,800,174.48369
97.738593,800,177.104901
81.577555,800,179.714551
89.701996,800,182.335716
38.808105,800,184.962075
63.840886,800,187.581552
73.92484,800,191.7998
80.012469,800,194.436811
76.114333,800,197.087968
88.12746,800,199.734496
96.245264,800,202.393121
83.215359,800,205.071422
92.355444,800,209.377583
90.230506,800,212.082522
80.58035,800,214.812369
85.932034,800,217.549483
90.258316,800,220.29222
98.69948,800,223.045711
87.054143,800,227.421133
89.728586,800,230.202679
81.751243,800,232.98368
84.298897,800,235.77335
90.481421,800,238.568056
95.029607,800,241.369951
87.533574,800,245.78584
82.877354,800,248.600579
93.158139,800,251.435037
93.896603,800,254.268959
88.728693,800,257.10238
91.153801,800,259.938498
100.146848,800,262.775091
86.2977,800,267.221337
96.437308,800,270.072807
94.284943,800,272.910778
85.114941,800,275.748718
94.076376,800,278.583535
84.82212,800,281.425825
92.523498,800,285.889576
86.722459,800,288.735422
96.939295,800,291.592359
93.823352,800,294.458243
90.79049,800,297.324803
87.00165,800,300.186586
92.623903,800,304.660712
90.382664,800,307.543739
96.599358,800,310.42757
89.87921,800,313.309856
95.135148,800,316.211338
84.561918,800,319.113029
88.515822,800,323.653955
87.760609,800,326.556039
97.619973,800,329.461284
89.402951,800,332.355195
90.043272,800,335.255501
94.667105,800,338.152952
88.632159,800,341.054813
102.231914,800,345.558506
83.05088,800,348.471028
85.430797,800,351.372885
103.596171,800,354.285805
83.912241,800,357.205539
87.74167,800,360.128997
96.578971,800,364.715052
102.027195,800,367.64708
96.580013,800,370.582725
90.198626,800,373.516685
85.784679,800,376.450493
91.433649,800,379.385536
89.737492,800,383.951571
88.437886,800,386.882557
101.722185,800,389.818343
97.80774,800,392.744868
90.750613,800,395.675278
83.605462,800,398.609747
82.905635,800,403.152102
97.175559,800,406.104228
84.953347,800,409.061331
87.61881,800,412.021446
93.448681,800,414.960792
85.57374,800,417.915215
94.606269,800,420.859216
94.89845,800,425.407779
100.377827,800,428.352583
94.232119,800,431.304712
95.338931,800,434.250056
84.64966,800,437.197137
92.251638,800,440.147835
90.40307,800,444.715405
87.737648,800,447.667463
87.92949,800,450.615448
98.685468,800,453.560528
91.472113,800,456.513097
76.147275,800,459.451688
90.891679,800,464.012507
96.508153,800,466.972564
94.820578,800,469.930573
95.605327,800,472.935555
93.056162,800,475.894463
86.248777,800,478.85815
101.767807,800,483.439677
89.178125,800,486.407964
88.650249,800,489.293744
94.040559,800,492.067271
91.57161,800,494.849431
91.396998,800,497.713437
96.721245,800,500.56752
98.398457,800,504.996435
98.617324,800,507.852663
87.184314,800,510.719491
100.369976,800,513.598375
93.959559,800,516.484107
90.829846,800,519.357395
93.950202,800,523.827878
92.529369,800,526.771101
96.125014,800,529.689406
98.800515,800,532.596885
98.760819,800,535.52109
97.699425,800,538.442196
92.541526,800,542.957293
88.50319,800,545.896058
97.680183,800,548.826659
79.697148,800,551.762233
97.600013,800,554.69082
90.434744,800,557.634795
89.37076,800,562.152935
