#{"t_start": 1625703212.6064475, "env_id": null}
r,l,t
-400.411445,72,0.022875
-401.614288,38,0.218684
-405.35944,58,0.332574
52.527569,800,0.689969
-412.681748,111,2.787491
197.251805,800,3.284238
-391.997951,115,5.401756
-371.97204,451,5.825308
-251.894481,645,7.246301
-310.526398,335,9.025199
288.216715,800,10.114747
388.681788,800,14.082281
-305.743273,395,16.286645
-279.897631,568,17.46885
-360.500587,248,19.019847
-300.126635,361,19.765678
378.50761,800,20.920381
373.223835,800,23.224056
391.682694,800,25.53659
383.679492,800,27.851013
420.380881,800,31.774959
436.069078,800,34.090821
507.838752,800,36.397864
413.741208,800,38.709111
-252.456563,314,40.922708
-219.392984,356,41.841193
-186.645011,390,42.881699
597.627988,800,44.111536
481.776476,800,48.104028
662.708923,800,50.417166
679.52511,800,52.748362
612.072732,800,55.063858
708.04859,800,57.387343
696.491868,800,59.708846
713.620246,800,63.706861
650.823675,800,66.027806
642.348614,800,68.350801
688.212013,800,70.678097
713.118176,800,73.003139
703.133789,800,75.333081
652.942099,800,79.31414
655.460461,800,81.633771
701.314535,800,83.957519
705.670746,800,86.282714
688.629046,800,88.608182
620.457258,800,90.932168
712.467986,800,94.927203
706.227702,800,97.256921
716.414703,800,99.592931
679.041356,800,101.932361
681.563794,800,104.261863
713.163672,800,106.609428
728.564756,800,108.946466
305.418697,792,112.952806
112.818822,663,115.245975
699.356377,800,117.230091
703.221578,800,119.574373
710.622612,800,121.925861
704.09788,800,124.278806
267.430156,757,128.295054
718.691543,800,130.536658
702.559097,800,132.890606
676.165893,800,135.246454
-189.272784,293,137.425696
-400.314004,36,138.195302
717.903453,800,138.489532
693.172296,800,140.762233
710.439882,800,144.646935
-376.176141,95,146.771911
729.536233,800,147.228709
-401.288855,37,149.356544
-367.107291,97,149.480571
687.306614,800,149.937912
-31.988353,436,152.198122
705.832681,800,153.567081
733.018038,800,155.911755
704.640823,800,159.876719
670.958373,800,162.233255
719.477971,800,164.572994
690.540729,800,166.91617
697.610028,800,169.259465
728.824342,800,171.611399
-401.14931,37,173.769143
685.493802,800,174.07461
702.346758,800,178.05963
711.037031,800,180.435494
689.192362,800,182.801467
680.909078,800,185.178731
685.020746,800,187.55997
676.151648,800,189.94374
660.725899,800,193.949052
695.06208,800,196.345174
671.030568,800,198.738849
687.852051,800,201.14857
717.528715,800,203.604955
627.995886,800,206.040309
665.271189,800,210.116609
696.473893,800,212.568538
682.234542,800,215.029195
675.80675,800,217.480265
680.968803,800,219.947824
683.467008,800,222.429396
-400.829261,36,224.707434
719.92622,800,226.654256
675.670791,800,229.137734
686.917317,800,231.634402
705.432649,800,234.132557
702.636514,800,236.626408
-336.385792,139,238.959006
673.034154,800,239.562698
717.19805,800,243.693594
699.40449,800,246.193488
703.436385,800,248.698787
679.427739,800,251.193796
654.896989,800,253.689377
661.466503,800,256.191184
-401.552192,13,258.487464
695.184503,800,258.72897
673.878336,800,262.868931
713.612677,800,265.383503
668.258253,800,267.895254
707.943382,800,270.408814
673.188072,800,272.908397
696.529928,800,275.415504
683.789645,800,279.539366
680.38267,800,282.05962
694.522765,800,284.564644
708.408975,800,287.07895
661.960833,800,289.598475
688.312004,800,292.105776
695.631836,800,296.246423
664.019456,800,298.791873
669.592513,800,301.317178
681.517487,800,303.834188
677.654208,800,306.362866
698.421876,800,308.89449
711.603323,800,313.046797
650.858223,800,315.567266
695.733626,800,318.125776
706.881385,800,320.665256
689.624093,800,323.201952
685.489579,800,325.728057
648.207693,800,328.261417
702.457179,800,332.421566
715.203439,800,334.960614
681.349741,800,337.495732
690.253158,800,340.027033
-2.438659,504,342.490556
638.029689,800,344.152725
698.477341,800,348.321995
-167.021517,323,350.719528
695.508596,800,351.853417
692.509248,800,354.376749
662.102398,800,356.902178
697.396293,800,359.436656
673.032339,800,361.975423
693.32096,800,366.143594
671.631905,800,368.672651
701.883623,800,371.206015
637.234576,800,373.735301
-219.626193,259,376.130231
690.342827,800,377.08614
665.614672,800,379.609747
723.526409,800,383.78402
667.838588,800,386.318147
646.652588,800,388.847763
670.4037,800,391.376318
-8.703949,524,393.841287
671.649606,800,395.575756
692.342679,800,398.107019
656.049724,800,402.289541
689.441502,800,404.83228
712.386007,800,407.365551
672.60833,800,409.897835
639.64319,800,412.431339
114.940969,640,414.917919
679.822934,800,418.603024
54.505341,555,421.071379
673.590185,800,422.88893
235.352353,781,425.410991
671.869887,800,427.889597
678.082463,800,430.425912
-3.89683,527,432.893662
627.269533,800,436.264099
698.954609,800,438.837717
-325.662738,145,441.220644
668.047031,800,441.857799
670.389762,800,444.396407
693.890037,800,446.941815
652.691499,800,449.501024
684.612888,800,453.731741
703.131827,800,456.275855
681.872504,800,458.822189
671.310308,800,461.370377
693.494849,800,463.918478
658.0495,800,466.459592
687.913427,800,470.634358
623.94851,800,473.176398
682.531897,800,475.730834
689.563357,800,478.279372
695.961331,800,480.822378
723.64735,800,483.374089
653.762743,800,485.922484
696.705331,800,490.112931
689.113324,800,492.677976
653.383873,800,495.234352
658.003542,800,497.800219
647.365428,800,500.360899
-18.95756,486,502.850681
675.239889,800,506.113439
