#{"t_start": 1625705809.156437, "env_id": null}
r,l,t
-401.735295,34,0.010601
-403.082112,57,0.107733
-402.078379,23,0.266782
-37.745859,800,0.531858
-107.285195,800,2.88083
0.406231,800,5.347482
2.253887,800,7.774241
-38.471621,800,10.177733
-22.042466,800,12.614839
-31.013763,800,16.588211
-3.710334,800,19.00444
0.135853,800,21.496773
3.275402,800,23.918778
6.746831,800,26.332571
7.605008,800,28.74501
15.216757,800,32.703163
14.52205,800,35.119702
25.739124,800,37.526641
-260.635995,708,39.910484
105.302788,800,42.061443
-343.453238,220,44.323842
-331.603079,245,44.9951
-127.311284,722,45.846624
383.166407,800,49.360726
-366.662189,123,51.587763
-336.232142,188,51.973906
-313.00614,243,52.556338
-251.509104,411,53.32183
-332.64386,211,54.511288
-289.09178,274,55.166507
-286.366542,308,55.996952
330.011057,800,57.04404
-331.631918,194,59.296057
-262.310098,356,59.918212
-326.160065,221,60.961086
-286.196564,298,61.645077
366.438275,800,64.23433
379.880616,800,66.633839
372.119896,800,69.031469
343.23845,800,71.427533
387.758772,800,73.819556
-86.826045,669,76.185437
395.442677,800,78.23007
-253.583885,360,81.615193
364.981684,800,82.801303
-351.258241,155,85.06503
363.994173,800,85.691813
-246.612821,390,87.995912
388.156046,800,89.26255
376.075365,800,91.533451
375.290228,800,93.820973
419.969279,800,97.626235
399.964504,800,99.906773
398.529669,800,102.20645
421.706368,800,104.497351
442.577068,800,106.810966
399.326857,800,109.125803
397.669651,800,113.009464
383.311257,800,115.346367
374.896934,800,117.677954
398.84325,800,120.013157
404.05915,800,122.359715
415.339324,800,124.70162
410.562442,800,128.579336
427.364888,800,130.93041
416.459682,800,133.295204
437.267039,800,135.660276
457.176138,800,138.060492
456.034447,800,140.454369
428.491285,800,142.851482
411.481186,800,146.80183
445.093189,800,149.207148
462.411735,800,151.622404
489.794789,800,154.042468
488.058686,800,156.466981
503.203838,800,158.889204
512.581086,800,162.842023
526.137468,800,165.27458
520.435052,800,167.71333
540.340588,800,170.147583
543.628999,800,172.596836
526.615556,800,175.046092
540.223976,800,179.024114
525.824474,800,181.495939
581.62987,800,183.968151
-296.084342,175,186.294354
589.432473,800,186.988813
193.105536,799,189.464703
608.651339,800,191.948338
584.588717,800,195.963399
647.301822,800,198.465616
645.659471,800,200.967718
650.571937,800,203.476577
715.823537,800,206.012021
726.154872,800,208.564673
713.604159,800,211.116823
713.320954,800,215.219872
709.052506,800,217.800123
700.077457,800,220.380885
673.20301,800,222.974077
688.866621,800,225.574855
675.287517,800,228.187897
711.459691,800,232.353735
680.729653,800,234.982633
683.15133,800,237.607325
691.10556,800,240.242584
701.545742,800,242.887807
689.470374,800,245.538025
724.15216,800,249.727536
732.549432,800,252.381348
711.29543,800,255.035629
701.34884,800,257.69875
715.341944,800,260.355973
693.982118,800,263.016503
-300.834553,178,265.540043
705.8277,800,267.824344
704.1984,800,270.4935
675.449085,800,273.156806
709.871789,800,275.820593
-220.008773,268,278.355911
689.240317,800,279.377939
714.064435,800,282.044045
679.692888,800,286.249247
716.061638,800,288.918278
712.524153,800,291.590061
684.276592,800,294.264039
725.996616,800,296.938534
713.109078,800,299.608257
-5.177934,503,302.212071
704.238073,800,305.049863
684.974457,800,307.716683
-370.347148,97,310.22472
688.476802,800,310.719256
724.094234,800,313.397937
690.922091,800,316.071479
693.643916,800,318.751069
719.677112,800,322.962825
708.120371,800,325.66542
693.231432,800,328.347861
706.560551,800,331.031363
718.350651,800,333.710685
726.101776,800,336.403025
659.563354,800,340.620249
195.028056,702,343.284341
719.347485,800,345.669057
717.512055,800,348.361055
713.193834,800,351.060889
690.265567,800,353.754587
713.538414,800,358.002869
677.592444,800,360.705751
654.419096,800,363.406785
674.34978,800,366.106997
699.168708,800,368.810728
710.818529,800,371.516293
642.702974,800,374.225358
678.324281,800,378.457254
678.333103,800,381.162611
686.984659,800,383.863065
665.519371,800,386.567145
700.847243,800,389.268208
691.124458,800,391.96473
687.16395,800,396.194106
698.725033,800,398.900479
681.288064,800,401.607507
698.33917,800,404.325478
671.131942,800,407.03999
686.341343,800,409.759877
682.649802,800,414.009954
697.05568,800,416.732167
683.423414,800,419.45618
705.172008,800,422.181606
681.011711,800,424.909157
683.380232,800,427.698097
678.835229,800,431.963395
690.39851,800,434.690439
701.505768,800,437.410422
713.864189,800,440.136099
673.605996,800,442.870764
665.048086,800,445.60979
720.02137,800,448.344635
687.958849,800,452.614614
-400.126748,39,455.183273
688.512818,800,455.500656
677.455305,800,458.249694
691.61687,800,460.997743
680.248523,800,463.751229
672.208138,800,466.501162
668.140174,800,470.798013
643.837106,800,473.562957
-401.739971,38,476.150147
700.001004,800,476.468462
683.570037,800,479.231768
700.247981,800,481.980619
713.33062,800,484.726712
703.115816,800,489.025617
-142.583689,354,491.67936
702.276753,800,493.007407
706.762315,800,495.762207
710.839998,800,498.528411
-149.385696,352,501.179264
685.324824,800,502.500976
667.4478,800,506.806756
669.598166,800,509.559995
672.526113,800,512.331509
666.15656,800,515.096095
700.74402,800,517.860209
-265.952324,218,520.483719
671.101762,800,521.379824
-92.164949,384,524.043338
699.006203,800,527.001049
