#{"t_start": 1625667030.8582327, "env_id": null}
r,l,t
-406.904223,54,0.017639
-22.537422,800,0.407224
-3.505166,800,2.853523
-5.191008,800,5.45801
-313.282925,584,7.897046
-393.992346,129,9.637731
-393.625479,148,10.179975
-403.019083,78,10.656747
-393.132346,103,10.928212
-386.286927,138,11.286432
-394.343407,130,11.719316
-390.435214,145,12.160872
-330.188302,662,12.779319
-359.964307,162,14.752472
205.729924,800,17.159873
290.928329,800,19.864479
-327.514339,279,22.230176
376.228369,800,23.35038
365.293328,800,25.888069
352.330504,800,28.363929
-165.127646,575,30.762947
345.456502,800,34.265755
409.645727,800,36.6945
-315.115134,207,38.975729
-317.240395,207,39.608514
405.714357,800,40.397916
378.196116,800,42.874316
376.535884,800,45.331403
443.756358,800,47.787855
465.893252,800,51.358727
-226.656102,323,53.678607
-196.806915,339,54.671293
-257.28471,248,55.678425
98.675751,750,56.635708
-329.551604,145,58.864699
-338.532539,142,59.306878
-218.652044,282,59.778071
-305.472559,182,60.617574
-315.404214,158,61.167416
-288.811415,188,61.661382
-302.400105,186,62.311505
-328.672098,146,62.87594
592.308034,800,63.514877
661.900463,800,67.817228
695.998836,800,70.320224
652.425946,800,72.854478
698.691153,800,75.381262
664.528937,800,77.892058
717.372746,800,80.364673
705.225364,800,84.799326
714.170294,800,87.303289
712.957903,800,89.760734
27.095457,540,92.189316
706.661679,800,93.916676
-158.609077,325,96.244361
-78.765068,388,97.264431
669.32417,800,98.565135
49.710708,558,102.711824
708.34427,800,104.653121
697.902188,800,107.372893
715.019037,800,110.022937
711.303499,800,112.567943
732.839166,800,115.143499
707.158174,800,117.69393
709.128787,800,121.981198
673.202285,800,124.6723
691.27886,800,127.288769
681.268969,800,129.815874
713.898778,800,132.306082
711.370299,800,134.789638
676.757458,800,139.001404
683.373501,800,141.500112
707.054312,800,144.012694
700.55653,800,146.518191
-225.906686,259,148.888822
632.355623,800,149.844879
681.993784,800,152.359953
694.986366,800,156.695368
675.917895,800,159.302636
695.933445,800,161.903593
665.250189,800,164.643166
687.301975,800,167.56106
691.911968,800,170.408707
691.097875,800,174.755428
-328.048965,138,177.142845
683.063871,800,177.783725
717.440836,800,180.462111
702.196002,800,183.033909
706.446382,800,185.750258
681.43138,800,188.436446
680.428687,800,192.9801
711.991873,800,195.574505
710.554496,800,198.15176
685.708993,800,200.747174
711.489942,800,203.505338
681.353157,800,206.126891
692.118777,800,210.445314
699.427559,800,213.075442
693.365181,800,215.732427
662.207593,800,218.375793
689.127921,800,221.02605
677.17828,800,223.693274
703.728941,800,226.378528
703.868772,800,230.659627
677.483219,800,233.208246
672.325807,800,235.80587
672.042941,800,238.416416
730.86327,800,241.074798
704.970816,800,243.748852
690.006724,800,248.203271
688.330774,800,250.979289
711.130836,800,253.711313
703.000192,800,256.418555
676.93875,800,259.11427
700.964364,800,261.963701
682.275669,800,266.349097
706.514913,800,269.055998
675.739414,800,271.892128
709.310143,800,274.81596
701.19965,800,277.666056
675.941709,800,280.539641
690.015195,800,285.179342
658.666757,800,288.172301
676.581404,800,291.1553
693.030495,800,294.038198
705.062746,800,296.867873
704.902888,800,299.76042
684.496709,800,302.684814
698.224542,800,307.421911
700.232111,800,310.345685
676.326638,800,313.318753
664.762181,800,316.19022
698.147055,800,319.253778
693.154423,800,322.07613
702.491037,800,326.595931
716.348293,800,329.478136
666.365015,800,332.353666
695.565343,800,335.244971
681.986417,800,338.204445
689.579122,800,341.085181
688.76257,800,345.700256
693.470761,800,348.517444
663.47494,800,351.336942
676.643762,800,354.145899
670.97677,800,356.959877
679.706587,800,359.804868
691.362794,800,364.361635
-214.85393,268,367.049966
691.969368,800,368.13654
671.978568,800,370.992213
691.88207,800,373.935968
696.496268,800,376.871718
669.217546,800,379.786919
669.534565,800,384.548004
710.627486,800,387.559499
240.389259,765,390.51267
689.963961,800,393.344609
702.563266,800,396.268241
667.258194,800,399.149006
699.141027,800,402.040972
705.007652,800,406.577604
-401.188375,37,409.254782
691.965741,800,409.595301
693.772198,800,412.59777
658.748585,800,415.617756
706.874858,800,418.552125
711.686985,800,421.466544
-356.865539,110,424.199356
693.649167,800,426.504923
682.109606,800,429.392043
-337.8782,137,432.237287
699.439312,800,432.898202
694.788403,800,435.778642
702.800202,800,438.66322
708.904057,800,441.586902
669.262107,800,446.254146
691.44234,800,449.303451
686.642413,800,452.229758
677.159491,800,455.41148
672.419004,800,458.378934
-84.570633,430,461.209584
690.225632,800,464.577508
685.975601,800,467.71087
674.861647,800,470.774592
711.538308,800,473.958515
707.228559,800,476.850915
642.832023,800,479.80076
684.41469,800,482.705972
713.724661,800,487.313601
692.772645,800,490.229448
696.288777,800,493.132346
701.245678,800,496.056187
659.163089,800,498.984325
699.718649,800,501.901469
670.381171,800,506.528227
702.726999,800,509.42872
644.828871,800,512.359392
701.674561,800,515.301334
690.448202,800,518.210477
710.199136,800,521.158983
709.393947,800,525.789648
674.339502,800,528.724811
693.036122,800,531.64374
666.831435,800,534.576369
673.677902,800,537.508886
709.687093,800,540.474498
662.615911,800,545.148387
675.259202,800,548.09689
715.761233,800,551.000006
697.31715,800,553.911666
724.890001,800,556.833957
686.371636,800,559.812665
-398.283462,53,562.522506
685.732991,800,562.916865
714.537836,800,567.492712
