#{"t_start": 1625600972.3445537, "env_id": null}
r,l,t
-423.066152,176,0.074236
-413.339855,429,0.531165
-43.635872,800,1.505549
-377.737916,426,2.981165
-401.914106,66,3.720789
-401.404439,31,3.84197
41.550168,800,4.137878
-388.916634,129,5.528495
-397.750102,122,5.785273
-392.931371,109,6.024969
-328.82122,507,6.361769
200.031473,800,7.457702
-296.189845,310,8.905951
-181.939424,572,10.93567
304.814681,800,12.150099
-217.90502,446,13.637022
-83.475823,767,14.62792
377.759159,800,16.174125
-339.412249,224,17.596248
-215.598997,456,18.112266
342.93595,800,19.129364
365.99507,800,22.999818
400.026463,800,24.605358
-282.013003,305,26.06992
414.165061,800,26.835083
444.711363,800,28.454636
463.296738,800,30.06818
480.964194,800,31.688091
458.139657,800,35.591374
506.675289,800,37.233122
-38.519023,599,38.812988
534.641,800,40.121096
511.784268,800,41.7853
81.115143,665,43.408706
579.245854,800,44.83489
647.855704,800,48.885584
581.038121,800,50.566053
636.374769,800,52.241178
653.546564,800,53.912534
673.599644,800,55.588177
690.828472,800,57.265366
695.079528,800,61.315613
-359.190176,120,62.776491
641.769195,800,63.24602
647.395044,800,64.921501
680.865125,800,66.594379
694.398037,800,68.259167
705.422838,800,69.92503
669.31247,800,73.962216
690.387866,800,75.616039
662.713289,800,77.270284
635.619288,800,78.928118
682.081941,800,80.581741
693.74764,800,82.247421
670.387129,800,86.306029
726.522567,800,87.983489
705.4154,800,89.660174
700.763576,800,91.333477
700.218831,800,93.005298
704.820648,800,94.678134
648.521687,800,98.72883
732.827315,800,100.833826
-4.814092,488,102.372323
716.477376,800,103.47377
707.050261,800,105.108714
726.930585,800,106.744757
735.49089,800,108.384723
704.387576,800,112.404744
699.036301,800,114.048649
718.006536,800,115.687914
687.25037,800,117.323858
687.520744,800,118.959087
708.99287,800,120.59145
702.108893,800,125.081688
700.163405,800,126.713101
716.988327,800,128.338046
720.279989,800,129.973726
706.899535,800,131.607139
708.606743,800,133.245569
723.567984,800,134.893536
705.507872,800,138.901866
700.099639,800,140.542589
724.151797,800,142.422384
736.493238,800,144.299716
689.569622,800,145.93046
706.007225,800,147.56184
713.232979,800,151.535236
689.110058,800,153.169557
-375.019534,88,154.565293
713.580757,800,154.978025
685.173603,800,156.6004
706.139053,800,158.257235
-399.978791,39,159.669486
-55.316155,474,159.896859
710.907843,800,163.356647
707.840666,800,164.997576
-400.16399,39,166.380957
714.387269,800,166.706908
-401.081624,39,168.088278
695.042979,800,168.416573
677.918987,800,170.033552
656.50701,800,171.645734
664.912851,800,175.522622
693.366069,800,177.135846
745.323278,800,178.742523
728.339741,800,180.351799
671.834005,800,181.953957
682.071614,800,183.548615
676.776306,800,185.14675
692.567961,800,189.014476
695.38531,800,190.626493
676.109422,800,192.229458
679.796874,800,193.832007
698.512513,800,195.432298
727.064677,800,197.039851
702.056207,800,200.916726
663.211003,800,202.528275
707.562002,800,204.142471
-9.348633,464,205.657461
704.970508,800,206.699376
701.334478,800,208.320376
-255.124499,219,209.761455
706.725745,800,212.639594
695.877363,800,214.274025
697.306062,800,215.901076
738.140439,800,217.533791
688.899992,800,219.160222
655.571565,800,220.785751
712.328615,800,222.409143
689.529909,800,226.404884
659.599171,800,228.024643
718.28874,800,229.669878
694.924354,800,231.307802
693.816743,800,232.934456
678.324533,800,234.567181
679.976136,800,238.539399
679.217083,800,240.181344
692.728169,800,241.810455
657.392597,800,243.437635
695.103804,800,245.070729
696.480505,800,246.698047
680.858711,800,250.675437
678.677149,800,252.321145
695.081503,800,253.969365
720.861433,800,255.62238
658.668004,800,257.274392
-82.46226,416,258.806819
707.064777,800,259.788844
668.792648,800,263.759899
685.908987,800,265.410979
666.138723,800,267.047759
676.948128,800,268.678493
706.621167,800,270.309403
680.268433,800,271.94031
675.847591,800,275.902017
696.865965,800,277.542577
708.013055,800,279.174152
691.217941,800,280.809453
650.276564,800,282.445404
705.013854,800,284.082113
653.132543,800,288.04476
710.786836,800,289.699491
665.202328,800,291.34562
707.719613,800,292.986052
669.809899,800,294.634372
694.869102,800,296.274685
670.055914,800,297.924644
694.121261,800,301.901858
680.247036,800,303.546638
-402.284399,37,304.939183
694.04764,800,305.254531
687.589092,800,306.881439
713.972104,800,308.506576
678.103961,800,310.152261
692.140684,800,314.168426
686.839605,800,315.831537
674.239838,800,317.494973
633.374151,800,319.147107
-297.406542,167,320.632468
660.44951,800,321.184551
-401.359443,37,322.602667
694.663346,800,322.917853
-279.674506,198,324.385269
671.292845,800,327.335769
680.846359,800,329.004076
650.297146,800,330.665552
699.610584,800,332.328883
681.728957,800,333.986441
666.060971,800,335.646379
685.318991,800,339.695535
711.03594,800,341.358277
673.128052,800,343.018923
703.507097,800,344.687012
670.26398,800,346.338501
698.129184,800,347.981024
679.655472,800,352.002242
670.140437,800,353.770189
651.435903,800,355.416384
661.449245,800,357.056476
716.633943,800,358.700637
-37.326072,446,360.225158
690.207537,800,361.250468
697.404264,800,365.253302
699.758155,800,366.903383
686.336581,800,368.544737
705.452866,800,370.295077
685.577054,800,371.932056
667.537327,800,373.57545
684.004548,800,377.600689
