#{"t_start": 1625603243.3202014, "env_id": null}
r,l,t
-401.56772,13,0.007948
-373.511103,326,0.144757
107.897424,800,0.981764
66.232344,800,2.604904
88.392683,800,4.236622
195.449147,800,5.888516
315.758389,800,7.566514
-285.864701,365,9.036653
296.744778,800,11.957989
-302.383404,351,13.435053
-141.087145,698,14.25385
326.857285,800,15.69195
355.477971,800,17.300438
-342.351794,259,18.738715
386.435564,800,19.436481
384.87507,800,23.427269
434.964544,800,25.052554
428.852782,800,26.671854
-373.268834,88,28.065699
478.391951,800,28.473813
411.150597,800,30.092576
422.593765,800,31.705038
496.280158,800,33.320987
557.051464,800,37.307558
520.518438,800,38.924285
597.357682,800,40.546489
679.564643,800,42.17283
-199.820733,304,43.640036
-236.081843,271,44.245054
689.288763,800,44.961782
682.805361,800,48.962456
-297.527318,286,50.429345
668.06086,800,51.176928
681.683248,800,52.802578
4.364629,477,54.33076
696.154218,800,55.403238
679.625192,800,57.031177
707.750537,800,60.813752
694.216891,800,62.493368
716.292834,800,64.175933
714.802013,800,65.866566
723.520668,800,67.562263
701.350898,800,69.251425
708.91518,800,70.939754
713.271866,800,75.192579
690.727742,800,76.898344
711.69313,800,78.590035
712.146713,800,80.282035
729.375631,800,82.457633
46.664186,508,84.040829
184.308147,674,87.481845
106.126013,574,88.868826
20.691989,512,90.055128
691.974103,800,91.223994
717.173482,800,92.90934
714.675376,800,94.603456
697.460781,800,96.292624
700.949211,800,100.531168
693.124454,800,102.225478
-117.367318,353,103.763801
729.155104,800,104.66608
725.010875,800,106.402879
699.325201,800,108.10443
728.096492,800,109.779819
697.46592,800,114.03023
695.859355,800,115.687737
691.811743,800,117.342258
694.330158,800,118.964754
722.938664,800,120.592273
-11.495978,469,122.111897
220.542427,701,123.138908
696.926303,800,126.953297
714.043527,800,128.586846
696.197894,800,130.210412
724.210762,800,131.8379
708.433336,800,133.47642
-83.008554,405,134.975556
727.285635,800,135.927845
709.886796,800,140.033783
691.915444,800,141.712754
715.654285,800,143.388695
694.260414,800,145.063543
103.939658,609,146.671473
693.701252,800,148.011011
715.406781,800,152.121922
701.862116,800,153.796659
689.118927,800,155.463232
670.795905,800,157.129635
684.404389,800,158.794072
700.424187,800,160.462339
702.638791,800,164.594003
657.426504,800,166.29037
690.045238,800,167.971491
679.035855,800,169.658452
714.753145,800,171.347272
668.792343,800,173.042587
690.932676,800,174.733732
701.837472,800,178.990544
673.144928,800,180.684717
645.892676,800,182.379686
703.742354,800,184.072753
689.219404,800,185.764648
691.644626,800,187.459066
683.842597,800,192.177547
685.370488,800,193.873425
670.04508,800,195.565128
670.689789,800,197.246711
684.435925,800,198.933467
670.367455,800,200.630325
717.711431,800,204.888078
700.078421,800,206.586582
648.870566,800,208.286516
689.577736,800,210.016127
664.45183,800,211.706343
692.035095,800,213.40014
687.676353,800,217.673398
-400.686139,37,219.115443
676.953321,800,219.459488
680.166903,800,221.162216
-239.995032,241,222.652926
673.678305,800,223.346667
704.006137,800,225.081908
699.798355,800,226.764313
678.589069,800,231.000998
688.276396,800,232.685721
684.175583,800,234.36968
695.191944,800,236.062221
643.838207,800,237.753205
655.667724,800,239.447426
628.681611,800,241.17036
675.803211,800,245.459858
687.876162,800,247.152871
636.749148,800,248.832669
667.274336,800,250.506711
660.523362,800,252.178454
635.739624,800,253.853149
667.945774,800,258.071011
682.843258,800,259.850377
695.484316,800,261.526004
684.173302,800,263.194465
671.228772,800,264.862186
695.799327,800,266.535936
670.715018,800,270.730783
660.894743,800,272.408018
698.1353,800,274.075591
709.838097,800,275.824665
682.376369,800,277.494425
686.225534,800,279.166235
639.98909,800,283.358315
715.865761,800,285.031551
703.125957,800,286.699383
-305.220278,182,288.162199
701.611696,800,288.751295
679.17654,800,290.431225
695.381858,800,292.093079
712.171225,800,296.153971
706.064125,800,297.805385
687.01619,800,299.394317
650.002942,800,300.989124
698.731419,800,302.586955
684.163535,800,304.188911
704.276843,800,305.788341
18.089084,512,309.643415
733.009043,800,310.765897
669.557731,800,312.365962
-28.322303,439,313.85459
700.021937,800,314.848072
657.571859,800,316.454215
663.051548,800,318.070506
718.571123,800,322.129361
708.279274,800,323.771508
698.444364,800,325.406663
709.108307,800,327.044633
709.682682,800,328.685864
700.829237,800,330.319311
689.44916,800,334.409189
71.34475,576,335.980996
736.930647,800,337.240052
724.974006,800,338.88824
666.415951,800,340.532923
695.836621,800,342.181985
663.373094,800,346.745044
-160.074225,313,348.249357
688.958588,800,349.050246
709.624408,800,350.687242
679.996101,800,352.318325
723.215401,800,353.948722
702.915855,800,355.577666
666.166187,800,359.686919
150.343457,685,361.289186
690.916482,800,362.721474
693.725804,800,364.361585
722.161759,800,366.132976
-76.841936,397,367.639218
679.34574,800,368.586126
716.201363,800,372.671738
680.787758,800,374.294667
672.91085,800,375.91277
108.354785,652,377.478016
665.69654,800,378.837741
710.213423,800,380.453258
724.396383,800,382.069335
682.779633,800,386.03003
