#{"t_start": 1625664798.340992, "env_id": null}
r,l,t
-407.20028,104,0.03038
-414.348157,113,0.329786
-336.772652,105,0.649107
66.766883,800,1.125909
-392.327082,16,3.222592
-398.352397,21,3.270591
-398.558385,4,3.327026
-391.526683,103,3.364826
-399.23428,59,3.657581
56.863866,800,4.015103
206.462441,800,6.333363
-398.75048,2,8.467896
232.650481,800,8.675047
131.202559,800,10.99376
334.661049,800,14.95486
-400.75883,7,17.074892
346.686615,800,17.304572
-323.323608,163,19.456131
-400.322901,1,19.891165
-223.100573,349,19.989157
-350.417721,135,20.989759
-321.079694,161,21.39762
-299.643769,170,21.864955
-370.888305,56,22.329588
-353.309574,97,22.503512
-330.428016,124,22.799059
-351.672251,93,23.157393
-246.112057,338,23.490017
-332.979102,133,24.457605
-344.418806,115,24.84202
-190.266758,408,25.250137
406.869548,800,26.543153
457.404023,800,30.100086
-371.145535,41,32.234579
461.723242,800,32.545741
463.089947,800,34.88558
437.843974,800,37.284142
498.980439,800,39.761809
389.919619,800,42.18897
472.62438,800,44.553461
439.583674,800,48.591337
392.890553,800,50.930461
416.719366,800,53.291073
442.247361,800,55.681191
595.75667,800,58.074821
463.644122,800,60.522471
537.575285,800,64.623052
734.419666,800,67.273508
728.964882,800,69.666322
770.914494,800,72.068787
749.933967,800,74.529954
672.873306,800,77.09258
762.218712,800,81.126141
724.662223,800,83.673506
-290.586001,223,85.990309
742.893502,800,86.808327
-27.896666,800,89.20683
785.827167,800,91.585151
-32.412338,800,94.016254
705.54819,800,98.342129
713.035557,800,100.825993
-157.924872,261,103.114131
754.543673,800,104.037376
726.352647,800,106.917851
758.592819,800,109.366187
738.619357,800,111.921882
703.508143,800,115.985726
727.741711,800,118.394789
741.551869,800,120.809554
730.050879,800,123.317585
743.49501,800,125.862629
696.132964,800,128.445492
684.423169,800,132.486501
763.086091,800,135.535659
723.689063,800,138.823426
-180.684947,274,141.823295
736.184706,800,143.123729
254.763789,799,145.679511
738.508987,800,148.269029
-150.639954,286,150.743219
293.764556,745,153.757797
-400.307472,1,156.017596
699.8294,800,156.2245
-177.212451,255,158.692211
747.459946,800,159.653414
713.774007,800,162.193517
744.209198,800,164.738845
718.653457,800,167.39968
729.199902,800,171.710658
740.50183,800,174.784078
761.125874,800,177.501476
333.520642,782,180.15242
-196.549913,278,182.60188
686.587554,800,183.648167
-186.161462,278,186.322225
734.647188,800,189.267287
-115.335135,308,191.853166
738.482205,800,193.043496
236.463465,759,195.688827
-400.697116,5,198.500515
731.073934,800,198.723091
760.51054,800,201.35664
701.578606,800,204.327774
701.066814,800,208.904665
745.244986,800,211.664985
751.367835,800,214.374685
754.469344,800,217.433357
724.660977,800,220.317575
711.845452,800,223.118431
724.420001,800,226.707572
734.529937,800,231.232368
729.940879,800,233.935603
717.778986,800,236.695942
722.367254,800,239.549836
728.309136,800,242.284357
682.658871,800,245.008485
688.489292,800,249.215002
785.197911,800,251.784199
713.904544,800,254.325627
730.633375,800,257.423712
727.935156,800,260.525995
715.047166,800,263.718635
121.279185,574,268.408502
725.051806,800,270.849383
170.286854,690,273.763345
686.118409,800,276.283514
728.312776,800,279.118048
737.73722,800,281.912016
694.066655,800,284.588833
661.91303,800,288.806116
720.001638,800,291.445436
702.904547,800,294.27532
-184.829166,272,296.852442
679.098731,800,297.869856
693.974499,800,300.502935
-397.410576,4,302.961018
742.127036,800,303.178315
690.908015,800,307.469793
671.732133,800,310.170856
724.515185,800,313.163362
739.306596,800,315.912858
757.954538,800,318.686879
763.756074,800,321.701191
703.075802,800,326.757643
-34.648941,383,329.379474
732.058556,800,330.776378
714.951252,800,333.834841
739.195147,800,336.724243
764.952884,800,340.079528
747.020508,800,343.162976
752.674527,800,347.612324
738.682515,800,350.352469
756.679008,800,353.040835
724.755788,800,355.723298
700.101343,800,358.407461
712.598598,800,361.080033
719.688239,800,365.460553
720.393526,800,368.148916
726.967397,800,370.843691
754.533905,800,373.526169
714.645268,800,376.208222
727.223168,800,378.903189
735.17571,800,383.288598
740.145884,800,385.970474
726.465006,800,388.664481
753.003464,800,391.360597
674.960634,800,394.045282
716.252899,800,396.728401
706.975723,800,401.129488
678.289509,800,403.831954
654.513354,800,406.521119
714.054263,800,409.219494
752.248615,800,411.919473
733.309236,800,414.623556
273.559928,761,417.302362
712.753892,800,421.567412
703.35911,800,424.328693
701.405623,800,427.028589
-399.866249,1,429.529686
748.786658,800,429.741559
699.817304,800,432.454664
710.455084,800,435.155868
713.77103,800,439.540712
746.189583,800,442.251327
725.003745,800,444.94776
720.649962,800,447.644286
727.935147,800,450.360397
750.828904,800,453.066231
765.332741,800,457.453978
754.989351,800,460.162704
733.725631,800,462.865597
694.906762,800,465.563608
649.126334,800,468.270392
739.560133,800,470.973554
-140.397274,292,473.550405
323.924313,777,476.351451
757.592909,800,478.987041
740.091917,800,481.693311
708.242069,800,484.393138
690.064125,800,487.102288
-125.126889,354,489.755871
656.783101,800,491.124142
676.616305,800,495.694084
728.552805,800,498.610656
722.340658,800,501.4111
649.404515,800,504.31033
718.351741,800,507.665868
747.052872,800,510.533055
725.055756,800,514.387344
760.095638,800,517.246004
697.195646,800,519.927938
722.407938,800,522.911254
720.094504,800,525.700458
703.509486,800,528.523576
731.143024,800,532.602182
768.380393,800,535.722543
755.326594,800,538.384617
-169.296379,280,540.920527
758.28571,800,542.000966
709.574987,800,544.763237
708.469423,800,548.242214
749.287524,800,552.469924
