#{"t_start": 1625613123.8567522, "env_id": null}
r,l,t
-402.297604,19,0.010399
-402.510172,28,0.05535
-408.87982,80,0.133457
-42.547754,800,0.536448
-5.763321,800,2.142311
-14.498651,800,3.732067
-3.051519,800,5.323062
-404.564907,105,6.70154
-408.939128,133,6.918243
-405.521952,71,7.164169
-410.546028,102,7.313387
-406.601993,70,7.507498
-407.366292,97,7.656428
-429.493043,415,7.947748
-403.081722,55,8.665493
-408.413641,88,8.784254
-407.787923,114,8.967404
-403.434071,54,9.177954
-404.214324,135,9.309417
-408.204262,136,9.580592
-406.406273,196,12.27527
83.511323,800,12.863349
10.196553,800,14.458627
-5.102946,800,16.051057
80.885732,800,17.647664
90.564323,800,19.250787
66.438187,800,20.85003
36.204485,800,35.66977
55.805308,800,37.276445
154.030284,800,38.874312
-359.742288,238,40.297903
-261.809385,576,40.879685
-330.084089,220,41.933305
-332.473762,223,42.37909
-248.021549,370,42.876804
-254.845048,474,43.652837
-240.893377,375,44.575852
432.206496,800,52.056355
-286.166108,270,53.505375
-129.712582,559,54.130413
384.473009,800,55.323371
396.013741,800,56.926309
342.409877,800,58.52775
403.52395,800,60.127645
347.388918,800,75.195763
394.917967,800,76.831403
400.866725,800,78.447396
370.806918,800,80.149308
394.683417,800,81.758634
104.033193,800,83.369647
-4.38599,800,98.322977
-251.18976,385,99.80274
-136.604037,592,100.624844
370.717264,800,101.854579
399.274518,800,103.430826
-186.332846,481,104.912419
368.929013,800,105.955359
396.94585,800,107.530857
391.144297,800,122.06649
405.671575,800,123.654991
394.516542,800,125.240323
428.1981,800,126.822646
424.890222,800,128.399162
426.197002,800,129.975846
425.6236,800,144.555933
415.512114,800,146.145613
387.324296,800,147.734146
357.917361,800,149.367872
360.517873,800,151.010444
402.677096,800,152.648432
402.377356,800,165.852493
425.54918,800,167.512995
378.568376,800,169.169542
449.173521,800,170.800597
482.844859,800,172.412515
457.151267,800,174.055029
427.970322,800,187.49956
417.119995,800,189.107188
567.672907,800,190.716059
446.878153,800,192.325723
678.724216,800,193.941504
651.647795,800,195.554633
564.462401,800,197.174314
479.551098,800,211.777407
583.202218,800,213.423555
464.95895,800,215.071227
517.890932,800,216.720884
666.894714,800,218.354254
630.501196,800,219.992026
603.489011,800,235.068512
675.515907,800,236.716839
677.263771,800,238.354571
632.093656,800,240.004124
659.506887,800,241.650692
690.637921,800,243.288777
658.983055,800,258.981846
681.082969,800,260.647679
694.434015,800,262.316537
677.813589,800,263.994806
653.033782,800,265.663327
655.351925,800,267.339701
657.053446,800,282.470078
660.566896,800,284.123053
663.098212,800,285.77195
672.979314,800,287.441872
645.857666,800,289.090915
683.505463,800,290.725765
666.889482,800,292.36811
689.580764,800,307.879263
674.576202,800,309.510041
663.566716,800,311.139141
692.567164,800,312.771423
636.680946,800,314.39299
700.069787,800,316.01767
640.313931,800,330.998642
667.158229,800,332.636184
692.763447,800,334.253313
614.523226,800,335.877561
681.929272,800,337.501878
678.818394,800,339.125507
683.270025,800,353.737462
639.909067,800,355.351491
673.300461,800,356.968329
694.991019,800,358.584343
653.572811,800,360.179612
661.281712,800,361.80783
633.36036,800,376.259601
671.594987,800,377.944105
669.669191,800,379.582769
656.30335,800,381.232599
672.887351,800,382.895107
686.008495,800,384.550955
679.990304,800,386.202759
666.858136,800,401.133527
703.16549,800,402.776731
604.465368,800,404.416075
664.999076,800,406.070351
655.30518,800,407.718637
23.380429,538,409.266672
681.052866,800,423.752911
624.685084,800,425.385551
651.461757,800,426.999918
672.628591,800,428.61763
614.228976,800,430.225386
639.532796,800,431.825754
689.250855,800,433.437203
680.6882,800,448.314229
668.338983,800,449.93476
654.933767,800,451.543449
652.752023,800,453.158015
659.899285,800,454.7617
657.522061,800,456.363696
666.106704,800,471.324402
645.092838,800,472.922696
654.037839,800,474.542836
648.793249,800,476.133626
633.33574,800,477.724208
652.541031,800,479.305017
637.86194,800,493.022007
668.089745,800,494.617199
648.773331,800,496.196922
-208.970891,326,497.656662
627.550423,800,498.448447
683.248727,800,500.047667
671.910729,800,501.644634
682.218999,800,515.343046
647.010806,800,516.94486
625.769682,800,518.542806
685.095694,800,520.141595
-291.020984,222,521.570834
689.190341,800,522.193224
671.970189,800,523.799845
683.661064,800,538.380394
672.636625,800,540.006607
686.918445,800,541.662116
654.344514,800,543.306322
629.274014,800,544.955056
650.808616,800,546.600358
672.12705,800,561.760173
661.015313,800,563.379956
656.755827,800,564.988003
694.321145,800,566.597167
664.899094,800,568.206406
675.837933,800,569.838203
694.296359,800,584.673779
675.958016,800,586.297094
684.071893,800,587.918152
679.338207,800,589.553513
662.517452,800,591.212148
675.78361,800,592.879822
690.568891,800,594.543819
667.903243,800,610.11762
683.925064,800,611.745189
651.881218,800,613.361054
656.856059,800,614.981691
654.963386,800,616.607104
650.165404,800,618.231901
663.277582,800,633.146648
693.659322,800,634.796406
652.833956,800,636.406142
694.592994,800,638.009723
696.921345,800,639.616448
643.869618,800,641.222983
654.478611,800,656.117132
666.287392,800,657.727856
667.600043,800,659.327593
699.990949,800,660.93088
632.708207,800,662.535691
657.441674,800,664.138554
686.751397,800,679.05247
