#{"t_start": 1625599846.1173081, "env_id": null}
r,l,t
-402.297879,23,0.016665
-402.126668,15,0.066958
-405.553205,82,0.129152
-411.374379,137,0.315546
46.828195,800,0.797869
3.02242,800,2.361268
-2.29758,800,3.925861
-359.353548,322,5.351613
-389.375482,109,5.926143
108.045822,800,6.361944
129.798667,800,7.932328
-100.867092,755,11.829696
249.782175,800,13.346274
329.211917,800,14.941452
392.472833,800,16.543495
-204.480013,496,18.055389
-263.125344,458,19.047254
328.983892,800,20.076741
317.07711,800,23.949349
381.360675,800,25.562401
395.190186,800,27.168238
377.867668,800,28.782795
391.544804,800,30.389863
421.983434,800,31.985246
405.491403,800,35.847473
-88.317107,762,37.432164
-300.882642,242,38.801982
-252.078903,324,39.30976
418.588348,800,40.113194
401.720552,800,41.721741
-256.012409,336,43.188051
412.343604,800,44.003404
426.169702,800,47.857034
424.821584,800,49.460056
438.698473,800,51.070161
478.305678,800,52.709878
525.750179,800,54.367059
32.834603,761,56.021777
-163.346623,443,57.511864
510.987375,800,60.385561
400.46197,800,62.064497
420.311403,800,63.73568
436.737064,800,65.387707
450.195976,800,67.033664
463.275552,800,68.667754
541.780283,800,72.646211
542.915754,800,74.265863
595.625097,800,75.881137
577.339501,800,77.492097
608.909254,800,79.089747
704.199989,800,80.700669
693.491698,800,82.31792
699.519046,800,86.18423
713.504579,800,87.800034
685.873212,800,89.413649
692.270139,800,91.051909
733.544763,800,92.693421
712.202743,800,94.336322
728.578813,800,98.35017
704.023925,800,100.021381
741.762761,800,101.678707
685.254807,800,103.338751
690.957422,800,104.997826
696.782822,800,106.668708
696.282899,800,110.672086
723.789295,800,112.338866
717.699452,800,113.998822
730.294147,800,115.656101
732.589526,800,117.311016
691.192402,800,118.966265
702.706086,800,122.946943
709.454397,800,124.60486
-242.712559,222,126.089324
690.066842,800,126.737358
701.015537,800,128.410238
662.999876,800,130.092971
736.207962,800,131.771375
696.819487,800,135.794394
704.345821,800,137.492186
728.273884,800,139.149606
705.702784,800,140.816513
705.782349,800,142.483412
692.075454,800,144.150979
684.856003,800,145.801876
689.006961,800,149.838902
695.384195,800,151.511008
95.520792,627,153.11699
675.837025,800,154.467909
681.36982,800,156.122109
703.153211,800,157.778701
676.927285,800,161.794545
-89.210188,411,163.328949
-239.694762,236,164.124195
652.535305,800,164.839079
598.005875,800,166.480796
680.668256,800,168.12617
664.225227,800,169.779818
707.78196,800,171.402729
691.04475,800,175.256508
699.705636,800,176.872334
270.008462,764,178.469921
715.209157,800,180.017735
-220.978613,253,181.461103
683.725945,800,182.139521
677.154435,800,183.7514
694.680937,800,187.612341
701.752395,800,189.295515
727.967186,800,190.979355
689.041779,800,192.662152
172.414617,723,194.321727
-401.362261,12,195.60938
687.072185,800,195.896424
667.845463,800,199.060673
-401.362261,12,200.498871
-401.362261,12,200.524511
688.68447,800,200.809302
687.791898,800,202.483596
233.961183,757,204.145873
712.696524,800,205.727818
718.795749,800,207.373966
684.75941,800,211.443876
667.773094,800,213.088807
694.15209,800,214.739034
215.32182,724,216.341737
682.629289,800,217.849079
684.883189,800,219.474222
700.301995,800,223.444368
705.48874,800,225.08348
701.628758,800,226.708277
682.622725,800,228.332675
700.355688,800,229.972567
676.804896,800,231.698946
686.153481,800,233.321109
689.61399,800,237.282192
707.103443,800,238.915904
694.582433,800,240.539115
697.284688,800,242.166527
684.918231,800,243.785064
702.060536,800,245.409555
708.390525,800,249.407181
693.842647,800,251.035237
640.343263,800,252.657506
105.227818,592,254.219583
694.610366,800,255.486865
714.68795,800,257.103481
691.540646,800,261.055686
690.710411,800,262.675004
127.064546,642,264.242186
695.634622,800,265.620347
707.023973,800,267.236307
713.803453,800,268.904629
727.639559,800,270.543432
726.757103,800,274.489287
680.806423,800,276.124748
717.581576,800,277.74712
677.771729,800,279.372875
670.672894,800,281.004534
672.634951,800,282.629914
701.266417,800,286.590463
681.156929,800,288.227253
-278.4527,198,289.660495
709.339597,800,290.257752
666.843493,800,291.876108
708.441434,800,293.499601
719.614332,800,295.120407
-401.062913,39,296.502294
189.338853,737,299.089191
685.8083,800,300.610391
703.00754,800,302.23183
734.852825,800,303.859535
696.880592,800,305.485201
689.707948,800,307.111586
706.691585,800,311.076754
726.583341,800,312.704115
698.977355,800,314.322736
-275.7261,191,315.75216
708.48956,800,316.32829
687.86994,800,317.946512
682.24596,800,319.582313
680.923362,800,323.547451
677.810065,800,325.199076
680.875588,800,326.85122
676.330127,800,328.489935
728.770749,800,330.116314
709.838929,800,331.740846
676.405413,800,333.364797
672.470183,800,337.224381
677.563467,800,338.826451
688.130419,800,340.428739
710.014137,800,342.028297
709.979877,800,343.625254
717.774236,800,345.223936
690.57092,800,349.073533
688.777111,800,350.687037
690.594917,800,352.302464
704.747613,800,353.917122
175.342513,663,355.497931
680.293433,800,356.884162
681.044025,800,360.827771
697.362432,800,362.449219
692.803257,800,364.069737
715.302645,800,365.678874
712.638794,800,367.290621
694.983546,800,368.915595
714.45878,800,370.542937
685.722536,800,374.526449
