#{"t_start": 1625597205.0506947, "env_id": null}
r,l,t
-6.066059,800,0.266579
-404.448393,48,1.695556
-0.363487,800,2.031751
-2.928586,800,3.684968
5.671931,800,5.349346
3.363339,800,6.963243
-1.125727,800,8.556177
7.932309,800,12.413325
-4.421595,800,14.098942
19.059339,800,15.695468
18.846333,800,17.330039
36.403779,800,18.971546
66.950081,800,20.625918
12.034902,800,24.628303
104.58009,800,26.277078
92.045914,800,27.908609
146.96299,800,29.51989
109.74732,800,31.119007
141.670298,800,32.735191
161.227054,800,36.725628
199.673919,800,38.355798
196.821439,800,39.981704
176.372442,800,41.614579
215.920611,800,43.240623
196.479453,800,44.870239
191.793611,800,48.872742
221.113181,800,50.504839
179.774025,800,52.127319
227.270056,800,53.752164
225.224555,800,55.383165
202.796271,800,57.011216
229.55061,800,58.635727
224.263671,800,62.744234
237.700326,800,64.382619
273.173449,800,66.025121
247.20331,800,67.667298
242.144871,800,69.301355
243.940312,800,70.945766
262.003797,800,74.95495
246.722045,800,76.60585
238.597902,800,78.25168
246.184841,800,79.896182
245.371345,800,81.549133
254.383839,800,83.20373
276.263886,800,87.209614
267.902635,800,88.862252
274.431611,800,90.548902
240.089896,800,92.251373
261.83188,800,93.964002
260.484538,800,95.670568
275.335983,800,99.834427
273.720804,800,101.545138
291.371338,800,103.255692
254.692302,800,104.924678
298.189421,800,107.088113
278.073326,800,108.753916
269.926922,800,110.424008
261.575394,800,114.555243
274.505952,800,116.251177
250.33812,800,117.936693
254.396872,800,119.621717
253.604072,800,121.313196
266.836342,800,123.001927
295.320835,800,127.195991
249.358697,800,128.897243
285.045606,800,130.59343
249.449081,800,132.289984
267.55238,800,133.923026
256.068235,800,135.574502
254.887648,800,139.501837
252.645201,800,141.128852
300.664502,800,142.758577
290.330377,800,144.396752
316.538525,800,146.04891
268.569063,800,147.689558
274.896662,800,151.676897
259.363991,800,153.352638
245.905327,800,155.041187
258.87896,800,156.669556
289.84224,800,158.290292
319.167922,800,159.908839
275.455533,800,161.523672
283.827142,800,165.48448
302.196424,800,167.107592
302.273335,800,168.750408
264.369934,800,170.376286
239.003155,800,172.034137
276.233998,800,173.644891
253.576346,800,177.579659
292.790634,800,179.200862
257.333419,800,180.79212
234.207238,800,182.379334
243.06788,800,183.976615
264.888732,800,185.571099
278.332726,800,189.4196
269.321525,800,191.022795
284.791809,800,192.613945
305.185403,800,194.20849
296.784971,800,195.806815
296.04435,800,197.407368
277.491675,800,201.330687
243.799581,800,202.951004
222.978005,800,204.558744
292.804795,800,206.175718
259.03237,800,207.795051
284.751625,800,209.416674
271.844161,800,211.029654
274.862011,800,214.896293
225.675263,800,216.436991
293.931766,800,217.968149
256.453038,800,219.499257
249.951316,800,221.030341
268.484841,800,222.582372
275.283335,800,226.522928
295.494659,800,228.164946
227.624156,800,229.881835
290.075115,800,231.601375
344.571552,800,233.285835
271.885406,800,234.954394
301.472267,800,238.738415
276.21598,800,240.411234
270.09059,800,242.07775
306.784955,800,243.713722
282.777952,800,245.353011
311.100186,800,246.9972
312.876157,800,250.817535
281.272483,800,252.461841
276.041785,800,254.099863
254.906828,800,255.742268
263.969441,800,257.376593
241.209245,800,259.015687
337.720581,800,260.671876
277.434866,800,264.718651
289.353625,800,266.374111
258.541452,800,268.018329
277.319746,800,269.667886
274.971245,800,271.312824
257.665673,800,272.978106
283.597106,800,276.859969
267.113716,800,278.496339
226.055986,800,280.124461
263.578635,800,281.76135
297.811556,800,283.417809
234.037469,800,285.032355
275.106263,800,289.000671
258.185871,800,290.667209
277.669694,800,292.319466
277.962566,800,293.975072
254.590502,800,295.629082
266.782193,800,297.304174
287.93666,800,301.181804
272.171619,800,302.84923
241.846978,800,304.510688
266.154143,800,306.170741
294.670237,800,307.816977
298.4193,800,309.445667
274.960388,800,311.563473
284.27044,800,315.477151
252.434414,800,317.111027
315.825313,800,318.745019
300.118283,800,320.385335
245.952374,800,322.020373
283.650114,800,323.677337
235.774238,800,327.698995
301.125168,800,329.324119
293.48952,800,330.933841
250.942462,800,332.541119
287.395698,800,334.155947
278.573214,800,335.771266
263.834666,800,339.788044
227.232004,800,341.444934
318.75595,800,343.108212
261.559695,800,344.759507
266.091766,800,346.416451
276.651006,800,348.0668
282.853773,800,352.009038
267.595588,800,353.64087
283.957154,800,355.272437
224.637974,800,356.888193
282.429843,800,358.504792
331.018782,800,360.124573
255.708791,800,361.73555
247.711237,800,365.662783
300.899518,800,367.291542
265.523961,800,368.902705
273.685952,800,370.534483
266.849079,800,372.204919
244.397968,800,373.851218
271.012986,800,377.796471
