#{"t_start": 1625709589.3460777, "env_id": null}
r,l,t
-402.097559,16,0.007149
-402.308619,27,0.057137
-54.550102,800,0.3377
-399.432429,159,2.561344
93.010249,800,3.198168
12.106239,800,5.56847
-361.066243,357,7.829702
-358.668196,289,8.881506
147.156962,800,9.876075
183.449854,800,12.261831
145.877906,800,16.298231
-338.759051,297,18.557544
227.351189,800,19.572007
103.47918,800,21.952527
287.110661,800,24.349494
11.872713,800,26.751332
3.874822,800,29.140911
9.130695,800,33.189968
6.211187,800,35.587967
360.090082,800,37.979831
415.340456,800,40.381418
-332.53306,171,42.618479
389.846338,800,43.298426
-355.637412,144,45.523608
358.730857,800,46.731943
-308.611705,242,48.985883
-350.746301,160,49.694344
-360.680538,126,50.168021
-339.617767,160,50.556028
-340.516614,167,51.046089
-340.991358,180,51.549493
-299.191232,256,52.113508
-344.048545,173,52.865744
-295.18392,247,53.40841
-41.011764,734,54.288028
-293.461659,268,56.370489
-191.034938,439,57.225521
-336.024195,172,58.477924
393.167396,800,59.158586
406.421371,800,61.561006
396.345184,800,65.478745
410.164394,800,67.879411
384.307942,800,70.288383
374.768741,800,72.698222
135.483704,800,75.105589
325.925296,800,77.519746
344.133835,800,81.351752
393.24301,800,83.7705
423.042284,800,86.179504
438.038152,800,88.585481
440.286249,800,90.993275
472.722473,800,93.413773
453.649125,800,97.487824
452.227876,800,99.901897
494.452925,800,102.317392
488.849103,800,104.728022
477.297768,800,107.153568
513.905968,800,109.583988
513.169648,800,113.684026
535.027001,800,116.120598
553.793878,800,118.553758
559.133058,800,120.990846
570.991136,800,123.423042
626.611632,800,125.872621
551.394105,800,128.319708
584.763439,800,132.415625
672.297612,800,134.876196
629.214866,800,137.335992
679.8872,800,139.791912
673.656669,800,142.253321
-377.717686,87,144.558369
728.47724,800,145.015203
709.286047,800,149.155847
697.072011,800,151.628973
698.91804,800,154.103612
722.562,800,156.597219
736.596455,800,159.089307
705.927005,800,161.568434
692.098946,800,165.721153
687.700687,800,168.216062
132.812275,609,170.671769
704.411701,800,172.623473
694.881537,800,175.134305
683.777897,800,177.643331
730.797771,800,181.816008
676.699387,800,184.33936
699.174713,800,186.882526
725.146693,800,189.413628
691.638476,800,191.958366
695.148512,800,194.508558
699.490964,800,197.070784
194.576616,659,201.266759
180.020993,714,203.399118
710.530011,800,205.728904
694.251283,800,208.304143
653.374812,800,210.886488
702.159244,800,213.483305
688.764321,800,217.44304
689.316633,800,220.046977
695.876387,800,222.658365
719.780313,800,225.277235
-284.331407,190,227.752714
718.682424,800,228.535045
687.642398,800,231.180075
700.510043,800,235.325029
714.493494,800,237.970202
717.167759,800,240.612555
261.420539,767,243.258032
714.29205,800,245.813861
688.663355,800,248.469862
704.525627,800,252.761271
689.806374,800,255.42028
710.008689,800,258.075424
699.311367,800,260.740357
3.878127,495,263.336074
707.640323,800,265.080534
121.691416,624,267.703884
713.230742,800,271.513835
650.71142,800,274.190744
286.371155,768,276.851156
678.803015,800,279.427198
713.279234,800,282.109749
687.793864,800,284.792425
672.147855,800,287.465623
688.366277,800,291.795488
700.531104,800,294.483968
694.273211,800,297.162854
693.53843,800,299.842258
715.872151,800,302.52093
691.489045,800,305.207167
668.070751,800,309.530416
-219.762224,258,312.06447
686.418344,800,313.075138
-400.343656,39,315.558533
691.16153,800,315.887712
700.124546,800,318.580978
678.130342,800,321.262453
667.402635,800,323.950966
667.295425,800,328.331004
655.05513,800,331.010332
662.451908,800,333.704721
684.615447,800,336.397352
707.166674,800,339.095416
650.62843,800,341.789403
648.734271,800,346.140958
663.575776,800,348.829111
659.110514,800,351.523341
679.002226,800,354.231324
-401.298618,39,356.741498
705.594791,800,357.072967
656.606645,800,359.776539
691.059172,800,364.116196
203.271116,707,366.795414
-0.009804,480,369.118047
672.472127,800,370.822833
657.843578,800,373.521226
678.173396,800,376.222596
674.153631,800,378.92165
680.531805,800,383.282673
674.677453,800,386.004846
642.950775,800,388.707267
678.066759,800,391.412453
643.910599,800,394.113732
649.972833,800,396.823321
680.994711,800,401.203569
683.581686,800,403.920943
676.195321,800,406.638022
661.921828,800,409.360509
706.985973,800,412.089197
701.645079,800,414.809794
646.37752,800,419.185782
695.324956,800,421.912605
674.371412,800,424.642356
117.619637,628,427.329052
674.171875,800,429.517378
714.605488,800,432.24413
704.419274,800,434.970012
654.155744,800,439.348586
144.176512,660,442.039322
639.966923,800,444.329373
704.361093,800,447.054702
700.074706,800,449.780936
710.223126,800,452.507349
-13.128211,471,455.149953
660.021017,800,458.495342
687.38529,800,461.21587
114.984556,622,463.898451
700.11156,800,466.064599
710.887358,800,468.781344
679.516232,800,471.499444
653.859354,800,475.871009
-193.999397,269,478.464708
680.737081,800,479.523232
667.487965,800,482.247745
681.25542,800,484.975508
703.612466,800,487.697957
663.465594,800,490.43012
671.776074,800,494.803875
720.164687,800,497.532705
703.805412,800,500.259921
709.091917,800,502.99688
653.538878,800,505.734216
712.012958,800,508.469517
678.141606,800,512.847652
-100.810852,377,515.482374
691.844385,800,516.882094
714.30774,800,519.610997
683.384274,800,522.349894
660.345989,800,525.083797
696.891053,800,527.822973
718.94726,800,532.220398
