#{"t_start": 1625697380.1225846, "env_id": null}
r,l,t
-404.162805,124,0.03535
-393.017291,110,0.399079
37.827886,800,0.896729
100.619297,800,3.256658
-388.039969,156,5.468479
-358.422538,420,6.002299
-405.955228,105,7.172988
-405.954527,69,7.475394
-402.034638,18,7.66751
-401.946184,15,7.721496
-401.844111,15,7.766971
-401.374676,12,7.810364
-405.769603,36,7.852434
-401.679968,16,7.956239
-401.68058,15,8.003395
-401.374676,13,8.048072
-404.614042,35,8.09196
-401.463852,16,8.190168
-401.652917,13,8.236694
-403.653164,36,8.284439
-402.609106,17,8.386143
-401.640113,15,8.440889
-401.804434,20,8.486986
-405.290855,40,8.550896
-406.478165,33,8.669366
-407.188759,82,8.780806
87.035219,800,9.208333
-360.323133,782,11.579563
-379.993982,200,13.770901
-329.537269,267,14.795588
-265.625927,397,15.617373
-368.694379,314,16.778479
-367.983224,216,17.688724
-372.902116,169,18.318503
-370.691479,211,18.834621
304.483019,800,19.608609
392.767604,800,21.980792
378.570585,800,24.349708
360.983785,800,26.730109
385.916667,800,30.595215
-49.907186,744,32.969317
377.245717,800,35.202033
357.497067,800,37.580029
382.541588,800,39.968474
-250.169114,318,42.251808
391.475909,800,43.319918
-346.99193,147,45.545069
409.068605,800,47.756117
378.51623,800,50.147547
364.940949,800,52.54647
-146.252152,611,54.894411
-282.904715,273,56.641738
-90.601623,544,57.524954
475.715346,800,59.246063
364.780482,800,63.137354
429.508573,800,65.54593
430.68078,800,67.960431
468.159785,800,70.372934
479.850598,800,72.777388
-228.13566,304,75.044795
470.88262,800,76.079584
419.519021,800,80.078185
422.543461,800,82.483566
422.535864,800,84.877678
368.141959,800,87.280152
462.001753,800,89.680933
452.373714,800,92.082289
515.820988,800,96.085641
548.934658,800,98.485798
546.821512,800,100.933407
560.77109,800,103.336019
600.968619,800,105.751631
587.984951,800,108.168016
598.320043,800,110.597233
612.401923,800,114.637359
651.594035,800,117.055445
588.514842,800,119.473115
673.462724,800,121.900705
672.29095,800,124.332772
712.944705,800,126.760762
672.833304,800,130.812456
667.490586,800,133.251002
722.225607,800,135.689118
716.751441,800,138.147041
713.214222,800,140.604765
686.818416,800,143.051142
720.973011,800,147.116502
716.48525,800,149.568273
703.015103,800,152.022073
710.589666,800,154.474979
701.069326,800,156.937016
710.156048,800,159.402181
703.622524,800,163.488426
713.668128,800,165.954186
667.728775,800,168.418584
722.071056,800,170.900376
667.829577,800,173.391184
676.590127,800,175.871756
699.092096,800,178.355234
717.626275,800,182.46054
721.555525,800,184.978432
723.204855,800,187.473642
738.5973,800,189.974188
732.997854,800,192.474551
710.786307,800,194.982659
653.821961,800,199.140931
732.242834,800,201.664279
703.957852,800,204.19425
724.405933,800,206.735561
729.545499,800,209.284906
671.97462,800,211.835987
640.530597,800,215.996667
681.932789,800,218.557759
721.236321,800,221.119626
722.937505,800,223.681314
697.255251,800,226.248717
699.296459,800,228.838583
718.754054,800,233.043047
650.354465,800,235.615488
733.880038,800,238.192019
710.6623,800,240.765521
707.527356,800,243.354812
702.188864,800,245.939076
-401.346,14,248.328299
707.286051,800,248.571051
684.41053,800,252.774825
732.418729,800,255.353914
715.830472,800,257.932028
706.121748,800,260.524191
700.318671,800,263.107077
726.295163,800,265.686379
709.71065,800,269.740831
725.388814,800,272.333306
703.573676,800,274.926307
676.529638,800,277.515801
654.803852,800,280.109491
722.576002,800,282.704848
680.027832,800,286.925673
729.280196,800,289.524509
698.874035,800,292.119686
725.80101,800,294.727063
704.155969,800,297.323963
713.25985,800,299.918227
696.244656,800,304.115617
699.952723,800,306.704655
-307.56638,173,309.138844
715.035767,800,309.866452
722.118779,800,312.468714
709.359643,800,315.065234
78.151302,549,317.604962
121.566613,612,319.409424
692.240434,800,323.056813
696.575612,800,325.663935
698.742419,800,328.264606
711.940395,800,330.868904
720.897768,800,333.470745
683.818606,800,336.078427
680.482499,800,340.29242
676.822697,800,342.907956
684.016613,800,345.519064
663.961467,800,348.1333
675.654556,800,350.750607
696.892613,800,353.368954
692.155681,800,357.603743
712.438976,800,360.219376
665.480048,800,362.84036
669.428164,800,365.453783
677.157961,800,368.067904
722.254701,800,370.688113
702.086427,800,373.312796
708.774939,800,377.543885
714.139978,800,380.163661
729.120158,800,382.787774
684.057958,800,385.404707
728.572769,800,388.023061
717.176157,800,390.637118
673.832574,800,394.868303
-205.612756,266,397.352909
742.671503,800,398.357945
-259.692394,208,401.256716
698.457047,800,402.317678
706.850818,800,404.952536
682.810937,800,407.610685
725.118465,800,410.242893
695.601113,800,414.516463
714.572299,800,417.161395
694.582968,800,419.794988
720.107833,800,422.434662
-173.670311,288,424.938144
155.162154,635,425.978983
177.977919,684,428.07976
686.852008,800,431.979527
684.726756,800,434.614014
713.654568,800,437.247739
690.906519,800,439.877815
725.004484,800,442.512152
661.345956,800,445.146622
688.696082,800,449.389965
617.551824,800,452.026921
699.080221,800,454.661764
711.478262,800,457.292078
723.471768,800,459.930396
729.165874,800,462.566502
649.455977,800,466.920879
682.178799,800,469.559417
648.783507,800,472.199127
672.45888,800,474.853984
689.271715,800,477.540954
664.57724,800,480.175349
719.560189,800,482.810907
669.686856,800,487.078937
698.427549,800,489.716218
657.368577,800,492.353541
662.660404,800,494.983601
685.816384,800,497.627068
710.170024,800,500.28316
698.119959,800,504.55592
256.485565,764,507.181973
694.075172,800,509.690764
713.403777,800,512.318833
702.049583,800,514.947942
701.643286,800,517.578205
688.927945,800,521.821
