#{"t_start": 1625693419.2568786, "env_id": null}
r,l,t
-3.345873,800,0.200711
-9.870674,800,2.564468
-14.564517,800,4.945705
25.013207,800,7.368678
53.200087,800,9.786271
101.284414,800,12.206009
137.295502,800,16.257838
125.412569,800,18.698261
128.203373,800,21.142267
148.326906,800,23.590158
55.614058,800,26.042933
50.636727,800,28.51338
117.991119,800,32.580565
131.581819,800,35.06007
162.871795,800,37.538354
183.500824,800,40.006773
189.268848,800,42.493749
208.052217,800,44.972187
227.904153,800,49.066837
249.444172,800,51.54109
257.977386,800,54.029041
237.453555,800,56.524876
267.750359,800,59.001088
257.587658,800,61.49168
227.650267,800,63.972836
265.078212,800,68.060335
267.98988,800,70.536626
296.442015,800,73.019179
249.706355,800,75.492838
271.48114,800,77.976275
265.912372,800,80.462785
285.136977,800,84.570814
292.434139,800,87.092073
277.507595,800,89.567554
260.482319,800,92.047761
268.639428,800,94.527853
245.938217,800,97.000379
276.808513,800,101.093413
270.757731,800,103.585572
257.672047,800,106.083519
273.433702,800,108.579786
270.22141,800,111.095519
290.493435,800,113.613923
253.944115,800,117.774028
264.447758,800,120.30647
294.342809,800,122.846819
288.479107,800,125.402066
277.846062,800,127.95114
259.593646,800,130.513639
263.986991,800,133.091355
239.626547,800,137.300841
289.528048,800,139.893646
302.625128,800,142.496716
287.776746,800,145.114218
296.269889,800,147.743263
272.183283,800,150.3705
263.614547,800,154.621937
275.854024,800,157.282564
282.06871,800,159.939807
289.205261,800,162.604019
261.235761,800,165.263726
262.695188,800,167.95914
255.293953,800,172.250431
302.697205,800,174.958682
283.984272,800,177.690815
268.899532,800,180.381215
264.497912,800,183.141005
268.261785,800,185.907343
232.603406,800,190.279948
241.998751,800,193.050591
290.703042,800,195.897727
270.024803,800,198.681879
269.978412,800,201.473361
266.884562,800,204.282007
289.540689,800,207.110582
226.270857,800,211.56201
278.467433,800,214.421994
278.263457,800,217.293736
248.904148,800,220.174456
258.794148,800,223.069489
308.775281,800,225.983227
278.099376,800,230.517025
284.294599,800,233.445216
329.167332,800,236.38398
249.369203,800,239.320737
271.744713,800,242.265379
272.825544,800,245.224702
301.264046,800,249.802986
263.382748,800,252.779317
290.862183,800,255.758616
288.25224,800,258.739084
267.658737,800,261.72089
248.874597,800,264.719974
291.420687,800,269.334704
254.685113,800,272.341635
272.3125,800,275.34983
303.304816,800,278.368925
251.154047,800,281.384296
286.244874,800,284.407665
284.229091,800,287.441406
289.673613,800,292.095916
341.131161,800,295.144475
286.077041,800,298.187363
282.122548,800,301.227198
326.51705,800,304.267067
280.556871,800,307.307207
295.505795,800,311.977375
285.407727,800,315.028592
246.780068,800,318.081254
247.744693,800,321.129398
285.250226,800,324.183262
272.974867,800,327.275553
300.559756,800,331.975305
271.629828,800,335.03483
298.560289,800,338.088002
264.74506,800,341.139459
278.448459,800,344.195263
263.88044,800,347.249859
293.721907,800,351.904744
268.219659,800,354.961958
255.743121,800,358.005581
228.166058,800,361.057447
268.76509,800,364.107775
280.281143,800,367.16072
257.971192,800,370.219062
247.737364,800,374.89623
356.865422,800,377.960507
275.303867,800,381.027423
268.722331,800,384.096396
245.682501,800,387.153498
272.81816,800,390.218213
298.474197,800,394.906434
322.852923,800,397.977323
294.560075,800,401.074128
271.024112,800,404.139872
281.908211,800,407.207154
272.843644,800,410.272595
254.894819,800,414.959207
296.042339,800,418.027659
267.868132,800,421.093769
248.95422,800,424.160595
251.213311,800,427.23228
271.53142,800,430.298035
270.34453,800,434.998563
289.861553,800,438.074923
310.180744,800,441.157532
253.97516,800,444.234584
264.611259,800,447.305701
236.270201,800,450.382741
296.491559,800,453.466215
245.146826,800,458.161331
257.940305,800,461.302323
255.738698,800,464.409927
274.194083,800,467.497549
258.863575,800,470.587193
255.860429,800,473.687653
283.686764,800,478.403943
270.610398,800,481.500075
261.726281,800,484.588841
285.287353,800,487.686081
270.686721,800,490.783233
273.919873,800,493.879478
273.356221,800,498.35852
259.208641,800,501.464757
256.567965,800,504.572421
317.544752,800,507.67862
251.813872,800,510.784729
268.861648,800,513.892505
334.354864,800,518.615279
253.105722,800,521.718735
266.795423,800,524.833258
307.901092,800,527.942448
269.111861,800,531.051094
264.347984,800,534.16453
264.031106,800,537.282746
258.862119,800,542.034306
287.821496,800,545.149785
236.770862,800,548.259831
272.726105,800,551.370299
301.994006,800,554.489388
273.482565,800,557.603711
310.148042,800,562.336544
260.674441,800,565.460129
277.813245,800,568.578277
262.342925,800,571.705447
301.402048,800,574.877748
264.79074,800,577.999893
249.867604,800,582.752805
