#{"t_start": 1621242472.8280106, "env_id": null}
r,l,t
-411.974841,133,0.018074
-422.455869,271,0.048162
-412.406213,61,0.054866
-439.513274,177,0.074411
-409.720269,243,0.102418
-441.438854,647,0.174556
-408.78404,71,0.182866
-409.839008,143,0.198719
-423.894837,136,0.212811
-407.696196,139,0.227868
-402.614324,194,0.248055
-416.234833,245,0.273139
-419.217263,640,0.341728
-403.650743,104,0.353016
-404.895164,20,0.35516
-408.281809,92,0.364619
-433.091297,207,0.386992
-410.514785,152,0.402966
-419.682491,97,0.413322
-412.694782,213,0.435479
-409.390031,75,0.444037
-407.622075,313,0.4764
-419.119831,144,0.491966
-408.640021,135,0.50624
-408.077032,25,0.508986
-422.842992,445,0.556709
-423.367577,113,0.568755
-414.458907,143,0.584091
-442.253252,612,0.647779
-456.480725,550,0.706064
-417.269755,219,0.728741
-408.6315,54,0.734807
-407.389385,152,0.750941
-417.758302,560,0.810056
-416.743345,462,0.858457
-422.77929,171,0.877117
-405.503208,78,0.885256
-414.253727,58,0.891514
-412.788313,464,0.940166
-407.288852,410,0.984484
-414.99248,124,0.997935
-424.470807,322,1.031334
-404.727216,351,1.067344
-406.60997,59,1.08125
17.246463,800,1.529083
-29.737777,800,3.524302
214.354007,382,5.481462
397.866535,800,6.541501
102.354058,628,8.453035
160.913877,800,10.005935
88.63168,305,11.718224
257.283313,471,12.580187
95.961384,553,13.833081
70.137961,256,15.215822
62.356646,369,15.893062
60.621799,171,16.770763
93.777749,365,17.286836
85.050638,173,18.169095
87.840919,212,18.635619
85.515159,170,19.146784
84.883594,171,19.571946
91.248897,251,20.06401
35.659389,145,20.706365
65.398259,198,21.131604
63.149676,116,21.636391
52.919655,122,21.944085
61.110188,139,22.290183
89.877141,152,22.67703
85.243599,181,23.093516
34.979891,128,23.559141
104.299682,162,23.894254
55.179537,113,24.29892
98.648704,149,24.623713
60.589353,127,25.005843
58.55494,128,25.373883
89.593581,155,25.749784
74.381331,129,26.189532
59.749137,116,26.531694
70.522011,115,26.849714
103.291223,141,27.156525
82.480548,130,27.541166
75.889532,131,27.87308
78.087555,123,28.218274
73.102353,119,28.531557
86.501474,129,28.833071
100.965967,134,29.157469
69.384951,119,29.477081
69.543537,120,29.823111
65.760621,102,30.164466
84.515573,124,30.420118
66.955942,114,30.727433
44.537966,86,31.002454
71.827672,108,31.219339
31.942122,83,31.476445
54.230597,104,31.702112
72.927837,107,31.957428
60.568979,101,32.217015
58.204131,100,32.468464
113.223815,149,32.721746
55.938011,102,33.059987
44.715488,100,33.332447
38.877402,83,33.593567
32.665394,72,33.788297
51.799808,93,33.99115
57.213869,105,34.252127
23.754056,83,34.518234
106.736434,137,34.770897
68.208858,107,35.104038
55.132741,102,35.359947
46.595763,92,35.605927
42.233113,86,35.824141
59.596277,103,36.033895
66.291747,107,36.277983
47.114637,88,36.533104
52.903591,101,36.746407
48.424337,92,36.997205
38.685146,86,37.21698
56.213953,101,37.430438
121.203666,147,37.687143
76.739544,110,38.037432
44.813862,86,38.291121
39.800625,86,38.493534
60.085125,93,38.698451
77.556561,128,38.929651
100.772414,138,39.237636
68.177179,111,39.571718
52.762558,106,39.857582
44.126762,89,40.140676
72.230697,101,40.396327
69.145018,104,40.677803
87.128856,124,40.942652
77.45807,111,41.267408
52.442114,101,41.554302
46.217541,88,41.823181
86.263403,120,42.086269
92.28721,148,42.401725
75.653055,111,42.754433
85.570056,113,43.027637
58.018847,98,43.305332
35.622493,81,43.536283
82.73735,114,43.739168
83.851475,116,44.028348
56.058054,90,44.320955
61.27148,102,44.557227
67.216803,106,44.824986
103.01583,132,45.110536
71.536342,116,45.448267
71.069249,106,45.794943
60.425243,103,46.098409
75.163528,109,46.401064
80.413538,108,46.687265
104.17202,144,47.006555
32.708899,82,47.413367
90.478746,127,47.677089
79.6811,111,47.970366
59.711106,100,48.23193
67.578731,107,48.471745
75.434082,116,48.728513
97.433291,133,49.00635
52.161385,101,49.310695
63.614158,114,49.601931
57.116311,104,49.911834
208.284842,220,50.254285
50.679764,92,50.73131
165.410953,182,50.977383
101.716157,140,51.41853
65.903049,107,51.769112
134.79388,159,52.04365
149.705087,173,52.432233
151.638745,174,52.846686
122.646947,142,53.24665
30.116318,79,53.56208
96.543869,129,53.767055
54.795125,94,54.066685
109.356952,126,54.346727
65.444676,106,54.674757
65.454835,105,54.956941
41.52578,92,55.232682
194.241041,213,55.518753
232.184466,226,56.023523
42.848901,86,56.543041
132.412345,155,56.818452
121.644106,161,57.247281
278.473453,266,57.676754
44.607964,88,58.309602
61.775492,94,58.573829
107.520706,120,58.857691
177.463284,173,59.179645
177.035528,192,59.676308
64.277941,93,60.144651
295.791453,247,60.45315
73.913452,102,61.028877
165.720884,177,61.35676
28.147228,71,61.793077
91.055829,119,62.008949
227.863746,224,62.354432
144.724686,158,62.962744
99.128436,121,63.371794
258.897645,264,63.703045
23.113107,68,64.317351
34.537197,74,64.489472
