#{"t_start": 1625532905.9522932, "env_id": null}
r,l,t
-401.096241,10,0.009291
-390.536888,21,0.050885
-378.268081,42,0.13505
-381.974841,47,0.287055
-398.145142,6,0.441927
-400.527374,4,0.462861
-405.758223,449,0.627617
-418.363669,291,2.173198
-42.260451,800,3.393562
37.576034,800,6.272459
131.617621,800,9.156276
329.652847,800,12.040761
508.014023,800,14.926637
341.35207,800,20.105935
-314.102193,275,22.825682
-11.35767,712,23.978874
422.039517,800,26.601522
-279.246878,300,29.357182
425.510719,800,30.626156
-121.121945,560,33.475328
6.211022,781,35.604341
316.600133,800,40.765704
397.065246,800,43.954805
-2.32117,800,46.881446
-241.238484,308,49.643183
-173.919838,425,50.816938
475.089614,800,52.497742
518.581779,800,55.434628
529.65505,800,60.633072
605.989039,800,63.574567
619.044749,800,66.520047
716.259182,800,69.474844
655.092725,800,72.423166
648.171813,800,75.376944
573.615333,800,80.597979
692.135394,800,83.554986
755.850925,800,86.5083
611.21515,800,89.483794
701.488029,800,92.436517
143.898107,590,95.316515
749.246648,800,97.568729
653.853664,800,102.82902
692.860267,800,105.830184
770.517821,800,108.788417
744.682213,800,111.746319
727.615652,800,114.70371
739.170397,800,117.66175
779.306896,800,122.922362
656.440756,800,125.888169
773.333527,800,128.855951
739.224633,800,131.82238
-382.095408,40,134.541956
-374.166707,45,134.693863
746.678498,800,135.127686
767.455862,800,138.107805
670.21611,800,143.357811
720.53654,800,146.337474
749.632005,800,149.316432
696.966798,800,152.301046
701.124457,800,155.285381
713.611238,800,158.264369
775.837571,800,163.315726
733.664556,800,166.298442
733.001749,800,169.28184
720.730638,800,172.262136
682.35994,800,175.25201
746.081075,800,178.236662
713.338656,800,181.223329
730.31602,800,186.497304
728.5904,800,189.488513
734.285236,800,192.48474
688.352361,800,195.473257
755.258191,800,198.463384
685.420232,800,201.449092
754.025474,800,206.721052
741.408986,800,209.713628
738.307365,800,213.050379
762.609985,800,216.0962
759.921482,800,219.099599
751.035549,800,222.091756
294.837738,749,227.344558
749.263154,800,230.516726
719.325105,800,234.081266
-296.464102,137,237.518611
-209.226549,255,238.202708
726.220706,800,239.526372
757.328145,800,243.347842
763.459095,800,246.615602
712.360763,800,252.765132
707.740457,800,256.262111
735.920789,800,259.759421
757.911904,800,263.257887
735.426405,800,266.76284
733.315352,800,270.267332
712.190546,800,276.71199
721.943845,800,280.22403
751.61906,800,283.735735
747.045741,800,287.351624
778.164837,800,290.866093
743.8931,800,294.374766
748.38982,800,300.724672
685.282702,800,304.243324
702.409572,800,307.754331
-57.606567,387,311.102553
717.802986,800,312.985363
742.835808,800,316.510584
662.12772,800,320.024901
747.235492,800,326.393757
734.3581,800,329.916652
689.720768,800,333.51625
708.461515,800,337.209337
718.400625,800,340.879226
725.13215,800,344.411035
754.480252,800,350.783946
765.755348,800,354.353457
681.801974,800,357.883226
709.341109,800,361.407393
-222.977868,207,364.691853
734.29032,800,365.85099
695.089816,800,369.377595
712.265055,800,375.729796
710.674988,800,379.257677
755.951694,800,382.782646
683.000146,800,386.305607
-128.927055,310,389.627177
735.156317,800,391.19669
690.44593,800,394.802209
700.142105,800,401.153228
-399.31832,2,404.349806
744.45637,800,404.687487
718.531962,800,408.217707
754.119099,800,411.743941
707.972898,800,415.275409
327.348305,796,418.802531
747.788892,800,422.317193
676.866937,800,428.677742
714.643079,800,432.213356
682.97711,800,435.763076
711.905203,800,439.340727
722.425111,800,442.881497
721.918479,800,446.418611
-400.401875,5,449.636977
707.522118,800,452.85812
678.712515,800,456.455728
720.505945,800,460.024376
725.956792,800,463.562211
708.620005,800,467.096791
687.291212,800,470.647593
747.279503,800,477.025948
726.129075,800,480.569223
735.049918,800,484.109717
240.702498,693,487.604048
725.417091,800,490.713799
785.235248,800,494.257643
689.893535,800,500.60973
680.966896,800,504.152322
729.153934,800,507.685362
-390.129737,12,510.897755
726.921578,800,511.274269
715.66568,800,514.814466
722.954371,800,518.418062
694.025862,800,521.957092
749.505546,800,528.3047
713.166831,800,531.892065
719.506073,800,535.43401
689.801549,800,538.980863
766.463956,800,542.519701
699.838508,800,546.065963
722.335774,800,552.460085
726.382604,800,556.011039
703.655453,800,559.55698
669.212974,800,563.108389
687.134749,800,566.649893
708.976296,800,570.202572
725.031728,800,576.58417
722.435478,800,580.185046
706.264302,800,583.727812
720.397941,800,587.279408
765.962775,800,590.835139
705.251133,800,594.395966
723.855194,800,600.76312
662.806349,800,604.3167
723.784549,800,607.869158
725.2173,800,611.424604
699.659658,800,614.974056
741.047264,800,618.526093
674.641421,800,622.087737
710.575265,800,628.454612
709.650797,800,632.020568
706.091412,800,635.5749
763.179357,800,639.133757
711.239456,800,642.689726
-400.100868,6,645.934746
-135.104742,289,646.07756
713.049472,800,647.571355
727.5137,800,653.971041
693.493584,800,657.524125
751.194888,800,661.099557
693.775153,800,664.647918
684.566859,800,668.204525
664.987353,800,671.761563
694.302879,800,678.144123
693.930729,800,681.695707
713.193307,800,685.251709
755.613094,800,688.804192
739.645107,800,692.361881
673.899418,800,696.009363
741.213411,800,702.466936
-22.236882,800,706.024276
-379.166915,57,709.084409
-92.537889,800,709.627522
-395.276769,11,712.79444
-391.321059,43,712.857408
-384.716716,755,713.34629
-374.4562,41,716.276892
-356.364827,85,716.468376
-330.447263,158,716.857774
3.6772,800,717.794215
414.165122,800,721.226818
-265.101453,315,724.470763
-292.458286,256,725.789751
-362.318606,164,727.910264
-394.402617,12,728.545609
-316.154493,182,728.665424
430.481797,800,729.693181
464.021035,800,733.10443
448.082364,800,736.517004
411.778405,800,739.937811
456.854727,800,743.511699
486.753012,800,748.809733
-204.313531,265,752.018128
531.522439,800,753.376828
544.359362,800,756.827884
-356.685574,100,760.025155
589.376783,800,760.774338
-285.867531,158,763.996006
-112.338541,427,764.787967
-265.600855,252,766.551993
-228.390135,232,767.62757
-67.783742,421,768.704744
-324.463637,132,770.39467
-106.722388,378,771.067339
-337.162487,133,772.589832
-373.700779,50,773.820434
-64.640092,450,774.197379
688.344136,800,776.275237
689.372807,800,779.714287
712.964695,800,783.167476
-292.40583,150,786.355431
699.626101,800,787.273355
724.64937,800,790.73512
761.195572,800,797.096393
