#{"t_start": 1622647326.1031103, "env_id": null}
r,l,t
-408.089437,33,0.012681
-403.263259,31,0.10295
-450.251799,311,0.265438
-22.161457,800,1.239531
-40.709931,800,3.444253
-403.80642,17,5.470876
-447.135791,308,5.595245
26.190954,800,6.590786
-8.67118,800,8.818407
-7.489731,800,11.03827
9.412224,800,13.270351
1.470926,800,15.504063
-0.75627,800,17.741086
90.235172,800,19.972729
52.111241,800,22.207019
77.489826,232,24.310038
-227.654501,476,25.02224
-350.803843,139,26.252171
74.331597,153,26.640478
-281.480955,195,27.076393
80.46017,213,27.625634
64.751002,142,28.197603
86.289941,201,28.608695
74.018568,146,29.153104
54.760212,135,29.555694
87.471651,160,29.937402
98.893903,157,30.383591
64.346958,116,30.809463
72.558127,128,31.135095
72.594624,119,31.48776
71.214543,120,31.817631
72.866669,137,32.15451
87.99293,138,32.538187
63.953217,145,32.922587
66.564204,128,33.320463
72.086492,112,33.670307
59.063071,105,33.978374
52.195916,99,34.267981
65.063474,107,34.542761
80.146722,141,34.846866
89.837542,128,35.232843
25.806158,80,35.575024
59.784561,112,35.805373
35.315981,98,36.112795
55.47929,117,36.388588
30.797224,92,36.705799
58.625919,111,36.966392
64.343059,113,37.275317
43.595649,98,37.582962
73.918539,116,37.859427
37.048531,95,38.175895
53.15268,100,38.440041
47.523983,98,38.717117
72.741266,118,38.993356
28.819993,81,39.310786
36.90436,101,39.540624
24.924949,79,39.814038
62.222125,112,40.041082
56.901397,133,40.356267
74.464642,123,40.721494
77.133819,120,41.061069
57.907346,102,41.387658
39.976604,101,41.877194
61.257503,115,42.16115
119.701293,155,42.490484
66.789474,114,42.907639
86.70256,124,43.225855
55.458638,103,43.56159
100.803261,143,43.855902
50.011123,97,44.23789
69.591929,112,44.511327
60.765357,117,44.822273
86.875752,134,45.149808
43.250322,96,45.508746
43.818312,93,45.774009
60.25859,104,46.035333
90.262213,128,46.33098
28.468124,103,46.679792
64.491695,130,46.972008
101.839075,153,47.3378
102.512883,160,47.76377
56.097764,116,48.19474
79.102438,121,48.517627
65.330634,106,48.849555
100.753431,150,49.156274
85.646442,143,49.570346
59.208235,121,49.962808
67.898675,145,50.305677
71.304862,159,50.711087
145.001722,184,51.159498
103.716079,165,51.667996
84.574345,182,52.131064
32.930068,119,52.618562
71.508133,126,52.950701
128.525008,197,53.31859
86.01188,138,53.850757
49.752344,110,54.228412
108.281841,193,54.555647
110.862441,198,55.090902
106.904691,164,55.629771
169.967202,230,56.100494
79.965361,152,56.719058
52.125538,110,57.129991
82.092877,135,57.442301
88.78669,150,57.820757
58.256463,113,58.228961
68.723224,116,58.544174
85.273195,154,58.875972
159.572841,175,59.309186
163.84727,196,59.803106
242.810035,247,60.362243
234.383947,212,61.039118
82.087139,120,61.603613
89.228819,128,61.940432
210.516718,194,62.317087
223.605604,194,62.856976
51.395395,91,63.369943
75.506447,113,63.629392
341.831062,280,63.991168
158.65878,170,64.738542
48.567914,88,65.188633
112.567077,136,65.447154
56.879244,109,65.818481
78.714723,111,66.122789
265.570435,262,66.472803
50.811732,91,67.154759
209.491707,183,67.431328
25.80085,71,67.909868
256.13867,208,68.144028
69.88505,117,68.697516
153.898369,171,69.035184
55.789494,92,69.489304
253.780737,229,69.781306
199.14429,200,70.410452
156.693819,191,70.961726
45.343713,89,71.466661
603.850871,394,71.795444
51.747013,82,72.807887
130.615344,132,73.048992
56.294826,93,73.405009
76.708702,121,73.672874
1066.698124,652,74.154465
30.102634,70,75.811306
119.607178,139,76.024181
122.741631,136,76.411129
56.703066,93,76.778822
249.14626,218,77.070165
99.093135,141,77.655322
200.439629,202,78.064079
137.209189,134,78.609085
395.63496,303,79.02739
621.316162,413,79.898824
77.862006,112,80.971568
55.540818,94,81.279304
710.359616,438,81.633588
630.188356,410,85.199963
36.784894,74,86.251203
52.140243,86,86.461344
590.117664,391,86.780551
290.751243,233,87.823016
126.667381,154,88.450464
339.711052,259,88.906683
768.476211,486,89.685134
57.210679,94,90.931008
48.382177,88,91.190425
1007.547989,609,91.568672
82.644125,118,93.133678
333.535357,246,93.493722
1248.674079,766,94.31814
309.393348,248,96.314856
69.067928,109,96.968112
102.185568,154,97.283401
88.139449,136,97.706239
1293.189631,800,98.26111
1441.58501,800,100.487427
1353.689885,800,102.71566
71.145582,104,104.762688
1425.440759,800,105.241548
1082.099166,631,107.430925
1425.421529,800,109.242594
1457.127135,800,111.476249
-169.163581,180,113.549052
1373.289695,800,114.218341
345.743252,273,116.309014
1414.404226,800,117.21476
1425.935891,800,119.455571
1416.243429,800,121.692243
852.292133,745,123.914459
-339.142906,95,125.822491
280.119732,240,126.126135
1466.635851,800,130.573814
534.44869,355,132.691058
1432.422478,800,133.802344
1388.838658,800,136.044224
1396.343033,800,138.286054
1420.101122,800,140.527233
1413.390302,800,142.768908
1418.094028,800,145.020857
1427.720299,800,147.268035
1421.790749,800,149.5161
1426.860575,800,151.766055
1135.336525,694,153.993588
1353.219643,800,155.99157
