#{"t_start": 1625534309.6282408, "env_id": null}
r,l,t
-397.473648,29,0.014834
-385.131892,21,0.119356
-397.5588,13,0.19286
-420.603581,214,0.307924
-183.196145,495,1.182277
-359.829312,73,2.852603
-333.835677,136,3.146619
-149.029063,529,3.782166
438.850394,800,5.820999
479.260077,800,8.928436
389.890047,800,12.071592
466.823325,800,15.044285
-367.187685,72,17.776677
-119.055709,522,18.284842
-404.730824,100,20.098582
-307.71858,196,20.505472
-334.246466,144,21.220318
-336.760537,128,21.777111
-354.260436,104,22.28193
476.712853,800,22.929599
-311.515567,211,25.724115
381.979668,800,26.733674
423.275229,800,29.876943
448.923524,800,33.024365
457.87743,800,37.915658
-353.903988,78,40.678019
-290.379031,156,41.014197
-369.626468,113,41.624818
-367.227397,45,42.049595
-366.374978,133,42.251817
511.758368,800,42.978117
545.48789,800,45.984048
588.521861,800,49.11983
-141.284521,392,52.118372
-336.127562,107,53.481358
580.859163,800,54.117777
-194.599938,304,56.931144
-282.497448,149,58.066303
-210.128006,227,60.549169
719.059048,800,61.605683
752.131122,800,64.565282
764.360564,800,67.5425
736.930763,800,70.507803
747.639591,800,73.475366
712.752632,800,76.437548
748.55542,800,80.136169
-30.049154,427,83.004042
639.09393,800,84.758002
744.194064,800,87.797024
753.3255,800,90.940691
755.510483,800,94.091691
778.406257,800,97.355428
744.703627,800,100.316761
-401.227078,5,103.127599
737.338996,800,103.429105
715.998218,800,106.459143
746.003893,800,109.61838
727.92681,800,112.78157
765.93907,800,115.802089
213.519972,800,119.005109
729.20719,800,121.969889
732.270582,800,124.940961
489.03156,800,127.909463
-397.227717,4,130.612045
755.763149,800,130.905726
733.225241,800,133.884356
740.925256,800,139.189388
729.835826,800,142.192925
754.776671,800,145.181934
710.236179,800,148.21088
737.548357,800,151.246108
731.236899,800,154.22272
723.992437,800,159.587414
749.585955,800,163.023245
726.451579,800,166.121583
699.23721,800,169.33293
758.442864,800,173.040911
692.714524,800,176.31294
711.349759,800,182.682229
706.856858,800,186.282186
-400.671302,17,189.337168
727.403148,800,189.693983
716.571981,800,192.968153
671.006706,800,196.271666
-207.873828,222,199.331189
705.61039,800,200.441663
709.262501,800,206.400801
685.61839,800,210.177721
735.547913,800,213.965101
722.492197,800,217.433931
708.171506,800,220.433972
723.194331,800,223.43376
687.428987,800,226.429366
-396.132451,17,229.254382
767.595074,800,231.880368
755.433789,800,234.897795
730.315553,800,237.925029
722.206917,800,240.954054
732.706764,800,243.985397
714.087066,800,247.022449
742.833764,800,252.338802
759.69208,800,255.381338
764.708232,800,258.536285
736.54921,800,261.62191
729.019438,800,264.671562
709.805008,800,267.800239
726.623549,800,273.306512
754.869892,800,276.413394
729.616251,800,279.510425
762.868535,800,282.584514
731.684567,800,285.672353
760.25228,800,288.885282
747.980194,800,294.465611
734.623209,800,297.710278
709.084032,800,301.045991
727.783632,800,304.248381
745.044845,800,307.50058
733.102832,800,310.87214
770.509657,800,314.071865
729.813832,800,319.549715
725.657568,800,322.760109
97.536471,540,325.873273
716.59595,800,328.215533
718.573238,800,331.580873
699.128256,800,334.863293
-400.529847,3,337.787672
731.826281,800,340.350365
748.511318,800,343.551076
744.986429,800,346.830256
720.737017,800,350.177352
759.571384,800,353.438793
765.989817,800,356.644249
749.526331,800,362.269238
727.10536,800,365.459263
702.050417,800,368.77406
691.022888,800,371.961514
715.784825,800,375.146284
736.565264,800,378.314645
712.031355,800,381.50084
715.262876,800,386.967178
691.259592,800,390.22265
741.706051,800,393.415759
742.296643,800,396.629828
694.692286,800,399.814983
732.566341,800,403.007849
732.405396,800,408.45316
733.86731,800,411.662126
670.779822,800,414.87718
700.464054,800,418.154584
747.271273,800,421.367539
263.693379,762,424.558426
737.996039,800,429.907292
733.439342,800,433.111706
673.32119,800,436.309102
726.317129,800,439.568236
731.981423,800,442.877657
688.198747,800,446.51486
676.76039,800,450.766079
678.45158,800,453.980748
-401.110579,10,457.334699
-400.845928,3,457.373614
742.97246,800,457.665021
760.660688,800,460.877178
713.918174,800,464.103049
239.838621,765,467.36001
689.486006,800,470.572875
739.723947,800,476.038987
717.332186,800,479.42267
729.177247,800,482.644919
741.703205,800,485.853113
699.905393,800,489.150047
759.083821,800,492.367894
756.710761,800,497.851584
751.913654,800,501.064069
691.046518,800,504.324914
690.285105,800,507.539304
688.819673,800,510.740889
720.751949,800,513.933851
736.778579,800,519.462748
765.16756,800,522.657913
724.096697,800,525.862567
772.529661,800,529.15095
760.308049,800,532.452615
712.497255,800,535.685718
705.263539,800,541.175236
740.152261,800,544.394677
754.484681,800,547.59243
734.183628,800,550.797703
739.554758,800,553.992095
720.59637,800,557.149489
705.295235,800,560.27277
772.424846,800,565.647117
761.990781,800,569.084541
739.94343,800,572.735761
756.132758,800,575.876258
763.278774,800,579.043099
689.859689,800,582.208037
688.12608,800,587.783019
742.841242,800,591.407369
731.699152,800,594.99826
747.412731,800,598.639686
737.927716,800,602.254604
695.606588,800,605.864341
695.470678,800,612.290613
740.759607,800,615.928526
676.047471,800,619.562262
741.790504,800,623.185609
765.724514,800,626.759357
735.413481,800,630.348192
743.229258,800,636.847534
719.257253,800,640.426535
727.654772,800,644.020996
749.889022,800,647.859949
682.44384,800,651.487233
749.328537,800,654.962197
725.982888,800,658.508245
754.841933,800,667.259468
