#{"t_start": 1634181080.6643653, "env_id": null}
r,l,t
-402.396699,19,0.044601
-403.680452,39,0.18887
-407.998787,77,0.476401
-400.323196,124,0.972787
-1.674426,800,3.074976
-404.342041,179,5.995803
24.286601,800,7.952353
-363.557425,363,11.311153
-393.16607,128,12.751172
-401.949642,19,13.225962
-400.507182,112,13.511691
-401.59223,57,13.999789
-401.734522,26,14.247781
-390.232947,152,14.625772
-402.953133,97,15.375252
-397.079109,141,15.972247
-40.67496,800,18.156326
49.956413,800,22.44906
191.90344,800,41.616854
167.384052,800,46.149531
307.702469,800,50.579926
224.438448,800,54.951822
382.224548,800,59.241934
461.055883,800,63.782741
436.724652,800,82.720931
411.579555,800,87.244439
361.473762,800,91.780254
384.448486,800,96.138925
347.307523,800,100.466506
386.594998,800,104.852009
389.555914,800,125.669907
425.85448,800,130.094367
398.281334,800,134.295295
427.871284,800,138.951533
378.064384,800,143.579276
398.66147,800,147.801036
365.236774,800,152.292485
-235.112447,429,174.196487
343.47562,800,177.239219
-307.084525,239,180.460611
381.223539,800,182.917285
380.395415,800,187.161495
-289.289115,266,190.338762
-208.697481,479,192.233908
388.715735,800,195.451636
393.840537,800,214.787151
391.763863,800,219.232789
393.581972,800,223.572134
357.061989,800,228.212451
364.097553,800,232.625697
392.555808,800,236.868879
432.568388,800,258.377519
469.261219,800,262.772771
445.132669,800,267.125359
400.389341,800,271.583477
386.423517,800,275.977796
402.953849,800,280.39917
-226.114205,397,283.943189
530.831633,800,300.670326
475.000745,800,304.949103
512.185701,800,309.256549
516.866998,800,313.856803
519.276772,800,318.224378
563.95486,800,322.639029
638.79935,800,345.318829
593.593327,800,349.792361
567.462946,800,354.256888
636.686997,800,358.997788
662.20425,800,363.672633
670.052299,800,368.262365
653.422277,800,372.987826
701.308664,800,396.637345
688.311852,800,401.268818
651.712853,800,406.366638
705.061044,800,411.396768
717.845029,800,416.464159
710.949081,800,421.377635
725.681391,800,443.55461
686.485017,800,448.32581
222.404483,715,452.74099
680.247383,800,457.074697
665.583299,800,461.644345
686.846751,800,466.224872
712.101871,800,489.466182
683.833119,800,494.129459
698.687087,800,498.78636
696.753287,800,503.503304
723.315046,800,508.291292
697.571945,800,512.992025
707.899409,800,534.474072
683.215844,800,539.171302
689.636471,800,543.906182
716.968338,800,548.666177
728.051913,800,553.366539
706.242047,800,558.056138
706.838204,800,562.699272
685.083704,800,585.880476
661.837729,800,590.486026
718.440122,800,595.460029
635.402136,800,600.128094
723.743777,800,604.867057
706.207354,800,609.659618
733.018325,800,632.286713
699.81997,800,636.916345
682.828731,800,641.551183
698.334919,800,646.2063
720.330128,800,650.787508
685.36994,800,655.697088
676.387843,800,679.992345
681.265187,800,684.647636
723.282286,800,689.499217
726.997381,800,694.16094
681.996661,800,698.856762
718.678287,800,703.45371
710.196421,800,729.977171
-266.349712,215,733.341437
691.517733,800,735.883618
677.16723,800,740.627206
710.047215,800,745.397995
717.381233,800,750.166208
714.917815,800,754.932709
-234.898877,246,758.35698
701.872184,800,778.143636
690.89066,800,782.768155
696.935493,800,787.524821
683.418793,800,792.385859
728.908153,800,797.132908
-50.177102,434,800.933431
673.388582,800,804.303568
669.414093,800,827.740836
676.882379,800,832.551671
717.353277,800,837.254154
695.92343,800,841.813761
712.879049,800,846.568835
709.3718,800,851.231871
696.427409,800,874.795021
698.332245,800,879.390142
682.863724,800,884.076072
-315.745129,150,887.250964
708.048641,800,889.575543
694.456864,800,894.011386
680.445562,800,898.460051
693.070278,800,917.671485
-401.772712,15,920.589104
656.707575,800,922.265922
686.124999,800,926.855824
707.772455,800,931.820481
709.983261,800,936.55511
690.384328,800,941.091832
685.104912,800,964.385594
706.202227,800,969.182422
708.070212,800,973.858251
679.818205,800,978.480657
689.808984,800,982.927184
678.505355,800,987.871999
696.699612,800,992.35324
714.172522,800,1014.927131
692.840926,800,1019.626585
691.481175,800,1024.100704
678.461453,800,1028.895082
708.827534,800,1033.492419
673.6699,800,1038.149258
688.750668,800,1058.370899
713.686615,800,1063.113658
714.540611,800,1067.798306
681.608718,800,1072.415379
697.953642,800,1077.066852
672.259386,800,1081.810246
679.66563,800,1101.880727
655.934253,800,1106.555327
87.961628,594,1110.756014
679.771435,800,1114.622212
714.527847,800,1119.261596
633.399522,800,1123.870492
658.43318,800,1128.532024
658.865288,800,1154.698899
646.306994,800,1159.370448
680.281816,800,1163.999049
682.069673,800,1168.648372
7.564295,520,1172.62391
662.944563,800,1176.10421
686.115085,800,1194.54351
685.743458,800,1199.212556
662.940054,800,1203.928743
645.880285,800,1208.413019
140.724516,654,1212.562499
682.401309,800,1216.629208
654.007709,800,1221.314902
652.107509,800,1247.389395
671.550311,800,1251.942507
668.39616,800,1256.690434
55.332614,545,1261.225725
678.668368,800,1264.632619
650.604345,800,1269.074708
700.848981,800,1292.362329
664.76697,800,1297.046885
40.530475,547,1301.235407
683.189625,800,1305.045936
646.714037,800,1309.839506
671.013437,800,1314.64861
648.695391,800,1319.340704
632.2071,800,1339.676275
648.30692,800,1344.612489
672.729441,800,1349.405393
674.630842,800,1353.974752
-145.14357,346,1357.778046
674.266147,800,1360.786118
631.810749,800,1365.362145
-402.833058,40,1368.656157
683.367466,800,1388.424882
