#{"t_start": 1634196463.8062818, "env_id": null}
r,l,t
-402.396699,19,0.029897
-403.680452,39,0.155402
-407.998787,77,0.346342
-400.323196,124,0.663912
9.525972,800,1.921524
-405.02099,197,4.177759
25.097115,800,5.449278
-396.798651,244,7.994736
-397.560325,117,8.964499
-405.00842,50,9.353087
-399.640104,77,9.56847
-402.180257,103,9.901871
-405.430863,41,10.232742
-401.806352,54,10.401197
-413.084574,93,10.668467
-403.843951,105,11.059306
-406.365836,90,11.490393
-406.121367,55,11.807184
117.707414,800,12.926323
-413.334707,112,15.795872
194.990526,800,17.272159
75.701214,800,30.851356
7.297154,800,34.259474
373.609588,800,37.640494
333.809653,800,40.83762
303.327183,800,43.963334
398.603974,800,47.118638
304.787086,800,60.613705
345.670045,800,63.988377
401.00173,800,67.279267
-197.185694,501,70.021006
329.990601,800,72.452742
329.973448,800,75.522378
398.695669,800,78.756253
-260.19815,377,87.788319
359.866942,800,89.906169
-269.771945,375,92.448662
378.834939,800,94.381632
-291.16623,277,96.82901
327.809527,800,98.569277
-227.128418,358,101.108572
-279.094326,328,102.42149
383.460575,800,104.293073
391.130303,800,114.926667
-169.312335,547,117.93223
361.858057,800,120.447582
405.421788,800,123.860922
399.836325,800,127.116268
400.841534,800,130.328717
436.754897,800,143.169671
421.563096,800,146.513657
419.928913,800,149.755635
422.258704,800,153.310777
407.19176,800,156.506482
441.202707,800,159.866103
-276.544744,267,162.877767
535.333638,800,170.32203
572.483551,800,173.66355
688.212325,800,176.883597
631.56804,800,180.477729
676.91529,800,183.727933
666.507399,800,187.006121
686.823034,800,201.471728
687.530622,800,204.725344
687.130972,800,207.969066
697.883828,800,211.342
668.726274,800,215.022672
730.217615,800,219.094763
708.79814,800,222.513257
683.885376,800,235.588555
720.055207,800,239.054233
700.182205,800,242.836668
724.137713,800,246.763898
688.754296,800,250.454026
713.225672,800,254.380991
730.030918,800,266.078473
696.68153,800,269.592696
695.371541,800,273.351526
710.421662,800,276.745835
681.567444,800,280.038546
713.382293,800,283.403078
681.478088,800,297.641648
187.417906,682,301.013017
-368.46387,105,303.092714
718.784747,800,304.503552
713.031585,800,308.06085
700.572559,800,311.53275
689.452221,800,315.120967
689.354855,800,329.575187
688.907983,800,333.393906
672.123017,800,336.881014
691.924057,800,340.388191
725.597858,800,343.920789
724.20885,800,347.395138
693.133619,800,350.77835
706.916121,800,363.525688
680.681029,800,367.049852
704.849602,800,370.57318
684.083548,800,374.059151
703.014499,800,377.536015
719.413417,800,380.995575
687.6913,800,393.829651
730.187839,800,397.294991
36.703422,514,400.421557
709.184072,800,403.040913
705.810395,800,406.52731
701.466457,800,410.01205
707.869697,800,413.632449
701.324055,800,425.24581
-16.696158,470,428.43149
685.010505,800,430.908926
701.227646,800,434.520907
702.644015,800,438.165995
679.934682,800,441.793381
699.817871,800,455.700874
700.464427,800,459.476301
713.58247,800,463.19063
693.046782,800,466.849461
678.622535,800,470.763448
674.108479,800,474.396818
-5.313176,499,477.803611
666.010676,800,489.782231
684.194273,800,493.531753
685.409166,800,497.198038
701.086839,800,500.838824
697.836347,800,504.392316
672.30194,800,507.959125
679.207566,800,521.563249
669.945104,800,525.147502
688.999209,800,528.844612
670.807405,800,532.402792
712.667671,800,535.971991
-286.675415,198,538.801553
-316.520434,153,539.616926
686.17612,800,541.205765
693.173296,800,555.607609
-4.788973,513,559.24315
659.582523,800,562.11734
694.37317,800,565.872331
701.602566,800,569.580322
676.97886,800,573.188205
689.698334,800,576.898611
715.252722,800,592.151114
694.510528,800,595.816407
689.858264,800,599.483087
696.457037,800,603.156718
-402.345742,28,605.752423
681.941292,800,606.871538
714.244117,800,610.498531
676.823628,800,626.36182
693.432699,800,629.855635
716.440916,800,633.171636
692.120191,800,636.563977
694.504702,800,640.060216
648.660613,800,643.490036
674.290862,800,656.034063
699.47651,800,659.50045
663.463499,800,662.936516
655.012746,800,666.453533
666.46155,800,670.0042
708.541164,800,673.571707
693.20026,800,686.714436
677.871327,800,690.433479
663.090247,800,694.027012
695.585891,800,697.877264
695.151474,800,701.666985
679.507557,800,705.363708
687.859994,800,709.468259
692.535225,800,723.326975
714.092763,800,727.106198
688.754068,800,730.978474
647.249377,800,734.918055
715.865793,800,738.689337
673.24214,800,742.371436
668.179466,800,756.307917
666.463443,800,760.008124
672.576305,800,763.704463
649.903232,800,767.493184
676.298327,800,771.168911
670.420864,800,774.882948
661.608872,800,788.819756
685.169653,800,792.49661
672.223645,800,796.048859
678.553431,800,799.602878
681.973104,800,803.286005
638.342987,800,807.003538
677.816293,800,820.009789
668.255371,800,823.586878
688.332856,800,827.195485
672.620963,800,830.905588
650.781807,800,834.606802
667.991023,800,838.142094
674.036088,800,842.049406
665.469766,800,856.706681
709.968705,800,860.552699
654.940832,800,864.256695
716.170442,800,868.249876
684.945169,800,872.127233
663.490565,800,875.819618
697.031679,800,889.865803
691.775127,800,893.646483
698.784663,800,897.503
711.570845,800,901.399549
696.822398,800,905.185499
652.173875,800,908.901022
694.570429,800,922.23754
680.497143,800,926.041012
697.721033,800,929.79964
664.951113,800,933.784253
731.286633,800,937.832644
690.995288,800,941.693709
685.66497,800,955.777153
