#{"t_start": 1622035336.843503, "env_id": null}
r,l,t
-401.890698,10,1.322977
-401.740804,12,1.324305
-402.198765,11,1.325528
-401.567079,8,1.326413
-401.903937,11,1.327615
-400.927854,10,1.328759
-401.871468,24,1.33104
-400.890761,7,1.332047
-400.885607,6,1.332943
-399.641466,16,1.334466
-397.40285,37,1.338075
-401.182446,9,1.338988
-400.057884,22,1.341365
-400.434173,29,1.344368
-401.133926,21,1.346521
-402.066709,11,1.347808
-402.092344,9,1.348993
-399.657009,30,1.351839
-401.528702,11,1.353109
-403.634053,16,1.355184
-400.905856,8,1.356134
-401.859623,12,1.357577
-401.058027,9,1.358509
-402.468957,17,1.360178
-401.769985,13,1.36152
-400.93134,15,1.363275
-404.140088,16,1.365349
-401.392428,8,1.366136
-401.392428,8,1.366976
-401.317294,17,1.368781
-401.235797,9,1.369841
-401.636992,15,1.371467
-402.114797,22,1.373788
-401.748446,11,1.374876
-402.216226,18,1.376678
-401.966689,26,1.379396
-401.61209,9,1.380331
-402.855143,15,1.381757
-401.635102,15,1.383309
-400.69146,6,1.383926
-401.050931,7,1.384697
-402.978545,30,1.387982
-403.426263,15,1.389523
-403.260168,16,1.391069
-401.47244,10,1.39219
-406.470889,24,1.394429
-402.852551,12,1.395722
-399.071444,30,1.398548
-405.470607,33,1.401795
-401.030586,10,1.402797
-400.929117,12,1.404057
-401.652645,10,1.405074
-401.451922,9,1.406037
-400.943563,7,1.406765
-401.226462,32,1.409751
-401.642478,21,1.411748
-401.352863,9,1.412717
-410.012655,39,1.41629
-400.202226,35,1.419528
-394.718594,39,1.423193
-400.081195,16,1.424833
-401.131371,30,1.429071
-405.295875,34,1.43222
-402.405542,19,1.433998
-401.062679,10,1.435038
-401.49154,13,1.436292
-401.109361,12,1.437459
-402.099943,22,1.439517
-400.976497,9,1.440479
-402.234731,14,1.441821
-404.647155,20,1.443684
-401.420512,24,1.445943
-401.288427,8,1.446813
-400.891604,32,1.449733
-398.890713,31,1.45261
-401.763139,16,1.454124
-401.362139,12,1.455399
-400.51433,34,1.458499
-403.436793,14,1.459837
-400.671432,17,1.461433
-402.365941,12,1.4627
-400.196198,25,1.465085
-401.502796,8,1.465896
-402.412644,15,1.467402
-401.850182,9,1.46836
-401.910494,14,1.469706
-401.448963,8,1.470516
-400.721526,8,1.471327
-401.822714,9,1.472277
-401.626298,10,1.473258
-400.972316,19,1.47503
-402.095193,9,1.475935
-400.91458,9,1.476893
-400.343349,18,1.478645
-400.193672,16,1.480162
-401.772117,10,1.481148
-401.571064,10,1.482192
-401.517013,9,1.483099
-401.342395,11,1.484185
-404.104108,19,1.485971
-402.329925,14,1.4874
-401.218272,11,1.488485
-402.125055,27,1.49097
-401.461682,9,1.491888
-400.847185,6,1.492558
-401.840154,10,1.493516
-401.371097,32,1.496534
-399.983211,14,1.497833
-402.618456,14,1.499236
-403.404796,31,1.502036
-402.680693,27,1.504484
-401.705607,8,1.505304
-402.066331,11,1.506488
-400.987325,10,1.507488
-400.885607,6,1.508136
-400.844119,6,1.508751
-401.364955,22,1.510818
-403.441883,23,1.512976
-403.560485,16,1.514481
-402.789309,20,1.516396
-401.729808,9,1.517366
-400.707453,13,1.518627
-401.574703,15,1.520156
-402.976897,28,1.522986
-401.150177,7,1.524853
-401.899461,10,1.525912
-402.052048,11,1.527516
-401.038751,11,1.528723
-401.384358,8,1.529615
-401.16617,16,1.53132
-402.862604,12,1.53255
-399.330179,52,1.537358
-401.502369,9,1.538352
-401.374636,8,1.53926
-401.14849,7,1.539984
-401.855214,14,1.541365
-401.293684,13,1.542712
-401.612202,13,1.544054
-400.855514,6,1.544692
-401.395482,10,1.546156
-395.940641,29,1.549132
-400.531099,18,1.550827
-401.901035,15,1.552348
-401.642678,10,1.553343
-402.5956,29,1.55611
-402.013812,11,1.557194
-400.711649,8,1.558007
-401.40845,11,1.559092
-400.102271,17,1.560762
-401.607593,10,1.5618
-400.824337,6,1.562565
-402.396752,46,1.566821
-400.533685,14,1.568334
-401.025835,13,1.569591
-399.42883,30,1.572437
-402.485856,20,1.574367
-402.505116,12,1.575654
-403.974126,21,1.577836
-401.510579,14,1.579333
-401.011429,8,1.580126
-401.644335,9,1.58131
-400.777249,11,1.582427
-402.873185,16,1.583982
-401.465584,9,1.584864
-399.29214,41,1.588703
-400.613312,17,1.590274
-405.324568,24,1.592499
-401.160928,19,1.594473
-405.565293,24,1.597109
-402.278939,12,1.59826
-401.051896,29,1.600976
-400.885607,6,1.601639
-400.760911,6,1.602321
-401.026684,9,1.603253
-401.235672,8,1.604085
-400.72467,8,1.604888
-403.454305,23,1.607365
-401.454628,13,1.608695
-401.774599,10,1.610455
-401.908753,11,1.611929
-401.315043,10,1.613083
-401.340874,33,1.616349
-401.074313,7,1.617098
-401.260944,9,1.61798
-403.774486,20,1.619982
-402.038134,9,1.620946
-401.336659,11,1.622041
-400.965352,8,1.622843
-399.965263,14,1.624346
-401.998312,25,1.62703
-403.020397,18,1.630246
-401.743641,18,1.632039
-401.233159,8,1.632916
-400.312329,23,1.635057
-403.404924,32,1.638159
-402.773136,12,1.639365
-402.443981,11,1.640536
-401.650114,10,1.641728
-399.294888,19,1.643648
-400.831005,27,1.646484
-401.634932,10,1.647703
-401.750973,29,1.650395
-401.048568,10,1.651489
-401.544396,8,1.652338
-396.380528,37,1.655929
-400.179092,29,1.658668
-401.223647,9,1.659812
-401.901071,10,1.660855
-402.557836,13,1.662193
-401.97652,17,1.663982
-405.166145,25,1.666485
-401.055675,8,1.667422
-401.443263,9,1.668365
-400.896137,7,1.669079
-401.346781,10,1.670081
-404.627504,17,1.67173
-401.262999,9,1.672743
-389.807799,51,1.677743
-402.349153,44,1.682006
-400.855514,7,1.682756
-400.833742,12,1.684061
-401.768737,13,1.685297
-402.066709,11,1.686388
-401.939182,16,1.688018
-401.45094,20,1.689952
-402.48658,29,1.692979
-401.435446,12,1.694166
-401.647437,11,1.695456
-403.018145,16,1.697117
-400.760911,6,1.697747
-393.933929,40,1.701464
-402.155254,14,1.702894
-400.076425,18,1.704745
-401.144712,7,1.705463
-401.123732,16,1.707248
-402.472206,24,1.709537
-400.475866,24,1.712032
-401.897861,30,1.714844
-401.968335,20,1.71682
-400.973971,15,1.718261
-402.038134,10,1.719356
-402.180451,11,1.720489
-401.289694,19,1.722314
-399.798878,19,1.724389
-400.310465,17,1.726226
-402.053539,10,1.727466
-402.011697,12,1.728904
-400.937653,9,1.729845
-401.38914,8,1.731637
-400.258613,20,1.733599
-400.95646,7,1.734338
-401.176067,8,1.735207
-400.985826,8,1.736105
-404.031665,21,1.738095
-403.159437,13,1.739492
-410.119342,29,1.742202
-391.068573,51,1.747116
-403.687206,34,1.750425
-402.590703,15,1.751929
-401.704969,8,1.752755
-402.495051,41,1.756637
-400.589191,16,1.758253
-400.937971,16,1.759868
-401.414617,8,1.760908
-402.463386,17,1.762598
-402.092253,10,1.763675
-401.325503,9,1.764594
-401.487606,14,1.766163
-401.102327,14,1.76764
-403.272236,16,1.769196
-401.088033,7,1.769948
-400.872437,7,1.770694
-401.297603,26,1.773162
-401.915478,29,1.775917
-400.787621,13,1.777184
-400.847185,7,1.777938
-401.436839,16,1.779793
-401.544396,8,1.780619
-400.845301,17,1.782398
-404.734035,22,1.784564
-401.153258,17,1.786202
-400.877174,6,1.786865
-402.229677,10,1.78797
-401.688018,33,1.79101
-402.157306,18,1.792744
-403.235224,26,1.79536
-401.017006,33,1.798366
-401.551764,10,1.79943
-401.793471,25,1.801849
-401.869313,14,1.80322
-404.323829,15,1.804779
-400.885607,6,1.805409
-403.647356,76,1.812384
-402.27864,13,1.81363
