#{"t_start": 1693926470.2559824, "env_id": null}
r,l,t
-410.046283,277,2.005485
-409.712397,64,2.124419
-422.45902,302,2.735447
-416.008083,480,3.708616
-409.978927,563,4.862176
-411.640875,71,5.007884
-52.504885,800,20.329825
-22.346207,800,21.880965
-28.533068,800,37.277943
4.084962,800,39.121852
6.520509,800,53.441772
-13.117569,800,69.608916
2.084769,800,71.319526
51.607286,800,72.947062
28.022692,800,89.336997
55.842415,800,90.893858
64.666318,800,119.692913
63.05804,800,121.376685
75.51474,800,122.995517
116.81606,800,138.885961
163.247519,800,140.402355
117.948556,800,155.633862
181.042929,800,168.042959
217.366726,800,169.686657
258.49625,800,184.991986
226.948489,800,186.495139
265.75959,800,201.542692
259.248756,800,202.943768
269.917999,800,213.535165
305.643,800,228.967993
293.291671,800,230.387584
359.148975,800,245.235864
336.623773,800,246.750118
385.693892,800,248.218836
386.72399,800,262.817788
364.035964,800,276.12144
402.744929,800,277.582502
430.297138,800,292.419353
381.332258,800,293.882849
361.639944,800,308.694351
422.035162,800,310.227605
361.191405,800,322.814423
357.512441,800,338.059666
393.879915,800,339.572539
398.733876,800,354.517295
442.999709,800,356.000754
414.676392,800,357.502699
416.817809,800,382.260152
435.231592,800,383.762776
388.202077,800,398.49992
387.665401,800,399.999929
424.09126,800,401.479779
423.318342,800,416.157217
452.462852,800,427.149207
442.518124,800,428.626018
462.541467,800,443.213865
459.851682,800,444.69961
428.758074,800,459.191922
462.419606,800,460.577225
457.371186,800,461.933804
449.256431,800,485.350076
444.311685,800,486.797264
490.953157,800,501.662356
489.31531,800,503.089789
462.733391,800,504.491033
479.672465,800,519.364947
497.809352,800,529.492822
486.369713,800,544.440742
475.580859,800,546.03581
470.495226,800,547.559758
495.680525,800,562.519937
500.887467,800,563.998099
495.517915,800,587.322563
519.497798,800,588.801156
550.538742,800,590.299063
483.874392,800,604.886912
465.04511,800,606.311366
458.245152,800,607.754152
472.922326,800,630.257937
507.057983,800,631.702561
544.099248,800,646.883224
541.227849,800,648.414544
562.986693,800,650.125494
571.923092,800,665.017385
557.884354,800,666.460313
539.23071,800,690.231144
575.590294,800,691.712543
583.233572,800,693.154054
546.087622,800,707.80458
619.420632,800,709.350663
600.788193,800,724.362241
692.16492,800,745.162143
690.289299,800,746.781415
641.264993,800,763.670605
682.396268,800,765.338709
692.313467,800,782.364023
589.274575,800,783.910301
623.195518,800,801.932078
657.152785,800,817.35073
726.413926,800,819.012579
644.479735,800,820.613882
719.583564,800,836.633974
-348.926748,134,836.83504
684.579193,800,838.523859
698.870419,800,872.663065
651.08541,800,874.284931
719.267996,800,875.989869
692.262027,800,890.851746
711.035497,800,892.73314
713.195347,800,907.645838
712.67947,800,927.736132
703.499422,800,929.292766
699.557548,800,943.953046
722.134701,800,945.494967
726.985445,800,960.458302
725.219434,800,962.128708
732.052295,800,963.952626
615.799168,800,998.897006
721.522517,800,1000.479897
669.468162,800,1015.894004
704.339653,800,1017.498225
696.739423,800,1019.182391
703.194749,800,1034.163098
684.286972,800,1051.415325
661.06798,800,1067.621003
705.520658,800,1069.369255
713.521103,800,1071.165119
690.361438,800,1086.324137
657.241529,800,1088.021397
700.477358,800,1106.553767
644.788989,800,1124.340585
208.920786,780,1126.094292
676.711638,800,1142.072534
51.476295,543,1143.121401
-293.815331,264,1143.564144
-219.772476,284,1144.0316
645.270138,800,1158.961291
698.747109,800,1176.408012
-123.138646,409,1177.236501
704.989299,800,1192.843767
612.667469,800,1194.418114
724.723992,800,1196.242617
716.422186,800,1211.603343
630.058731,800,1213.310678
709.703574,800,1233.552243
689.46537,800,1248.494864
724.642976,800,1250.134444
691.784617,800,1264.95459
685.197238,800,1266.646491
695.941141,800,1268.318005
694.025322,800,1297.693246
703.868222,800,1299.427397
-361.943701,112,1299.616546
-243.227186,231,1300.02981
688.94333,800,1316.171543
721.463692,800,1317.868787
-226.536493,320,1318.376158
643.110939,800,1333.330497
678.081245,800,1350.394123
703.461744,800,1365.498741
708.720422,800,1367.292484
723.509674,800,1369.093965
694.424021,800,1385.274369
720.556139,800,1387.06568
720.655422,800,1388.967713
703.775817,800,1425.329504
723.364579,800,1427.380262
689.457213,800,1445.949969
724.109511,800,1447.846336
658.830984,800,1449.59465
696.536683,800,1467.594079
731.110752,800,1486.255574
736.232326,800,1501.443586
737.405976,800,1503.159735
-360.031709,123,1503.360299
723.384165,800,1505.087811
-370.971268,92,1505.224571
686.120765,800,1520.634851
622.030016,800,1522.295441
723.833235,800,1555.488837
665.81748,800,1557.175989
664.020906,800,1558.900089
707.003408,800,1574.198223
633.348055,800,1575.934095
727.85599,800,1591.892076
698.852059,800,1610.000764
675.589823,800,1611.61123
654.055109,800,1627.400532
662.60017,800,1629.027101
218.019098,781,1644.439985
719.727161,800,1646.050562
-288.699622,241,1646.450861
622.010023,800,1658.144308
633.703171,800,1673.560874
-310.169461,191,1673.856183
-88.185436,398,1674.660731
-343.938094,133,1674.872421
731.431302,800,1689.962869
709.778165,800,1691.769239
690.054321,800,1693.479592
728.336439,800,1708.705487
677.330279,800,1722.963272
-360.064689,116,1723.133489
