r,l,t
-402.396699,19,0.019502
-405.239224,47,0.094767
-404.113168,39,0.217178
-411.053073,71,0.353176
-357.518697,324,0.774642
-400.050986,238,1.55851
160.373647,800,2.715623
144.136272,800,4.86787
140.401084,800,6.979193
303.175918,800,9.107884
-291.078371,297,10.674939
284.539452,800,19.430124
273.131874,800,21.893724
310.666202,800,23.981606
229.838751,800,26.092309
40.380946,800,28.165718
-2.353907,800,30.317766
341.383754,800,32.484645
336.373953,800,42.111845
374.906337,800,44.245709
380.26108,800,46.383708
353.612248,800,48.559453
399.982574,800,50.640137
385.612288,800,52.732571
371.713139,800,59.110861
-295.870259,265,60.979768
-317.46562,217,61.741687
-316.542002,216,62.289186
388.846975,800,63.599813
-322.636609,221,65.19032
340.891492,800,66.355052
360.43663,800,68.691232
-203.98327,490,70.554456
426.812444,800,77.126246
399.153712,800,79.24451
-236.340165,415,80.997497
419.608928,800,82.473675
421.613211,800,85.162353
363.563129,800,87.468777
401.260852,800,89.563162
423.82106,800,101.036159
397.488811,800,103.45809
455.028418,800,105.68051
395.589287,800,107.943571
437.57172,800,110.174109
389.803668,800,112.579804
384.660477,800,123.13787
406.741682,800,125.548135
405.313721,800,128.078869
422.974464,800,131.042933
410.997797,800,133.963192
424.792357,800,136.353226
424.669797,800,138.604588
436.808103,800,149.026847
446.654,800,151.274996
451.457659,800,153.54005
480.37424,800,155.801366
477.562709,800,158.089683
478.036999,800,160.328231
484.688403,800,170.306591
502.610482,800,172.455301
522.57345,800,174.616735
523.442482,800,176.784071
526.828733,800,178.950372
531.992854,800,181.116219
539.411038,800,190.525784
531.664764,800,192.731363
525.611701,800,194.91262
525.729575,800,197.06708
522.102289,800,199.153856
541.610066,800,201.343833
564.586933,800,210.615903
535.833608,800,212.803053
573.908744,800,214.986995
541.379055,800,217.204816
583.021401,800,219.406235
584.765102,800,221.613286
613.228734,800,223.80811
682.973863,800,233.857343
678.907965,800,236.037798
663.371064,800,238.284662
704.082835,800,240.505237
713.445254,800,242.64062
715.90147,800,244.761132
718.779309,800,255.328912
702.595345,800,257.551455
732.614123,800,259.755576
698.659203,800,262.021318
696.778433,800,264.380554
716.731245,800,266.774302
674.471549,800,277.657067
703.685271,800,279.914281
716.116818,800,282.353132
705.648018,800,284.609677
716.724718,800,286.842452
711.842241,800,289.463556
705.179557,800,299.608333
719.191356,800,301.869649
684.179301,800,304.181316
710.503633,800,306.329802
678.818594,800,308.605476
653.398361,800,311.03708
678.091306,800,313.331554
690.147296,800,324.198881
728.112584,800,326.692471
662.369201,800,329.248012
719.557767,800,331.78334
122.944606,633,333.941775
-35.726122,452,335.538685
696.813456,800,337.207593
12.536714,491,346.393304
688.250109,800,348.140655
666.9075,800,350.401436
708.326815,800,352.662078
66.37573,534,354.731658
695.470104,800,356.521209
711.479042,800,359.10379
714.945836,800,369.706614
721.291849,800,372.037628
709.581919,800,374.342178
700.097121,800,376.597968
724.432762,800,378.858782
721.205569,800,381.12571
697.589151,800,390.712559
706.400089,800,392.998345
687.964353,800,395.178964
675.523568,800,397.402477
724.732678,800,399.664881
694.400888,800,401.95409
696.630335,800,413.339976
703.606636,800,415.711363
705.713525,800,418.04495
734.037114,800,420.35372
678.866796,800,422.673578
694.245075,800,424.936002
693.555402,800,435.33976
691.70403,800,437.647003
669.599177,800,439.962975
717.61816,800,442.571896
700.63374,800,445.036748
48.259321,552,447.234134
674.652793,800,448.980386
687.538494,800,458.365707
687.567656,800,460.597035
674.412515,800,462.685101
704.412359,800,464.803747
707.990892,800,466.95255
695.848257,800,469.065842
667.679561,800,478.227418
682.388755,800,480.352548
689.680393,800,482.514594
705.391764,800,484.615214
673.7599,800,486.746386
699.372911,800,488.909018
724.681855,800,492.011625
699.495525,800,494.199581
713.033282,800,496.304302
705.050872,800,498.426622
696.396208,800,500.520613
718.260658,800,502.625409
693.272374,800,504.736413
670.185615,800,513.740608
680.88261,800,515.838708
699.364623,800,517.957613
697.155644,800,520.061981
730.001435,800,522.252087
682.78526,800,524.481388
705.200138,800,532.460333
668.519807,800,534.692215
679.436574,800,536.827128
653.04152,800,538.97843
690.305248,800,541.163223
705.572368,800,543.379082
690.359025,800,552.695306
623.810025,800,555.313738
669.292357,800,557.718305
660.043293,800,559.926075
698.640943,800,562.338516
713.584221,800,565.217104
705.135261,800,575.014582
707.099424,800,577.279914
667.730958,800,579.477005
714.932391,800,582.333494
705.864875,800,584.83998
720.842042,800,587.073865
687.140592,800,589.295826
712.519095,800,599.646404
701.700829,800,601.867087
678.210928,800,604.32112
730.648351,800,606.704782
715.319516,800,608.899091
154.002315,632,611.071605
680.592823,800,620.511367
-217.946685,288,622.318146
-308.540656,164,623.0202
620.603708,800,624.265448
676.865729,800,626.688708
705.276098,800,628.825487
714.502749,800,631.037037
699.987099,800,633.313654
666.885003,800,642.938527
