r,l,t
-402.396699,19,0.022172
-403.680452,39,0.103533
-407.998787,77,0.235299
-400.323196,124,0.45582
-1.674426,800,1.439661
-408.578941,315,2.892499
-400.274415,207,3.68411
-391.440947,750,4.622396
122.443384,800,6.469559
-406.248189,43,7.684463
-405.201497,103,7.838201
-409.176911,152,8.126803
-398.446474,230,8.569555
-9.559687,800,9.675121
193.305971,800,18.940949
237.986764,800,20.967958
-305.857744,307,22.476359
-313.970503,286,23.224078
391.817481,800,24.409984
412.586785,800,26.43761
380.340781,800,28.461312
369.245219,800,30.50088
373.991739,800,41.775074
-258.721799,400,43.501571
-163.727588,616,44.917484
-351.146641,195,46.081274
-200.795936,471,46.875319
381.383966,800,48.514002
-289.797604,305,50.131351
-259.953793,364,50.953314
390.399496,800,52.388408
353.239176,800,63.156195
385.043173,800,65.288704
387.190078,800,67.583824
402.995881,800,69.765425
387.27086,800,72.984179
461.182161,800,74.960269
398.648217,800,85.131369
398.497564,800,87.540783
397.353833,800,89.590036
380.418111,800,91.999461
392.794862,800,94.403252
444.021328,800,96.437638
409.581337,800,106.816959
459.319269,800,108.888495
445.295539,800,110.915649
516.793646,800,112.902033
442.57631,800,114.928497
514.017255,800,116.915507
473.001612,800,118.950964
536.327382,800,128.140498
548.283937,800,130.10463
533.107105,800,132.075081
556.435229,800,134.056161
562.241901,800,136.036228
523.573064,800,138.052298
552.678903,800,149.282479
568.492816,800,151.366829
575.809808,800,153.479875
628.295276,800,155.727513
629.690577,800,158.460992
584.110701,800,160.87248
656.384459,800,171.369291
691.539842,800,173.666429
689.977721,800,176.29653
723.375651,800,178.666307
712.211694,800,181.071025
710.67736,800,183.456674
699.566091,800,194.139059
701.782904,800,196.27698
708.472256,800,198.355668
726.151016,800,200.469757
695.184416,800,202.59349
718.454741,800,204.666607
717.911447,800,206.741456
672.560811,800,217.874674
659.76417,800,219.893654
723.505706,800,221.93745
718.716222,800,224.012781
721.541134,800,226.084488
719.114818,800,228.185744
707.508148,800,239.599863
689.861934,800,241.889005
680.631478,800,244.27055
702.698086,800,246.407141
698.60346,800,248.641376
679.691595,800,250.855475
700.25941,800,262.388568
707.514687,800,264.575363
699.290076,800,266.652126
713.544502,800,268.848896
709.270364,800,270.958269
705.324508,800,273.19627
643.479624,800,283.554325
671.218897,800,285.750303
655.828149,800,287.847298
664.473458,800,289.924956
-262.316897,242,291.400277
681.375577,800,292.654387
692.091677,800,294.654729
694.331641,800,304.691222
659.735393,800,306.659997
680.012984,800,308.65142
667.284431,800,310.743727
634.384458,800,312.836063
672.784615,800,314.941435
662.199722,800,316.972423
662.071417,800,328.714463
695.228852,800,330.827109
685.495612,800,332.911261
679.640183,800,334.976451
677.910402,800,337.033513
688.198553,800,339.222213
642.67761,800,350.855035
699.670785,800,352.972671
711.293783,800,355.079711
715.969513,800,357.203306
675.471829,800,359.418481
692.097085,800,361.644191
656.487098,800,372.381544
706.628107,800,374.513601
674.688809,800,377.460342
683.665032,800,382.001944
715.208337,800,384.851169
702.719789,800,387.259646
685.746119,800,398.582455
661.975831,800,401.545463
658.817384,800,404.563557
675.900292,800,407.328559
715.360754,800,410.114205
648.62812,800,412.756274
660.508265,800,414.818724
645.176686,800,426.787016
684.105933,800,428.893296
650.759797,800,431.017633
669.983791,800,433.10781
666.129744,800,435.188514
643.5838,800,437.295548
664.763104,800,447.346236
676.758605,800,449.447387
639.616283,800,451.425587
651.562055,800,453.468202
678.891565,800,455.496097
647.519358,800,457.595397
663.552774,800,468.505913
702.332918,800,470.495542
719.084034,800,472.481377
676.954921,800,474.501064
671.168469,800,476.507692
668.605098,800,478.62291
681.002343,800,489.169973
655.159127,800,491.301853
687.113618,800,493.425337
674.2065,800,495.51436
633.241477,800,497.966339
681.255322,800,500.106362
718.016106,800,502.355893
670.683384,800,513.443374
673.001889,800,515.633709
655.430966,800,517.859632
656.97462,800,520.317461
714.641627,800,522.534966
682.254229,800,524.696472
675.794656,800,535.244135
693.925422,800,537.451497
684.163226,800,539.517228
669.008213,800,541.679762
650.272553,800,543.87864
696.589625,800,546.403895
-103.366439,404,548.153513
698.627005,800,558.534704
673.447977,800,560.682494
702.30313,800,562.667491
701.793864,800,564.691825
685.610075,800,566.839555
-401.935717,35,568.094235
703.728993,800,569.022691
685.876481,800,580.756988
138.564003,662,582.665995
703.205813,800,584.570418
687.237338,800,586.701933
670.706282,800,588.843644
669.490562,800,591.023198
713.8503,800,603.099612
694.106157,800,605.329403
684.28809,800,607.502731
686.686076,800,609.755158
706.999928,800,611.919065
705.048789,800,614.158618
688.4412,800,616.276408
680.020412,800,625.917523
704.629954,800,628.224252
708.189321,800,630.32898
694.873704,800,632.480775
672.236486,800,634.548964
693.096194,800,636.642663
689.618083,800,646.771614
700.402365,800,649.195186
698.72219,800,651.681595
662.209407,800,654.02097
672.017379,800,656.276047
694.797001,800,658.509569
713.237043,800,672.712655
