#{"t_start": 1622554881.034704, "env_id": null}
r,l,t
-403.094529,13,0.007625
-401.75442,76,0.056902
-2.07698,800,0.470969
-62.463329,800,2.307388
-391.607832,112,4.150428
223.41836,800,4.834701
375.49025,574,6.572474
52.654433,124,7.635463
-363.514397,143,7.899617
42.679124,116,8.197521
47.259805,150,8.452625
48.584128,171,8.866103
44.840042,163,9.22257
61.723201,150,9.562677
75.066152,161,9.927431
63.873918,153,10.406242
97.760232,193,10.750707
69.228707,139,11.141843
101.619331,158,11.439833
121.688123,178,11.828014
75.07761,139,12.271398
86.802945,206,12.697123
43.764852,157,13.106704
48.921368,127,13.419999
66.695841,153,13.712144
69.490819,160,14.196742
71.499515,151,14.518268
63.912564,133,14.967865
54.560862,125,15.358816
90.381042,185,15.654065
64.251497,149,16.032828
95.437408,174,16.349099
40.713806,139,16.693219
60.375723,189,17.001212
113.636577,201,17.396465
77.105016,171,17.797839
109.958916,185,18.157062
63.684094,130,18.520973
82.242074,147,18.797438
90.995203,153,19.104168
82.319562,154,19.423879
71.882967,129,19.739484
123.813636,173,20.021033
59.960339,122,20.355934
72.889157,125,20.603157
48.493051,89,20.845738
60.111303,108,21.030024
56.699598,116,21.24687
50.074064,99,21.475357
84.663126,126,21.682164
107.560206,164,21.948772
60.33791,107,22.266562
79.796881,124,22.492199
100.946704,164,22.758932
96.513514,143,23.088338
130.183706,144,23.382175
99.148037,138,23.676399
61.667945,113,23.954892
58.907832,121,24.189816
53.410602,99,24.431953
97.117733,130,24.645981
82.434956,122,24.919494
89.867031,130,25.178724
53.770321,108,25.438439
66.640674,104,25.659396
68.169192,120,25.877916
59.757753,100,26.121272
102.970698,128,26.345062
95.963123,131,26.61063
67.071826,103,26.87585
122.711555,146,27.104498
85.241922,127,27.407473
29.874514,69,27.655918
89.221172,121,27.817557
140.046157,166,28.080636
170.74792,161,28.42573
147.466928,174,28.764292
38.623523,87,29.096411
215.508384,190,29.308089
348.088766,251,29.722073
23.640426,67,30.179506
211.612592,198,30.359669
82.528922,128,30.74432
-315.724146,107,31.002842
192.753952,201,31.254987
54.661929,89,31.635431
55.791345,98,31.821688
53.991194,99,32.025542
50.900754,87,32.225028
50.855,94,32.411055
84.081851,122,32.61332
411.445971,288,34.873769
90.152683,123,35.417975
80.608767,125,35.670847
66.077994,102,35.922805
1114.460911,730,36.337212
826.414486,511,37.766562
1434.600143,800,38.911706
1431.633403,800,40.561111
1411.015256,800,42.208865
1362.904294,800,43.854983
764.566455,710,45.51236
1396.766108,800,47.021645
1438.216785,800,48.644697
1404.064695,800,50.274093
347.672508,277,51.708736
1442.977965,800,52.428057
1416.260149,800,54.028726
1391.992805,800,55.626667
1374.385763,800,57.222638
890.297898,515,58.793849
1342.571709,752,59.920776
1408.921776,800,61.498466
1411.044895,800,63.105322
1382.80222,800,66.498002
1456.152656,800,68.090648
1420.877092,800,69.679371
467.878399,497,71.223161
800.172297,469,72.200119
1434.125731,800,73.236273
68.515549,89,74.653801
1408.447518,800,75.058161
880.201761,707,76.648518
811.793614,475,77.998364
625.175646,392,78.926543
1435.112918,800,79.841831
1421.689553,800,81.484296
1451.183684,800,83.282756
994.062037,583,84.883272
52.994569,306,86.176819
1415.320653,800,87.226651
209.372676,380,88.729957
225.938643,178,89.474908
1413.857392,800,90.14739
64.246711,100,91.857243
1412.076992,800,92.296847
1092.8238,641,93.983809
32.866881,75,95.169447
17.780458,287,95.391196
1428.66218,800,96.139968
873.503498,540,97.726462
1446.94103,800,101.533694
198.031996,166,102.953993
1226.309004,732,103.490063
