#{"t_start": 1622616361.347668, "env_id": null}
r,l,t
-25.901832,800,0.319095
-398.536189,85,3.221834
259.559653,800,3.844975
284.116856,428,6.879754
298.615642,576,8.645669
383.766466,800,11.031118
67.778364,261,14.251863
90.88938,192,15.439595
65.926874,166,16.286
52.567793,253,16.982933
86.138339,501,18.292383
91.197458,713,20.638351
71.586223,270,23.597147
137.192624,403,24.730814
59.986601,188,26.3098
96.795619,222,27.076908
127.029189,253,27.980633
138.552032,224,28.981088
84.031048,164,29.853416
81.821406,196,30.522626
117.336086,204,31.311366
169.611475,253,32.149
86.593055,189,33.135756
113.827431,159,34.010393
132.983749,163,34.748514
39.002847,107,35.453767
112.79626,159,35.906638
32.907523,92,36.680857
43.138108,97,37.167562
99.05546,144,37.620538
134.387899,158,38.448175
127.76087,158,39.381024
57.88458,113,40.256462
124.968045,179,40.918477
162.222668,178,41.926527
-342.35278,98,42.883285
105.022716,143,43.466336
72.539246,109,44.246434
142.182657,152,44.8942
127.174085,129,45.559001
66.749143,106,46.063364
38.122827,89,46.479371
121.602888,138,46.853322
62.209183,107,47.388362
48.979478,91,47.809883
95.295565,125,48.187639
150.597779,187,48.712542
52.055805,105,49.447548
-179.032659,217,49.988152
121.505308,146,50.870536
-323.923009,103,51.455233
101.733013,116,51.880684
32.290068,74,52.335998
36.128899,86,52.639095
119.847434,145,53.010323
229.139513,203,53.620377
-307.417651,108,54.431952
87.315338,111,54.937326
-92.445928,237,55.499821
-261.939062,141,56.45037
-311.617479,103,57.025152
-16.592799,292,57.606494
199.046527,174,59.195229
-352.039604,85,59.86386
-276.209955,142,60.230579
136.823252,152,60.812129
58.07319,97,61.406363
-352.897835,83,61.790249
134.653191,155,62.154533
169.135624,163,62.779552
-326.181947,102,63.409651
268.735376,242,63.873259
-233.725571,157,65.344945
137.83598,163,65.972617
-160.761326,193,66.629576
256.341025,220,67.403424
-44.419742,242,68.287934
136.05203,133,69.204646
-128.220757,215,69.763572
1393.812213,800,70.849774
514.950479,348,73.85559
1437.397147,800,75.416143
1379.827053,800,78.643033
1409.463121,800,82.19045
1370.320498,800,86.01606
1434.31625,800,89.49334
26.681484,68,92.448784
493.728205,321,92.820048
611.402125,599,94.213578
1440.417511,800,96.691223
37.266702,85,99.609792
1432.045896,800,100.233995
1392.880726,800,103.908054
1468.542263,800,107.969174
16.519756,55,111.322155
1377.092608,800,111.914668
981.555447,571,115.516823
186.658134,175,118.039392
569.354763,375,119.127552
1479.209762,800,121.249604
1428.405606,800,124.537884
901.613519,538,127.65043
407.141969,278,132.766197
1456.375504,800,134.110239
1468.291065,800,137.364156
90.399039,103,140.304974
1431.658178,800,141.001659
1417.320546,800,144.227439
1467.24426,800,147.461709
450.653189,305,150.49552
1454.856901,800,151.924859
450.720085,307,154.975097
411.367729,288,156.271518
1438.306069,800,157.637677
1432.892926,800,160.958257
1455.778298,800,164.189658
112.537007,121,167.147498
1161.803331,668,167.860016
824.602276,488,170.492835
1457.759211,800,172.640365
1337.285826,740,175.914671
1467.164324,800,178.949406
143.773292,350,182.009725
224.27736,177,183.363533
1417.78217,800,184.332737
25.634322,71,187.318661
1434.594717,800,187.898613
1431.300466,800,191.208207
34.351264,74,194.158229
31.895161,73,197.198911
304.84973,220,197.555469
1374.43442,800,198.680601
1348.427778,800,201.923764
1287.046106,735,205.137573
1466.401448,800,208.104118
1382.089332,800,211.301424
1443.400156,800,214.62816
37.332279,75,217.787016
-222.815964,143,218.118446
599.025771,387,218.792576
1357.661682,800,220.519415
1447.630684,800,223.806995
1419.070697,800,227.79282
1430.150937,800,231.124126
1341.099866,800,234.553136
1454.105992,800,237.82763
846.506163,508,241.057548
84.302506,107,242.935878
1190.763683,689,243.598773
192.677583,158,246.173909
1385.239024,800,247.056212
1412.989712,800,250.279414
784.445011,737,253.475323
1402.058822,800,256.479087
971.311209,564,262.290483
1462.416891,800,264.648461
1367.643827,800,267.854671
1422.191557,800,271.07258
765.95802,489,274.155051
1372.743509,800,276.247635
1375.966651,800,279.4656
819.572833,482,282.551074
1340.926192,800,284.610326
164.180858,143,287.56765
1370.511631,800,288.413608
1352.532725,800,291.632764
-159.945777,207,294.606004
1390.718384,800,295.69227
595.256091,589,298.829043
1396.003276,800,301.275811
1381.722965,800,304.487971
1420.16561,800,307.698524
-344.294,92,310.734334
1412.701445,800,311.397933
787.69833,662,314.61433
1402.627209,800,317.319323
1409.16021,800,322.279286
899.861726,534,325.365494
1455.111038,800,327.631595
1440.279903,800,330.846694
1409.997108,800,334.0529
806.975512,463,337.207255
617.798459,424,339.088372
1390.544069,800,340.939843
1381.245346,800,344.184234
217.62245,193,347.159772
1124.158299,675,348.119543
1434.430368,800,350.928694
40.373723,76,353.949683
1339.347863,800,354.535871
99.090509,116,357.517434
445.459046,505,358.129498
1396.60666,800,360.33602
507.342845,316,363.443523
1457.922615,800,364.938457
991.421944,599,368.175781
1352.54444,800,371.081522
861.291996,528,375.261794
1444.064023,800,378.258087
1428.75893,800,382.116548
994.346957,590,385.348151
1352.703538,800,391.170424
229.993428,180,394.267471
1424.201,800,395.268589
322.068817,453,398.620092
1355.41017,800,400.562225
1414.42878,800,403.755227
102.166642,113,406.678213
1377.536164,800,407.399035
1405.283182,800,410.597198
1417.54788,800,413.891898
180.446583,150,416.88471
1389.235862,800,417.80237
1085.43706,678,421.146343
1383.098986,800,424.093569
457.663962,298,427.053003
44.137857,93,428.146345
733.101153,446,428.6505
286.367582,209,430.323749
51.595943,84,431.110147
1199.556439,720,431.697194
