#{"t_start": 1626110355.709764, "env_id": null}
r,l,t
-402.360922,22,0.01082
-404.260265,236,0.132189
-21.323079,800,0.965539
-409.308475,70,3.094651
-418.215485,499,3.416938
-401.885963,20,4.742398
13.670762,800,5.012079
-345.588397,214,7.194544
-303.745677,274,7.831244
289.402352,800,8.765988
-164.642749,565,11.010527
-345.464422,498,12.628119
-338.781528,313,14.442254
384.761251,800,15.482559
366.284786,800,17.804869
298.620697,800,20.12148
-309.173458,281,22.30228
-251.984107,430,23.160511
-150.758601,605,24.458277
360.751647,800,26.270472
317.077763,800,30.345796
331.021175,800,32.676097
-60.262498,737,34.990953
401.809017,800,37.153524
-296.560162,269,39.334839
448.881595,800,40.254642
18.427041,790,42.5839
-253.858277,326,44.750357
-160.780145,423,47.113825
514.450166,800,48.442092
512.699498,800,50.766394
529.30553,800,53.104223
565.686354,800,55.430676
560.274395,800,57.752649
612.002534,800,61.55774
585.99217,800,63.89011
-172.215732,366,66.100274
696.612746,800,67.281911
659.280636,800,69.614141
694.539012,800,71.939647
699.83857,800,74.271882
634.932168,800,78.321266
672.018188,800,80.647324
-256.698729,235,82.823202
699.239622,800,83.659386
92.366099,579,85.924064
681.955692,800,87.664792
714.486428,800,89.985047
687.499069,800,94.02801
702.317185,800,96.353647
677.014559,800,98.674277
695.803192,800,100.997561
693.731974,800,103.323796
682.341846,800,105.653845
734.558917,800,107.989799
684.930102,800,112.041378
705.862199,800,114.385672
-37.779581,431,116.621285
715.846888,800,117.981913
691.844689,800,120.3171
686.527047,800,122.660709
-401.057313,34,124.790337
-368.045808,106,124.910356
703.573154,800,127.126137
648.368683,800,129.457593
710.988862,800,131.794038
69.114924,559,134.063271
696.534966,800,135.759121
722.988413,800,138.09745
698.342545,800,140.432657
712.926338,800,144.658828
697.102702,800,146.996085
705.319128,800,149.331747
699.823061,800,151.678195
675.110893,800,154.023394
727.794238,800,156.370788
696.262003,800,160.438496
680.266592,800,162.787073
707.021454,800,165.137827
669.263067,800,167.491302
694.494664,800,169.84939
-169.946971,324,172.085868
711.788981,800,173.171619
707.59,800,177.261372
686.611363,800,179.640535
693.042304,800,182.02469
690.662448,800,184.408907
698.463306,800,186.798254
686.108862,800,189.188768
691.310052,800,193.306267
689.575235,800,195.705737
683.722907,800,198.110116
672.821937,800,200.526805
716.339214,800,202.938823
709.845253,800,205.355336
694.606495,800,209.657003
673.806556,800,212.072918
677.15488,800,214.494181
693.008132,800,216.922107
708.447855,800,219.349418
701.737075,800,221.784473
668.019187,800,225.947762
624.778951,800,228.381366
682.14945,800,230.813576
704.814893,800,233.258243
693.637857,800,235.694012
690.438824,800,238.136566
692.819703,800,240.573268
-324.498454,153,242.835899
279.305207,798,245.216728
671.888793,800,247.652548
659.95173,800,250.092002
655.517412,800,252.531993
669.511274,800,254.976698
675.385455,800,257.419347
675.376069,800,261.597193
697.35701,800,264.042574
645.837974,800,266.482542
699.241722,800,268.921809
697.36929,800,271.365333
679.826183,800,273.810266
715.791916,800,277.99472
688.059264,800,280.439125
674.529131,800,282.883292
680.679866,800,285.325968
673.170459,800,287.765903
-400.795086,39,290.003175
712.700227,800,290.335883
665.136617,800,294.6688
694.5369,800,297.112984
712.046737,800,299.564987
697.582416,800,302.010913
638.568246,800,304.456456
725.246272,800,306.898607
246.446799,758,309.329176
123.249269,631,313.347194
693.420157,800,315.325265
677.664312,800,317.776067
664.538639,800,320.229409
671.817208,800,322.675779
684.993712,800,325.124439
698.724325,800,329.316019
66.166327,575,331.701275
710.192394,800,333.520543
695.819464,800,335.965461
685.470432,800,338.41206
708.706417,800,340.860408
653.296523,800,343.309071
662.824646,800,347.472856
122.868585,621,349.879184
268.925302,773,351.827834
720.718904,800,354.205049
142.144054,621,356.606755
-401.505604,33,358.349634
-402.251189,40,358.452012
688.604607,800,358.784197
-179.711123,314,361.10319
680.020041,800,364.060148
699.996561,800,366.512681
685.627171,800,368.964144
704.232359,800,371.415021
676.126453,800,373.870341
668.101203,800,376.325579
-177.747239,288,378.645432
700.994555,800,381.505786
695.648021,800,383.966177
119.862528,634,386.379375
-130.462246,349,388.249089
662.656912,800,389.447093
709.296342,800,391.909523
706.414476,800,394.373628
705.146537,800,398.572824
675.204443,800,401.032834
-145.565273,345,403.36742
686.651476,800,404.550056
684.017482,800,407.016078
644.714685,800,409.479527
700.490447,800,411.941906
246.75111,743,416.114475
708.715433,800,418.419279
675.701892,800,420.882019
-146.880478,321,423.220908
679.862825,800,424.336782
634.661769,800,426.802102
711.542186,800,431.007364
716.056062,800,433.473345
692.676041,800,435.937036
668.544217,800,438.402995
147.575254,620,440.820668
679.909228,800,442.777696
654.029335,800,445.238405
675.173576,800,449.432441
712.396872,800,451.890436
732.113164,800,454.354132
692.372742,800,456.819851
686.469659,800,459.285776
669.883183,800,461.747742
-118.279808,361,464.098271
675.820217,800,467.059964
683.628108,800,469.531826
666.94481,800,472.000947
670.229457,800,474.465431
696.139387,800,476.932841
661.471219,800,479.394801
672.095954,800,483.594686
681.287071,800,486.061597
690.243459,800,488.526637
646.763894,800,490.982246
668.868784,800,493.445787
697.224886,800,495.913173
678.55643,800,500.101921
