#{"t_start": 1620765013.704874, "env_id": null}
r,l,t
-472.085706,628,0.100173
-417.265876,151,0.118798
-405.724151,32,0.122776
-409.143598,262,0.155921
-426.572436,371,0.201345
-409.435176,55,0.208934
-428.595069,662,0.286746
-43.419962,800,0.379833
-421.114137,147,0.398591
-409.600166,139,0.415856
-409.104246,34,0.419852
-410.495539,153,0.438813
-405.917088,35,0.44321
-433.437909,303,0.479305
-415.293526,184,0.500835
-438.080056,370,0.545857
-405.610624,112,0.559716
-407.218244,35,0.56385
-411.302846,70,0.572072
-428.243886,389,0.617594
-409.688735,157,0.637081
-409.175238,58,0.643905
-404.609381,38,0.648322
-414.850374,144,0.664662
-403.984052,27,0.667912
-405.446053,255,0.69765
-417.101281,132,0.713094
-408.133541,62,0.72151
-412.579257,144,0.741279
-420.755807,159,0.762831
-408.287962,397,0.808843
-409.220512,81,0.819199
-425.951199,184,0.840524
-426.289146,712,0.924445
-409.705019,71,0.932871
-405.890394,53,0.939127
-428.06433,609,1.010684
-407.919122,53,1.017043
-421.734198,301,1.051508
-422.933852,353,1.093463
-420.391749,224,1.120353
-421.470789,316,1.15702
-407.341707,192,1.179364
-413.245278,149,1.196604
-422.077563,256,1.241481
213.73958,800,2.130131
454.251143,800,4.217596
336.018078,572,6.23836
274.514861,536,7.6522
211.974394,391,8.930987
199.636159,323,9.879502
55.132655,193,10.642067
98.004336,209,11.135972
64.925591,161,11.64272
322.742929,544,12.185701
268.965804,448,13.522412
459.487094,800,14.780599
416.088775,648,16.713574
296.093127,800,18.416759
194.761679,800,20.506422
67.627081,800,22.514391
169.041612,421,24.401541
387.960043,800,25.602855
216.655034,478,27.565582
143.182809,705,28.855572
122.268108,495,30.54319
153.55495,800,31.946816
136.144942,360,33.8687
63.119668,265,34.984017
463.921306,800,35.893208
344.599975,800,37.970418
196.953209,622,39.948544
451.401294,800,41.64918
261.863954,559,43.605971
102.093217,347,44.958147
161.792635,498,45.95856
331.646766,513,47.24451
333.376492,648,48.602139
306.256023,800,50.364263
318.283174,800,52.375942
292.664539,800,54.483241
136.976857,800,56.584033
390.191003,800,58.624913
80.11637,230,60.636939
276.509984,605,61.455369
368.253592,800,63.227192
224.615597,715,65.39831
330.275094,800,67.321902
323.280739,697,69.603001
137.631892,800,71.529154
287.393964,585,73.557473
156.276602,800,75.135159
84.403227,800,77.203104
314.10684,557,79.277597
371.678251,690,80.769853
421.321819,800,82.646268
318.295482,762,84.73239
326.405483,615,86.828017
192.265711,800,88.438442
54.253707,800,90.452199
334.856516,800,92.486746
502.507016,800,94.631169
25.625957,800,96.724077
189.005673,800,98.826676
135.817244,436,100.777762
393.582351,800,102.07411
248.929926,800,104.197422
116.07946,363,106.108655
291.381338,800,107.224453
227.888513,565,109.207505
87.728448,281,110.557854
422.920501,800,111.454652
229.406954,800,113.457136
197.286891,378,115.318126
190.00838,800,116.438029
225.096639,800,118.542447
165.41303,415,120.418684
139.957277,800,121.610609
391.416799,800,123.669522
71.084144,236,125.496171
287.223595,521,126.22561
190.649706,485,127.566894
315.256815,800,128.958069
160.694193,800,131.022669
319.142016,749,133.036701
373.757293,680,134.922799
407.457021,800,136.683773
462.363223,800,138.767069
251.550043,401,140.735423
184.878165,491,141.840382
325.550767,800,143.280401
-9.021437,800,145.347726
97.6285,201,147.192331
309.390999,800,147.944921
198.893049,800,150.035336
272.128155,545,152.011791
114.558553,327,153.342003
275.682936,800,154.379673
99.174027,204,156.232254
57.253829,188,156.762492
238.37762,367,157.320822
54.474679,339,158.227491
43.965937,159,159.011054
65.049403,204,159.434501
295.91048,800,160.224315
63.375658,222,162.116543
-147.177356,800,162.935088
249.099342,422,164.889457
-388.4355,244,165.901655
119.889241,222,166.505783
-242.185156,533,167.180547
74.023335,154,168.43563
287.857435,457,168.959796
54.990287,166,170.019187
138.566217,362,170.52047
179.061099,240,171.401247
153.434405,262,172.032935
114.215182,260,172.707153
161.296187,467,173.45057
215.164656,350,174.606028
117.293185,216,175.447411
88.338432,193,175.999325
175.401456,454,176.602259
137.730381,266,177.673069
154.412596,259,178.339417
260.882489,575,179.112251
288.910483,376,180.470598
139.026168,572,181.494984
330.319589,466,182.932533
50.24429,242,184.042319
-397.53577,238,184.664927
148.308807,276,185.292189
105.181876,292,186.007451
195.273408,254,186.742809
151.858979,367,187.447704
329.590772,782,188.563987
134.416226,270,190.402086
262.891574,374,191.166388
157.157312,270,192.087371
240.341001,449,192.839108
123.496406,273,193.897933
93.665908,272,194.584585
35.151277,140,195.226385
101.731673,300,195.635372
64.040588,169,196.342429
269.458604,366,196.848557
75.161195,171,197.693562
