#{"t_start": 1622673475.3002758, "env_id": null}
r,l,t
-403.786161,23,0.011293
-432.354496,101,0.098293
-88.534821,800,0.581544
-381.588338,258,2.689226
545.648607,800,3.581494
132.645801,240,5.655652
72.952105,196,6.316085
170.734717,263,6.882347
212.387546,305,7.632962
113.49102,197,8.466324
80.735443,237,9.031478
135.158241,243,9.700239
139.03525,268,10.392558
109.687688,188,11.131997
106.8066,246,11.683657
86.181237,186,12.363911
160.973895,332,12.934893
152.822624,344,14.886231
144.21788,275,15.8406
94.821727,232,16.606578
170.325236,318,17.287661
158.975721,323,18.187462
100.48889,247,19.079396
88.87151,217,19.768395
215.817144,320,20.427824
78.307173,165,21.304358
76.173902,152,21.777728
215.70886,283,22.259188
75.497396,157,23.047385
50.962685,184,23.517042
67.238426,137,24.045076
135.738526,186,24.455408
122.520935,181,24.992074
73.457126,155,25.507556
36.155729,126,25.949732
133.912019,193,26.33228
60.773269,131,26.866668
56.575083,123,27.240203
121.887053,182,27.608766
65.004134,128,28.113881
74.476042,157,28.487086
58.797755,127,28.930427
141.948723,191,29.810471
51.080478,107,30.329182
151.670476,181,30.654459
69.96569,144,31.157645
71.620088,133,31.561951
60.785955,127,31.937152
-361.385664,103,32.291921
33.362397,127,32.591901
104.128066,143,32.955944
63.379258,115,33.353232
149.615866,181,33.700358
178.151002,198,34.218069
65.463396,129,34.759305
97.717201,141,35.129025
69.879485,107,35.519342
57.387684,105,35.82089
75.859741,109,36.117948
95.10924,148,36.435137
149.345957,164,36.857292
75.393102,118,37.309671
85.861113,132,37.648313
131.013216,144,38.025989
186.256623,207,38.452218
77.426082,130,39.017136
95.424071,142,39.387232
622.887303,419,39.86646
55.503282,101,40.965182
68.938106,122,41.258139
75.40245,124,41.603104
141.536518,147,41.961404
67.876066,133,42.372445
85.834447,122,42.747
143.587666,160,43.103034
65.922971,103,43.539165
321.65627,280,45.045846
176.320778,175,45.806364
179.369882,193,46.304892
78.800245,119,46.828835
190.585832,171,47.179481
119.046051,148,47.655688
