#{"t_start": 1626111927.704046, "env_id": null}
r,l,t
-401.83299,20,0.009678
-402.591627,22,0.074142
-406.07197,365,0.229369
-317.90236,504,1.308053
-401.727646,292,2.67884
42.777868,800,3.663771
-401.468893,13,5.757719
-403.539199,35,5.800783
-402.404499,29,5.901627
-402.170261,21,5.98366
-363.644902,687,6.224798
-403.61124,41,8.037805
-401.146694,63,8.162371
-405.01318,63,8.345322
-402.035652,38,8.521418
-402.695262,35,8.631882
116.946507,800,8.93607
-404.692295,76,11.051328
-426.671761,263,11.321213
-411.479786,199,12.067284
-422.08992,492,12.721276
293.838012,800,15.979454
335.456312,800,18.303057
381.234737,800,20.622923
-282.08803,363,22.824569
-338.383072,481,23.910753
-342.320783,223,25.233522
-310.28758,428,25.935728
375.637806,800,27.284033
418.563564,800,31.048211
359.704843,800,33.375702
374.059927,800,35.690505
-121.558604,597,37.95635
392.690399,800,39.743245
452.548035,800,42.061925
-177.580234,345,44.261426
-356.253047,158,45.210997
-321.935146,165,45.671582
605.033909,800,47.708926
-295.551333,199,49.866767
28.027794,636,50.558189
-299.566471,186,52.292145
-322.003777,186,52.832532
-244.514936,235,53.390987
599.082118,800,54.226223
622.765626,800,56.559398
-5.448922,578,58.829899
662.802368,800,62.32356
671.248326,800,64.651628
662.707114,800,66.979811
722.714507,800,69.305037
705.796188,800,71.630102
682.674362,800,73.961121
658.151788,800,76.294086
692.257741,800,80.36822
694.724166,800,82.700382
714.713336,800,85.026783
692.474946,800,87.361086
695.562673,800,89.691335
726.977578,800,92.023707
717.628483,800,96.105885
718.830705,800,98.438857
698.223757,800,100.766219
683.761643,800,103.089655
722.043179,800,105.42503
696.796178,800,107.765914
690.180808,800,111.857892
677.620131,800,114.19247
684.611962,800,116.529739
697.679833,800,118.866481
705.166031,800,121.205
693.337147,800,123.54391
675.749013,800,127.641024
686.427731,800,129.98597
666.568263,800,132.325516
674.314012,800,134.668254
711.596778,800,137.010675
723.188341,800,139.355546
709.684907,800,141.695667
684.081791,800,145.791441
704.372404,800,148.140661
684.477882,800,150.479872
678.588477,800,152.818614
680.029684,800,155.163639
715.551602,800,157.503016
706.691146,800,161.585876
-257.290265,206,163.778149
689.368327,800,164.540363
679.972556,800,166.899116
722.631464,800,169.269421
705.716348,800,171.635845
688.485243,800,174.006
712.428319,800,178.115574
213.531242,704,180.476377
661.361182,800,182.599708
666.602423,800,184.990667
653.001377,800,187.384105
698.649437,800,189.779177
695.458137,800,193.904058
694.401975,800,196.309332
678.061303,800,198.702105
669.423948,800,201.102998
691.982207,800,203.507148
688.218039,800,205.91751
48.3417,574,208.263863
678.594309,800,211.776999
700.572769,800,214.1918
673.829567,800,216.608561
664.142395,800,219.027585
660.837631,800,221.448751
655.02306,800,223.863179
-34.057724,461,226.194251
702.149177,800,229.398657
663.382239,800,231.818123
711.72458,800,234.239149
647.075485,800,236.659157
684.517223,800,239.074229
679.406544,800,241.495749
683.971841,800,245.648291
728.238134,800,248.073095
691.430977,800,250.500982
678.19547,800,252.921226
672.203499,800,255.346017
670.674131,800,257.77134
676.086592,800,261.924288
657.066685,800,264.352295
689.501632,800,266.778533
680.345284,800,269.20764
696.409025,800,271.636283
692.778504,800,274.06384
692.717083,800,278.228471
668.783715,800,280.656261
678.066727,800,283.085729
700.962444,800,285.511409
678.67284,800,287.940574
284.762597,780,290.369389
668.331994,800,292.738149
658.889269,800,296.88584
659.303153,800,299.313883
677.168868,800,301.743724
685.795586,800,304.176304
688.118075,800,306.605474
694.265475,800,309.037868
689.778116,800,313.199177
673.225389,800,315.633813
-401.529221,39,317.867447
717.762203,800,318.190614
672.036463,800,320.62321
671.864982,800,323.050851
677.747343,800,325.481225
663.565543,800,329.625852
688.265264,800,332.080697
645.479504,800,334.521587
680.615716,800,336.966123
707.801065,800,339.39664
695.165187,800,341.837134
658.730871,800,345.98372
687.791942,800,348.424823
631.659543,800,350.856611
658.99246,800,353.301534
702.400929,800,355.740099
689.753963,800,358.173724
713.44761,800,362.347602
701.200559,800,364.79107
702.876862,800,367.232911
695.657619,800,369.667862
648.400325,800,372.090433
112.573958,644,374.479208
656.531625,800,376.485677
659.978816,800,380.651303
655.383351,800,383.095876
665.27575,800,385.539254
136.346705,648,387.942081
684.025513,800,389.969172
23.035994,539,392.352217
129.607958,613,394.02104
681.466245,800,397.655959
653.423534,800,400.105738
665.675748,800,402.55225
694.20545,800,405.010344
294.973178,796,407.457325
681.449948,800,409.896775
654.737489,800,414.056898
654.989751,800,416.511429
671.290261,800,418.957008
700.3903,800,421.415775
663.709338,800,423.870046
680.223888,800,426.324448
-251.242443,224,428.617886
636.857885,800,431.195183
669.950009,800,433.647749
672.260007,800,436.099664
691.394532,800,438.558176
705.513203,800,441.017075
715.447257,800,443.477355
680.848636,800,447.673898
648.624624,800,450.13309
699.689497,800,452.604889
696.903373,800,455.065839
672.459906,800,457.524155
681.657679,800,459.983161
653.832124,800,462.444504
131.546879,630,466.572278
700.994541,800,468.556877
700.471073,800,471.023884
709.644669,800,473.487767
697.924713,800,475.945259
691.532154,800,478.416303
710.20283,800,482.615655
653.600856,800,485.079361
646.233679,800,487.550535
672.139655,800,490.01825
692.883782,800,492.484334
668.203133,800,494.956213
685.347156,800,499.146527
