#{"t_start": 1621257149.7856457, "env_id": null}
r,l,t
-409.170585,83,0.017694
-409.692422,279,0.063116
-411.684775,69,0.074701
-418.169679,285,0.122862
-426.971384,624,0.222201
-395.08254,271,0.258079
-404.126141,564,0.333864
-407.889004,89,0.345709
-422.194042,123,0.362278
-417.253941,518,0.432079
-426.761667,110,0.447817
-437.294675,480,0.511927
-410.258808,71,0.521528
-407.44391,40,0.526906
-409.216533,35,0.531716
-412.786538,752,0.633029
-423.19458,242,0.665435
-411.549491,78,0.675937
-404.841718,66,0.684749
-413.208364,77,0.69504
-432.172354,259,0.730704
-425.474025,155,0.751323
-405.420871,85,0.76278
-420.189911,111,0.777656
-412.065912,216,0.806396
-407.840934,154,0.827103
-409.863709,324,0.871092
-439.763772,437,0.929208
-432.285464,752,1.031162
-413.752453,73,1.04106
-412.764123,201,1.067924
-385.196881,529,1.139385
-418.313453,95,1.15206
-401.612169,205,1.179313
-448.21564,432,1.237477
-419.574717,366,1.286991
-413.623924,171,1.310061
-410.35637,211,1.338325
-415.429977,182,1.362612
-411.561641,98,1.375763
-411.367045,114,1.400274
297.986807,800,2.044196
310.152762,800,4.411486
77.72751,240,6.536041
71.546308,221,7.23942
95.675195,592,8.052592
8.649822,800,9.887909
18.122555,800,12.253229
86.739913,800,14.600709
0.791982,800,16.954594
130.153543,588,19.216882
68.054746,246,20.799668
69.467747,227,21.521407
124.096248,323,22.239189
112.120382,204,23.143925
156.576804,259,23.770638
149.967087,231,24.523557
109.94289,216,25.204418
51.900854,122,25.806259
75.511275,146,26.173046
67.997936,145,26.608077
35.998992,105,27.022638
41.671098,109,27.332072
42.740129,107,27.659709
40.595306,96,27.96962
50.488406,109,28.262246
125.256881,181,28.610522
71.028248,117,29.120733
102.119592,141,29.482458
118.672015,148,29.897104
48.115416,106,30.314444
75.336112,141,30.643357
32.108916,78,31.031515
36.349655,94,31.275327
32.477479,84,31.547796
53.991134,114,31.813516
105.772551,145,32.160516
27.918208,78,32.566226
99.741008,130,32.818416
99.09109,126,33.207922
100.521137,135,33.586247
85.890879,124,33.980485
46.552485,119,34.351352
63.556153,105,34.695779
53.743238,93,35.002908
116.132248,135,35.294264
51.145431,100,35.678171
28.898374,75,35.970736
63.067254,113,36.205922
55.849265,100,36.534916
75.808123,112,36.834666
49.486107,88,37.160012
55.989775,100,37.425369
34.264655,84,37.715492
68.457356,98,37.968132
37.606212,84,38.251309
26.972952,67,38.501102
112.432588,131,38.72387
42.606776,87,39.098336
31.079803,82,39.352488
93.85483,120,39.621497
26.17478,68,39.952659
54.301756,90,40.168535
27.263335,69,40.422875
35.073343,86,40.633057
38.979701,86,40.893663
78.837466,119,41.160986
37.737258,83,41.502887
74.422109,103,41.754892
61.170128,104,42.066205
41.711158,87,42.365577
68.913562,113,42.638412
62.045805,118,42.970977
66.982217,98,43.317508
57.815764,93,43.602824
82.615865,108,43.892272
44.580485,91,44.200363
37.364429,87,44.4737
72.527455,107,44.740383
85.504956,109,45.062868
133.007595,148,45.399963
58.979225,90,45.817146
32.027446,80,46.077296
77.907855,105,46.331784
60.099389,103,46.639826
71.460178,102,46.94874
35.503172,88,47.242074
51.900628,101,47.514315
40.73788,88,47.804997
56.162772,96,48.076213
57.563112,98,48.36131
59.361831,97,48.657483
56.590324,104,48.946277
54.491617,93,49.25582
115.964604,133,49.544361
102.306272,120,49.932809
59.608331,96,50.275564
136.895992,162,50.589233
88.499749,124,51.054263
181.551331,164,51.436319
22.934547,81,51.89027
33.386003,69,52.12366
74.089035,107,52.346361
56.898205,101,52.65668
57.185261,102,52.962222
63.600287,103,53.26242
52.879126,91,53.56903
51.252183,87,53.836142
78.589838,112,54.108502
51.87318,102,54.43284
100.43597,128,54.75419
68.144272,118,55.125899
47.896849,92,55.470147
61.695116,103,55.748665
53.018149,98,56.048552
74.522258,108,56.344599
114.57187,143,56.678421
94.452044,134,57.103514
46.708027,109,57.48276
74.070544,122,57.815035
35.514687,91,58.158288
73.985224,110,58.433551
311.267466,289,58.839072
53.29599,100,59.641867
165.350132,188,59.976489
54.948767,107,60.494064
253.101246,226,60.85764
86.580298,120,61.481001
271.492466,253,61.897726
199.133535,218,62.628003
52.779983,90,63.217556
69.013121,110,63.494748
81.320096,124,63.829516
209.063469,209,64.237161
49.887449,103,64.83821
114.046964,131,65.16095
117.225952,139,65.559994
31.248903,84,65.950364
131.688003,168,66.236898
49.346572,90,66.708925
189.831926,164,67.017294
175.585952,163,67.509887
131.50359,153,67.993521
136.120171,148,68.452685
24.633616,69,68.85892
47.697624,89,69.076774
74.613383,111,69.348026
161.039681,149,69.695007
162.385742,185,70.158406
173.108844,184,70.700088
41.536301,79,71.200866
49.190977,91,71.446624
67.032354,112,71.719696
262.297801,207,72.097821
49.917339,90,72.664402
203.782169,172,72.964704
358.842346,267,73.516433
51.401155,92,74.227114
45.304505,86,74.500643
63.257923,94,74.756442
78.917276,118,75.048148
99.402077,121,75.394723
51.389129,91,75.743322
84.647251,117,76.022649
62.655126,97,76.365212
84.600194,114,76.657442
149.645383,183,77.026513
189.727839,175,77.56694
749.97227,508,78.233573
199.006567,176,79.588791
84.74908,120,80.085103
172.424045,173,80.466612
175.809591,187,80.9802
111.531131,138,81.509094
238.870764,238,81.965095
319.789409,288,82.687673
132.944617,161,83.486936
383.942094,309,84.023735
114.951087,139,84.864295
55.776506,92,85.259009
665.084522,454,85.68286
137.979681,153,86.89687
61.969975,98,87.329054
72.797292,100,87.626591
1410.998371,800,88.231004
58.553712,93,90.289093
636.177252,448,90.717434
1367.29561,800,92.199763
1147.693429,701,94.528309
1285.277019,800,96.647586
767.466483,697,98.977519
124.309022,150,100.798813
789.212385,485,101.392645
301.894106,240,102.720558
142.655802,162,103.395209
187.10712,163,103.875816
1274.675437,764,104.614202
1463.014242,800,106.895301
1369.545737,800,109.260178
