#{"t_start": 1625605909.8817897, "env_id": null}
r,l,t
-401.57643,30,0.014644
-403.986955,87,0.104676
-36.447321,800,0.526777
3.365515,800,2.134451
61.658132,800,3.732227
53.621425,800,5.340665
19.00045,800,6.941418
193.899867,800,8.551861
200.70301,800,12.443847
-8.392448,800,14.071262
264.029823,800,15.679089
379.653827,800,17.282783
-300.356375,285,18.726422
425.23934,800,19.455415
423.444097,800,23.158286
379.434448,800,24.773577
391.574259,800,26.393396
-359.66354,186,27.82242
355.942814,800,28.380482
412.038974,800,29.993432
347.224737,800,31.621738
-50.540734,672,33.197639
-337.923101,168,34.856425
-299.706038,289,35.232751
-52.629344,571,35.899029
-284.379363,235,36.944109
-194.0536,458,37.475773
-282.01669,297,38.346473
-173.944521,489,39.004044
-170.097982,539,40.003288
-286.99863,283,41.012985
387.391848,800,41.746474
406.708413,800,43.360081
366.688214,800,47.264445
-241.537541,323,48.745101
-277.633167,313,49.395019
-310.074803,215,49.999104
-238.978681,303,50.459726
411.622479,800,51.22657
-318.398368,218,52.664483
-207.506076,341,53.14444
388.105262,800,53.975196
374.410349,800,55.586161
429.220913,800,59.196702
380.612652,800,60.853041
398.516619,800,62.513163
398.510132,800,64.173422
397.243249,800,65.829864
-248.123544,226,67.304147
398.865621,800,67.952618
392.526616,800,71.973131
437.284445,800,73.6409
405.836987,800,75.309671
390.991649,800,76.972542
392.502856,800,78.637498
434.53894,800,80.302901
497.981168,800,84.332514
548.429277,800,86.001876
567.875032,800,87.664568
459.071963,800,89.337114
621.896723,800,91.005923
-251.310151,217,92.486448
605.283319,800,93.123735
664.518775,800,96.95935
658.052367,800,98.626432
-160.800803,321,100.139128
682.74287,800,100.961154
675.982396,800,102.637038
721.424152,800,104.31674
701.077495,800,105.984372
693.076951,800,110.013827
687.79613,800,111.689831
699.845576,800,113.356524
-357.75937,113,114.809049
689.818283,800,115.267246
722.368321,800,116.929721
706.358356,800,118.601935
718.211808,800,122.638923
703.09434,800,124.323354
738.10107,800,125.992218
-140.158738,336,127.524242
44.104238,547,128.293613
688.837424,800,129.522518
719.086486,800,131.214348
-303.303278,164,132.70285
691.953822,800,135.62041
725.626569,800,137.315773
715.118192,800,139.018474
695.550934,800,140.707113
698.499723,800,142.374613
682.298957,800,144.039523
674.237397,800,148.083161
693.120683,800,149.755408
709.087856,800,151.438797
689.785702,800,153.116621
-186.812092,305,154.639335
701.630503,800,155.433502
723.377922,800,157.11664
722.890446,800,161.177269
683.581527,800,162.855033
684.863213,800,164.536019
712.979307,800,166.226448
-6.308274,489,167.819553
715.959726,800,168.953086
719.311914,800,170.609368
696.535095,800,174.528998
688.771732,800,176.154806
658.726733,800,177.776302
-263.229059,211,179.217023
692.359773,800,179.82538
702.803495,800,181.450462
713.820892,800,183.066423
682.211374,800,186.96107
691.769166,800,188.585341
689.394718,800,190.208199
648.334531,800,191.845274
715.140861,800,193.488648
723.517763,800,195.137532
685.920264,800,199.150558
672.313753,800,200.821852
734.279171,800,202.485222
695.964821,800,204.153604
301.811652,793,205.83218
687.749028,800,207.49889
707.912284,800,211.541095
690.169049,800,213.217475
699.847279,800,214.880228
724.807852,800,216.54212
699.280328,800,218.204872
695.047472,800,219.869818
693.12008,800,223.890018
727.408469,800,225.544814
729.535474,800,227.217878
703.248986,800,228.898999
708.870738,800,230.590487
702.201882,800,232.28832
727.72699,800,233.994987
718.732512,800,238.15554
-148.385206,334,239.690253
712.846612,800,240.550772
709.526369,800,242.244527
-400.213846,39,243.761282
648.784108,800,244.144585
697.167388,800,245.8138
697.330513,800,247.491808
682.21194,800,251.64555
697.189441,800,253.337097
689.628153,800,255.020945
-401.764376,39,256.456194
64.085596,540,256.70311
699.512623,800,257.935489
725.709932,800,259.649242
697.726542,800,263.854055
-400.706464,37,265.290445
685.652342,800,265.627872
670.606709,800,267.318894
706.520118,800,269.010898
645.575474,800,270.701601
701.665543,800,272.395694
218.66267,712,276.536435
-29.953457,467,277.990886
-182.258722,275,278.907975
654.219074,800,279.661832
637.791094,800,281.345746
682.140165,800,283.023985
666.7127,800,284.701928
679.838236,800,286.380302
682.751716,800,290.451633
700.473764,800,292.085373
697.113548,800,293.711689
681.743701,800,295.464214
-12.208006,492,296.991127
683.991504,800,298.089439
689.588806,800,302.044453
680.159479,800,303.67362
678.402769,800,305.296044
-165.48088,310,306.76295
704.756108,800,307.532082
684.182369,800,309.125396
687.816125,800,310.726096
189.513753,698,314.568545
695.556025,800,316.010036
660.502646,800,317.610201
683.027369,800,319.216366
675.784063,800,320.816849
674.778754,800,322.414114
672.018883,800,324.004781
678.011566,800,327.89277
657.092709,800,329.494258
692.642076,800,331.104889
702.658285,800,332.711279
222.748143,757,334.304718
685.75009,800,335.849021
684.569602,800,339.722358
708.043984,800,341.347159
663.043027,800,342.968534
688.414644,800,344.586796
677.925706,800,346.215076
707.928231,800,347.840397
680.219182,800,351.836761
665.149183,800,353.468216
733.717168,800,355.095206
676.617009,800,356.716975
642.540954,800,358.330546
691.895502,800,359.954884
-359.254242,111,361.365057
700.105687,800,364.083969
692.616996,800,365.710977
53.127086,551,367.254398
194.35527,694,368.411666
-400.73826,41,369.618322
699.901123,800,369.931215
678.69206,800,371.567864
686.959668,800,373.214988
696.649146,800,377.226456
