#{"t_start": 1625706338.7302382, "env_id": null}
r,l,t
-400.103907,2,0.003285
-398.959461,26,0.015846
-397.815787,8,0.08276
-391.533462,48,0.11592
-367.624109,71,0.257313
42.044622,800,0.630117
14.014897,800,2.833937
132.960652,800,5.064677
0.253785,800,7.292367
411.760204,800,9.527804
-327.664422,153,11.607001
-319.895148,138,12.032807
-378.424956,42,12.401937
181.73415,800,14.235696
-179.029691,418,16.378842
284.512357,800,17.638183
400.230893,800,19.875255
-331.195349,135,21.953636
-388.731627,152,22.339054
-398.107093,21,22.737922
-400.625199,23,22.797349
-234.04511,363,22.948233
-208.472834,422,23.97873
-166.426952,526,25.185326
371.514373,800,26.729808
394.776048,800,30.504375
486.401269,800,32.753989
437.851546,800,35.039704
485.325562,800,37.311734
507.345281,800,39.571109
-295.496614,150,41.679327
534.728123,800,42.261817
621.078189,800,45.85754
131.373355,671,48.097947
675.631164,800,50.030589
691.584924,800,52.342425
738.872637,800,54.648521
696.96399,800,56.949035
719.205808,800,60.79718
714.637109,800,63.091659
724.315514,800,65.39167
722.479574,800,67.684916
745.186235,800,69.985852
719.49169,800,72.278836
703.515905,800,74.570305
776.977002,800,78.401939
737.260177,800,80.69131
749.950433,800,82.986304
123.763208,615,85.231575
741.438399,800,87.040875
-377.814947,77,89.158582
695.591003,800,89.556547
743.300198,800,92.803241
716.268213,800,95.096246
747.302089,800,97.398791
754.063865,800,99.69851
667.614997,800,102.012893
771.538837,800,104.31731
703.051617,800,108.030009
722.892808,800,110.343902
727.798296,800,112.644991
768.886664,800,114.95794
744.911634,800,117.262657
709.196734,800,119.582241
780.811822,800,123.506481
722.029329,800,125.826747
765.128576,800,128.144419
761.805293,800,130.461403
-362.728839,59,132.613109
713.873028,800,132.970881
757.929275,800,135.299215
688.09471,800,137.629609
202.72496,639,141.472573
718.991748,800,143.370921
753.57379,800,145.700169
-343.991782,101,147.861255
766.136795,800,148.330135
746.5235,800,150.669043
756.991525,800,153.014079
783.404481,800,156.76065
745.571692,800,159.103895
642.147213,800,161.437926
715.280476,800,163.777784
758.68685,800,166.131779
788.633608,800,168.483764
-324.749968,125,170.676322
767.059512,800,172.448089
740.180248,800,174.818943
251.321545,708,177.142004
720.71162,800,179.262618
-398.004687,13,181.426749
-147.898796,266,181.527877
-400.801638,3,182.251259
749.995222,800,182.455975
-399.957255,5,184.629303
730.724627,800,184.837202
-84.522511,369,187.094058
734.628607,800,189.684167
747.715363,800,192.072293
725.482762,800,194.463926
766.738079,800,196.867352
768.390075,800,199.265422
702.342448,800,201.674385
696.371481,800,205.641231
102.009809,547,207.994955
732.364665,800,209.71859
734.695552,800,212.145356
705.550548,800,214.587084
761.915751,800,217.026746
734.027293,800,221.015447
758.956051,800,223.462032
692.117367,800,225.921617
701.382047,800,228.368778
717.767446,800,230.824296
748.469409,800,233.282392
687.48366,800,235.737192
704.365718,800,239.745795
749.533104,800,242.208994
736.441872,800,244.669501
758.653728,800,247.128363
719.220749,800,249.593167
720.905506,800,252.032422
747.117277,800,256.055021
752.373166,800,258.526725
721.158373,800,260.991152
725.096025,800,263.457824
753.026243,800,265.92465
756.958444,800,268.385965
728.308556,800,272.412448
22.023976,485,274.809474
713.816622,800,276.387629
730.885139,800,278.854923
729.841652,800,281.319026
722.369517,800,283.785745
-240.985368,173,286.117522
711.644003,800,286.804196
715.224335,800,290.833758
675.330512,800,293.310893
744.62667,800,295.771133
-294.156257,170,298.085272
730.219139,800,298.76324
727.415684,800,301.224944
734.175614,800,303.699447
719.809974,800,307.562741
764.995307,800,310.02643
-348.106814,64,312.316018
690.112433,800,312.693539
736.646506,800,315.161702
716.721267,800,317.624866
730.415432,800,320.093548
765.581952,800,324.114042
692.971892,800,326.571653
715.711461,800,329.032494
715.17879,800,331.499184
-169.768987,298,333.827658
-217.87664,204,334.735717
720.721196,800,335.513646
689.352069,800,339.507556
719.504001,800,341.964526
731.014659,800,344.43016
744.154496,800,346.897396
730.786091,800,349.366023
707.985804,800,351.833086
727.087803,800,354.299521
731.801819,800,358.190607
672.886382,800,360.655003
681.058773,800,363.115049
733.001085,800,365.585567
-399.86369,7,367.860525
725.483106,800,368.075012
698.826114,800,370.538201
752.246124,800,373.804752
-232.157919,185,376.147052
686.900605,800,376.879957
232.853176,764,379.334581
714.292879,800,381.706526
710.616829,800,384.180993
748.793941,800,386.658145
722.108543,800,390.527621
701.771341,800,393.00582
673.409091,800,395.504704
685.108187,800,397.990006
691.834552,800,400.471847
752.20359,800,402.946995
665.334645,800,406.641371
130.05838,601,409.0729
707.954646,800,410.983417
755.264357,800,413.47478
727.754678,800,415.962378
746.252137,800,418.442126
669.376085,800,420.932656
675.043982,800,424.677365
-401.491624,12,426.964174
702.970943,800,427.192337
715.642277,800,429.679191
709.28095,800,432.174191
719.261873,800,434.651208
726.206011,800,437.143466
719.473514,800,441.055618
667.272484,800,443.530161
710.305598,800,446.003373
672.313951,800,448.483166
-400.956705,8,450.763906
692.893893,800,450.985952
726.864265,800,453.456461
-366.984809,87,455.780031
746.209169,800,457.617043
710.786525,800,460.160733
725.344487,800,462.639621
715.627669,800,465.114047
713.594221,800,467.590466
705.533256,800,470.062836
645.476183,800,474.090919
712.547016,800,476.568424
712.204557,800,479.050272
706.171572,800,481.526748
741.521171,800,484.000534
54.259063,586,486.427353
721.021716,800,488.292343
699.091784,800,492.320451
