#{"t_start": 1622646119.406791, "env_id": null}
r,l,t
-399.675399,1,303.817848
-398.156118,3,303.821875
-374.328174,32,303.837739
-0.523019,5,303.917735
-346.167108,132,303.964223
-395.319891,40,304.291918
-294.859563,168,304.432825
-395.176171,23,304.840188
47.927431,800,305.104185
23.108545,16,307.065176
31.443534,22,307.11075
85.854776,104,307.192339
44.837837,38,307.458675
120.100433,161,307.594949
36.813509,58,308.005567
337.861112,367,308.244853
72.567753,86,309.166254
196.906075,191,309.427404
149.56885,209,309.949374
269.450001,365,310.556438
71.800764,52,311.468341
3.585098,3,311.597174
-359.794717,35,311.614165
138.30973,126,311.734276
77.523196,74,312.062279
4.631293,6,312.245159
0.316295,1,312.260357
238.278745,216,312.319366
23.184013,26,312.854361
126.628465,103,312.946064
90.221522,142,313.23434
86.48343,67,313.59911
-307.229423,113,313.794292
85.012463,164,314.114309
33.787561,28,314.523946
8.050342,6,314.594363
88.347024,142,314.64579
119.530171,151,315.034536
2.105017,2,315.406127
114.718764,115,315.439408
195.832503,205,315.774096
141.317995,122,316.30699
-398.949251,1,316.606986
110.424407,164,316.65197
7.930687,6,317.055903
122.257957,107,317.09876
3.934038,6,317.36394
-345.052898,80,317.398493
4.325675,4,317.596162
176.140185,228,317.667075
109.237007,92,318.248789
-0.07474,2,318.474061
97.512816,141,318.516547
107.904146,118,318.89102
-321.324741,104,319.205797
64.946324,165,319.503679
128.266437,168,319.950598
13.449309,10,320.360584
35.919053,26,320.391901
2.611386,4,320.456127
4.577498,7,320.467632
51.267189,43,320.495695
6.202148,7,320.601583
7.652405,7,320.620836
37.169209,30,320.645977
106.798631,149,320.756741
50.58863,50,321.129987
134.490412,218,321.308076
205.921207,198,321.890408
141.598283,181,322.418571
201.898194,183,322.907368
93.056986,141,323.389449
30.640215,38,323.742198
4.718551,5,323.836199
57.032921,65,323.865886
13.072369,11,324.027277
1.423173,3,324.055012
39.849554,35,324.071899
6.957405,6,324.15883
92.271501,92,324.197139
167.812849,141,324.4561
77.456055,81,324.821739
70.254628,55,325.034861
6.832433,8,325.17102
74.13616,52,325.204605
2.586312,4,325.332181
121.878636,115,325.372796
73.297491,67,325.669935
144.401086,141,325.869882
1.082493,2,326.214807
89.070172,94,326.24516
-364.323981,37,326.484246
52.687081,52,326.588459
1.230156,1,326.715918
69.465365,56,326.734328
-0.518635,6,326.872775
54.439976,47,326.900388
0.572217,2,327.015669
96.037141,89,327.043165
57.58081,60,327.275571
66.522184,49,327.435599
92.931116,60,327.571363
59.743918,65,327.735817
62.275884,58,327.910086
3.939878,4,328.053796
2.211091,3,328.064691
-343.836384,36,328.081499
241.243311,230,328.230175
182.951121,165,328.835955
70.115094,70,329.255816
109.453348,106,329.454166
0.318926,3,329.713197
4.524935,7,329.722743
102.555735,106,329.767482
51.754622,73,330.044319
148.17067,138,330.258047
27.996182,40,330.604954
39.188376,55,330.717048
183.156985,157,330.89311
30.233215,26,331.282703
206.952769,190,331.395617
376.46311,271,331.928727
49.484736,49,332.602432
195.548534,415,332.832253
7.856224,8,333.845195
-400.894866,2,333.865183
-360.882432,29,333.877872
-268.448644,98,333.974602
14.644683,24,334.219957
1.945267,2,334.279508
227.049563,160,334.325289
339.695409,265,334.785446
-178.199098,133,335.469139
559.276683,406,335.900841
3.755338,6,336.89399
4.489313,6,336.910433
38.495752,33,336.93376
179.429665,113,337.043969
9.420272,8,337.322279
-0.328867,3,337.342722
1.388238,2,337.350873
19.382253,20,337.361058
274.063216,191,337.459799
343.006019,196,337.976921
1002.947745,786,338.662395
-97.349767,165,340.622913
-345.049082,38,341.034539
-56.821128,201,341.180954
-191.257112,117,341.703811
104.821209,81,342.010618
0.448482,3,342.208771
639.179053,563,342.365338
56.638287,241,345.078146
13.606902,23,345.67183
1562.797945,800,345.935589
8.02635,7,347.887599
9.578637,9,347.907139
8.872923,7,347.93129
1501.337967,800,348.160455
-292.169287,118,350.154866
1410.699369,800,350.655095
-264.662002,88,352.63796
17.342815,22,352.859644
5.758468,5,352.915325
1479.128716,800,353.139527
5.80514,7,355.105682
1478.427863,800,355.333215
29.997133,29,357.309314
1529.821577,800,357.591031
0.054882,1,359.557401
1239.538519,665,359.733584
120.698436,69,361.378215
6.884124,5,361.548821
1474.414921,800,361.769228
