#{"t_start": 1623224135.3767831, "env_id": null}
r,l,t
0.201711,1,0.016576
0.150652,1,0.025709
0.150652,1,0.031892
0.150652,1,0.038308
0.150652,1,0.045127
0.150652,1,0.051351
0.201711,1,0.058104
0.201711,1,0.064878
0.201711,1,0.071752
0.201711,1,0.078359
0.201711,1,0.084429
0.201711,1,0.09196
0.150652,1,0.098313
0.150652,1,0.104264
0.201711,1,0.11029
0.150652,1,0.117005
0.150652,1,0.124209
0.201711,1,0.130913
0.150652,1,0.136563
0.201711,1,0.143171
0.201711,1,0.149945
0.201711,1,0.156021
0.201711,1,0.162549
0.150652,1,0.168579
0.246807,1,0.174748
0.150652,1,0.181216
0.150652,1,0.187897
0.201711,1,0.19408
0.201711,1,0.200325
0.201711,1,0.207014
0.201711,1,0.214388
0.246807,1,0.221954
0.246807,1,0.229359
0.246807,1,0.236758
0.246807,1,0.243307
0.246807,1,0.249853
0.246807,1,0.256951
0.246807,1,0.263838
0.201711,1,0.270793
0.201711,1,0.277292
0.201711,1,0.284617
0.150652,1,0.291037
0.201711,1,0.297145
0.246807,1,0.303403
0.201711,1,0.309363
0.246807,1,0.316151
0.246807,1,0.322957
0.246807,1,0.329512
0.246807,1,0.33729
0.246807,1,0.343886
0.201711,1,0.350392
0.201711,1,0.356954
0.201711,1,0.363614
0.246807,1,0.369966
0.246807,1,0.375978
0.246807,1,0.381913
0.201711,1,0.387892
0.246807,1,0.394106
0.246807,1,0.400712
0.246807,1,0.406689
0.246807,1,0.412772
0.246807,1,0.419294
0.246807,1,0.425276
0.201711,1,0.430927
0.246807,1,0.438154
0.246807,1,0.445168
0.246807,1,0.451948
0.246807,1,0.458061
0.246807,1,0.464808
0.246807,1,0.471314
0.246807,1,0.4779
0.246807,1,0.484617
0.246807,1,0.491475
0.246807,1,0.49804
0.246807,1,0.503976
0.246807,1,0.509968
0.246807,1,0.516525
0.246807,1,0.522329
0.246807,1,0.528208
0.150652,1,0.534283
0.246807,1,0.541068
0.246807,1,0.547609
0.246807,1,0.553473
0.246807,1,0.559374
0.246807,1,0.566158
0.246807,1,0.57201
0.246807,1,0.5773
0.246807,1,0.583201
0.246807,1,0.588802
0.246807,1,0.594832
0.246807,1,0.600846
0.246807,1,0.606639
0.246807,1,0.613185
0.246807,1,0.61909
0.246807,1,0.627226
0.246807,1,0.634496
0.246807,1,0.641595
0.246807,1,0.647596
0.246807,1,0.654023
0.246807,1,0.660017
0.201711,1,0.665649
0.246807,1,0.671453
0.150652,1,0.676936
0.246807,1,0.683336
0.246807,1,0.689606
0.246807,1,0.695415
0.246807,1,0.701287
0.246807,1,0.707148
0.150652,1,0.712615
0.246807,1,0.718032
0.246807,1,0.724541
0.246807,1,0.730918
0.246807,1,0.737244
0.201711,1,0.743791
0.150652,1,0.749831
0.246807,1,0.755931
0.150652,1,0.7616
0.246807,1,0.767428
0.246807,1,0.773406
0.201711,1,0.779267
0.246807,1,0.785362
0.246807,1,0.791758
0.246807,1,0.798213
0.246807,1,0.80411
0.246807,1,0.810275
0.246807,1,0.816353
0.246807,1,0.822204
0.246807,1,0.827999
0.246807,1,0.83414
0.246807,1,0.840353
0.246807,1,0.847479
0.246807,1,0.853413
0.201711,1,0.859041
0.246807,1,0.864922
0.150652,1,0.870196
0.246807,1,0.876112
0.246807,1,0.882866
0.246807,1,0.889488
0.246807,1,0.895508
0.246807,1,0.901952
0.246807,1,0.908003
0.246807,1,0.914127
0.246807,1,0.920553
0.246807,1,0.926517
0.246807,1,0.932747
0.246807,1,0.938717
0.246807,1,0.945087
0.246807,1,0.951428
0.246807,1,0.957398
0.246807,1,0.963191
0.246807,1,0.969092
0.150652,1,0.974909
0.246807,1,0.981081
0.246807,1,0.987555
0.201711,1,0.992948
0.246807,1,0.998771
0.246807,1,1.00483
0.246807,1,1.011246
0.246807,1,1.017231
0.246807,1,1.023562
0.246807,1,1.030148
0.246807,1,1.036173
0.246807,1,1.042613
0.246807,1,1.049047
0.246807,1,1.055732
0.246807,1,1.062071
0.246807,1,1.068279
0.246807,1,1.074144
0.246807,1,1.080699
0.246807,1,1.086641
0.246807,1,1.093178
0.201711,1,1.098768
0.246807,1,1.104781
0.246807,1,1.110626
0.246807,1,1.116681
0.246807,1,1.123136
0.246807,1,1.129231
0.246807,1,1.135194
0.246807,1,1.141173
0.246807,1,1.147554
0.246807,1,1.153513
0.246807,1,1.159922
0.246807,1,1.165896
0.246807,1,1.171767
0.201711,1,1.177733
0.246807,1,1.183794
0.246807,1,1.189848
0.246807,1,1.195683
0.246807,1,1.20176
0.246807,1,1.208206
0.246807,1,1.214235
0.246807,1,1.219534
0.246807,1,1.225517
0.150652,1,1.230924
0.246807,1,1.237004
0.246807,1,1.243452
0.246807,1,1.249619
0.246807,1,1.256718
0.246807,1,1.263077
0.246807,1,1.270214
0.246807,1,1.276835
0.246807,1,1.282948
0.246807,1,1.288973
0.246807,1,1.294803
0.246807,1,1.300951
0.246807,1,1.306873
0.246807,1,1.312698
0.246807,1,1.318015
0.246807,1,1.324063
0.246807,1,1.329935
0.246807,1,1.33577
0.246807,1,1.341741
0.246807,1,1.347265
0.246807,1,1.353167
0.246807,1,1.358989
0.246807,1,1.365619
0.246807,1,1.371612
0.246807,1,1.37742
0.246807,1,1.38344
0.246807,1,1.389378
0.246807,1,1.39578
0.150652,1,1.401133
0.246807,1,1.407538
0.246807,1,1.41341
0.246807,1,1.419415
0.246807,1,1.425246
0.246807,1,1.431056
0.246807,1,1.437041
0.246807,1,1.443045
0.246807,1,1.449002
0.246807,1,1.454784
0.246807,1,1.460687
0.246807,1,1.46743
0.246807,1,1.473359
0.246807,1,1.479294
0.246807,1,1.48595
0.246807,1,1.492593
0.246807,1,1.498685
0.246807,1,1.505199
0.246807,1,1.511175
0.246807,1,1.517759
0.246807,1,1.52373
0.246807,1,1.53037
0.201711,1,1.536396
0.246807,1,1.54309
0.246807,1,1.549207
0.150652,1,1.555123
0.246807,1,1.56114
0.246807,1,1.567301
0.246807,1,1.57418
0.246807,1,1.580153
0.246807,1,1.586697
0.246807,1,1.592823
0.246807,1,1.598912
0.246807,1,1.605414
0.150652,1,1.611448
0.246807,1,1.618126
0.246807,1,1.624189
0.150652,1,1.630102
0.246807,1,1.63602
0.246807,1,1.642581
0.246807,1,1.648485
0.246807,1,1.65376
0.246807,1,1.659717
0.246807,1,1.666126
0.246807,1,1.672539
0.246807,1,1.679641
0.246807,1,1.686786
0.246807,1,1.693352
0.246807,1,1.699562
0.246807,1,1.705972
0.246807,1,1.711968
0.246807,1,1.718443
0.246807,1,1.724998
0.246807,1,1.73148
0.246807,1,1.738069
0.246807,1,1.744728
0.246807,1,1.750838
0.246807,1,1.757183
0.246807,1,1.763736
0.246807,1,1.76992
0.246807,1,1.776452
0.246807,1,1.782506
0.201711,1,1.789064
0.246807,1,1.795304
0.246807,1,1.801855
0.246807,1,1.807801
0.246807,1,1.814232
0.246807,1,1.820903
0.246807,1,1.827393
0.246807,1,1.833863
0.246807,1,1.839785
0.246807,1,1.845876
0.246807,1,1.851793
0.246807,1,1.858223
0.246807,1,1.864723
0.246807,1,1.871303
0.246807,1,1.876804
0.246807,1,1.883504
0.246807,1,1.890008
0.246807,1,1.897239
0.246807,1,1.903778
0.246807,1,1.910334
0.150652,1,1.916476
0.246807,1,1.923285
0.246807,1,1.929422
0.201711,1,1.934825
0.246807,1,1.941327
0.246807,1,1.947446
0.246807,1,1.953876
0.246807,1,1.95984
0.246807,1,1.966192
0.246807,1,1.97235
0.246807,1,1.978823
0.246807,1,1.985409
0.246807,1,1.991335
0.246807,1,1.998105
0.150652,1,2.003929
0.150652,1,2.009378
0.246807,1,2.015974
0.246807,1,2.022094
0.246807,1,2.028355
0.246807,1,2.03473
0.150652,1,2.040371
0.246807,1,2.046974
0.246807,1,2.05328
0.246807,1,2.059718
0.246807,1,2.066155
0.246807,1,2.072194
0.150652,1,2.077562
0.246807,1,2.084144
0.246807,1,2.091156
0.246807,1,2.101297
0.246807,1,2.1087
0.246807,1,2.115242
0.246807,1,2.121948
0.246807,1,2.128124
0.201711,1,2.133576
0.246807,1,2.139439
0.246807,1,2.14541
0.246807,1,2.151852
0.246807,1,2.158243
0.246807,1,2.164279
0.246807,1,2.170986
0.150652,1,2.176699
0.246807,1,2.183185
0.246807,1,2.189204
0.246807,1,2.195697
0.246807,1,2.202234
0.246807,1,2.208834
0.246807,1,2.215378
0.246807,1,2.221286
0.246807,1,2.227222
0.246807,1,2.233671
0.246807,1,2.239678
0.246807,1,2.24616
0.246807,1,2.252806
0.246807,1,2.259281
0.246807,1,2.265405
0.246807,1,2.271724
0.150652,1,2.277357
0.246807,1,2.28346
0.246807,1,2.2894
0.246807,1,2.295976
0.246807,1,2.302548
0.246807,1,2.309861
0.246807,1,2.316602
0.150652,1,2.322003
0.150652,1,2.327691
0.246807,1,2.334329
0.246807,1,2.340884
0.246807,1,2.347004
0.150652,1,2.352546
0.246807,1,2.359036
0.246807,1,2.365608
0.150652,1,2.370947
0.246807,1,2.376981
0.246807,1,2.38273
0.246807,1,2.388664
0.246807,1,2.394665
0.246807,1,2.400755
0.246807,1,2.407233
0.246807,1,2.413835
0.246807,1,2.419669
0.150652,1,2.42572
0.246807,1,2.431586
0.246807,1,2.437515
0.201711,1,2.442836
0.201711,1,2.448777
0.246807,1,2.454828
0.246807,1,2.461267
0.246807,1,2.467341
0.246807,1,2.472908
0.246807,1,2.479316
0.150652,1,2.485306
0.246807,1,2.491253
0.246807,1,2.497432
0.201711,1,2.50338
0.246807,1,2.510317
0.246807,1,2.516927
0.246807,1,2.523622
0.246807,1,2.529587
0.246807,1,2.536497
0.246807,1,2.542531
0.246807,1,2.549182
0.246807,1,2.555275
0.246807,1,2.561807
0.246807,1,2.567682
0.246807,1,2.574282
0.246807,1,2.580492
0.246807,1,2.586626
0.246807,1,2.593118
0.246807,1,2.599288
0.246807,1,2.605067
0.246807,1,2.610981
0.246807,1,2.617533
0.201711,1,2.624303
0.246807,1,2.630316
0.246807,1,2.636417
0.246807,1,2.642871
0.246807,1,2.64953
0.246807,1,2.655573
0.246807,1,2.661086
0.246807,1,2.667695
0.246807,1,2.674268
0.246807,1,2.680217
0.246807,1,2.68621
0.246807,1,2.69267
0.246807,1,2.698974
0.201711,1,2.70478
0.246807,1,2.710813
0.201711,1,2.716742
0.246807,1,2.72297
0.246807,1,2.73022
0.246807,1,2.736169
0.201711,1,2.741601
0.246807,1,2.747692
0.246807,1,2.754653
0.246807,1,2.760629
0.246807,1,2.766736
0.246807,1,2.77237
0.246807,1,2.778579
0.246807,1,2.785297
0.246807,1,2.791943
0.246807,1,2.79878
0.246807,1,2.804762
0.246807,1,2.810815
0.246807,1,2.817448
0.150652,1,2.823102
0.246807,1,2.829557
0.150652,1,2.836084
0.246807,1,2.841994
0.246807,1,2.848054
0.246807,1,2.8545
0.246807,1,2.860989
0.246807,1,2.867072
0.246807,1,2.873149
0.246807,1,2.879514
0.246807,1,2.885424
0.246807,1,2.891236
0.246807,1,2.897236
0.246807,1,2.903036
0.246807,1,2.908854
0.246807,1,2.914709
0.246807,1,2.920794
0.246807,1,2.927375
0.246807,1,2.933667
0.246807,1,2.941032
0.246807,1,2.947187
0.246807,1,2.954056
0.150652,1,2.959974
0.246807,1,2.966522
0.246807,1,2.972643
0.246807,1,2.979093
0.246807,1,2.98502
0.150652,1,2.990657
0.246807,1,2.996856
0.246807,1,3.003276
0.246807,1,3.00974
0.246807,1,3.015864
0.246807,1,3.021966
0.246807,1,3.028328
0.246807,1,3.034302
0.246807,1,3.04073
0.246807,1,3.047351
0.246807,1,3.053177
0.246807,1,3.059479
0.150652,1,3.065151
0.246807,1,3.071248
0.246807,1,3.077718
0.246807,1,3.083858
0.246807,1,3.090532
0.246807,1,3.097393
0.201711,1,3.102931
0.246807,1,3.10888
0.246807,1,3.115498
0.246807,1,3.122083
0.246807,1,3.128113
0.246807,1,3.134502
0.246807,1,3.140901
0.246807,1,3.147584
0.246807,1,3.155211
0.246807,1,3.161356
0.246807,1,3.167572
0.246807,1,3.173768
0.246807,1,3.179869
0.246807,1,3.185329
0.246807,1,3.191614
0.246807,1,3.198268
0.246807,1,3.204433
0.201711,1,3.210519
0.246807,1,3.217111
0.246807,1,3.223969
0.246807,1,3.230602
0.246807,1,3.236883
0.246807,1,3.242987
0.246807,1,3.249107
0.246807,1,3.255211
0.246807,1,3.262265
0.246807,1,3.268895
0.246807,1,3.275666
0.246807,1,3.281791
0.246807,1,3.287515
0.246807,1,3.293747
0.246807,1,3.299948
0.246807,1,3.306582
0.246807,1,3.313175
0.246807,1,3.319716
0.246807,1,3.32589
0.246807,1,3.332072
0.246807,1,3.338784
0.246807,1,3.344762
0.246807,1,3.35088
0.246807,1,3.357686
0.150652,1,3.363889
0.246807,1,3.370783
0.246807,1,3.377068
0.150652,1,3.383137
0.246807,1,3.389615
0.150652,1,3.395535
0.246807,1,3.40163
0.246807,1,3.407413
0.246807,1,3.413436
0.246807,1,3.419931
0.246807,1,3.426047
0.246807,1,3.432099
0.246807,1,3.438499
0.246807,1,3.444468
0.246807,1,3.451068
0.246807,1,3.457426
0.246807,1,3.463306
0.246807,1,3.469673
0.246807,1,3.475727
0.246807,1,3.482269
0.246807,1,3.48833
0.246807,1,3.494957
0.150652,1,3.50106
0.246807,1,3.507699
0.246807,1,3.514353
0.246807,1,3.520959
0.246807,1,3.527626
0.246807,1,3.5336
0.201711,1,3.539758
0.201711,1,3.545202
0.246807,1,3.55127
0.246807,1,3.557586
0.246807,1,3.568079
0.246807,1,3.575273
0.246807,1,3.581892
0.246807,1,3.588232
0.246807,1,3.594502
0.246807,1,3.600557
0.246807,1,3.607372
0.246807,1,3.613951
0.246807,1,3.620562
0.246807,1,3.627086
0.246807,1,3.633837
0.246807,1,3.639997
0.246807,1,3.646504
0.246807,1,3.652925
0.246807,1,3.659187
0.246807,1,3.665352
0.246807,1,3.67192
0.246807,1,3.678599
0.246807,1,3.68483
0.246807,1,3.691503
0.246807,1,3.697575
0.246807,1,3.703695
0.246807,1,3.710347
0.246807,1,3.716717
0.246807,1,3.722909
0.246807,1,3.728856
0.246807,1,3.735116
0.246807,1,3.74123
0.246807,1,3.747809
0.246807,1,3.753955
0.246807,1,3.760615
0.246807,1,3.766807
0.246807,1,3.773442
0.246807,1,3.780621
0.246807,1,3.787354
0.246807,1,3.794019
0.246807,1,3.801051
0.246807,1,3.807722
0.246807,1,3.814444
0.246807,1,3.820533
0.150652,1,3.826377
0.246807,1,3.832571
0.246807,1,3.839365
0.246807,1,3.845965
0.246807,1,3.852598
0.150652,1,3.858183
0.246807,1,3.864486
0.246807,1,3.871004
0.246807,1,3.877102
0.246807,1,3.883751
0.246807,1,3.890508
0.246807,1,3.897227
0.246807,1,3.903834
0.246807,1,3.909837
0.246807,1,3.916295
0.246807,1,3.922734
0.150652,1,3.928284
0.246807,1,3.934744
0.246807,1,3.940708
0.246807,1,3.946788
0.246807,1,3.953304
0.246807,1,3.959973
0.246807,1,3.966697
0.246807,1,3.972606
0.246807,1,3.978859
0.246807,1,3.986206
0.246807,1,3.993258
0.246807,1,3.99998
0.246807,1,4.0061
0.246807,1,4.012317
0.246807,1,4.01854
0.246807,1,4.024575
0.246807,1,4.030434
0.246807,1,4.03664
0.150652,1,4.042497
0.150652,1,4.048603
0.246807,1,4.055005
0.246807,1,4.061461
0.246807,1,4.067555
0.246807,1,4.074056
0.150652,1,4.079439
0.246807,1,4.086497
0.246807,1,4.093253
0.246807,1,4.099458
0.246807,1,4.105899
0.246807,1,4.112285
0.201711,1,4.117719
0.246807,1,4.123536
0.246807,1,4.12947
0.246807,1,4.135541
0.246807,1,4.141676
0.201711,1,4.147712
0.246807,1,4.153601
0.246807,1,4.159922
0.150652,1,4.166205
0.246807,1,4.172752
0.246807,1,4.178256
0.246807,1,4.184966
0.150652,1,4.19173
0.246807,1,4.198109
0.246807,1,4.204082
0.246807,1,4.210596
0.246807,1,4.217237
0.246807,1,4.223142
0.246807,1,4.229668
0.201711,1,4.235677
0.246807,1,4.24183
0.246807,1,4.247228
0.246807,1,4.253175
0.246807,1,4.259651
0.246807,1,4.265913
0.246807,1,4.271244
0.246807,1,4.27766
0.246807,1,4.284196
0.246807,1,4.290748
0.246807,1,4.297206
0.246807,1,4.303612
0.246807,1,4.309671
0.246807,1,4.316258
0.246807,1,4.322165
0.246807,1,4.328073
0.246807,1,4.333959
0.246807,1,4.339547
0.246807,1,4.346163
0.246807,1,4.352551
0.246807,1,4.358512
0.246807,1,4.364719
0.246807,1,4.371163
0.246807,1,4.37761
0.246807,1,4.38355
0.246807,1,4.390501
0.246807,1,4.396624
0.246807,1,4.403122
0.246807,1,4.408971
0.246807,1,4.41522
0.150652,1,4.42066
0.246807,1,4.42706
0.246807,1,4.433493
0.246807,1,4.439815
0.246807,1,4.445966
0.246807,1,4.452477
0.246807,1,4.458326
0.201711,1,4.463788
0.246807,1,4.469744
0.246807,1,4.476113
0.246807,1,4.482328
0.246807,1,4.488583
0.246807,1,4.495158
0.246807,1,4.501567
0.246807,1,4.508266
0.246807,1,4.515032
0.246807,1,4.521574
0.201711,1,4.526966
0.246807,1,4.532975
0.201711,1,4.538997
0.246807,1,4.544938
0.246807,1,4.55085
0.246807,1,4.557248
0.246807,1,4.563373
0.246807,1,4.569303
0.246807,1,4.575217
0.246807,1,4.581244
0.150652,1,4.586799
0.246807,1,4.592806
0.246807,1,4.598732
0.246807,1,4.605099
0.246807,1,4.612281
0.246807,1,4.6183
0.246807,1,4.624843
0.246807,1,4.63099
0.246807,1,4.637785
0.201711,1,4.643165
0.246807,1,4.649361
0.246807,1,4.65583
0.246807,1,4.661987
0.246807,1,4.668355
0.246807,1,4.674324
0.246807,1,4.680305
0.246807,1,4.686952
0.246807,1,4.693241
0.246807,1,4.69953
0.246807,1,4.705413
0.246807,1,4.711509
0.246807,1,4.718387
0.246807,1,4.724349
0.201711,1,4.730379
0.246807,1,4.737177
0.150652,1,4.743467
0.201711,1,4.749493
0.246807,1,4.756365
0.246807,1,4.762943
0.246807,1,4.769667
0.246807,1,4.776695
0.246807,1,4.783652
0.246807,1,4.790128
0.246807,1,4.79758
0.246807,1,4.80439
0.246807,1,4.810787
0.246807,1,4.817874
0.246807,1,4.824715
0.246807,1,4.832176
0.246807,1,4.839143
0.246807,1,4.846388
0.150652,1,4.852641
0.246807,1,4.858811
0.201711,1,4.864887
0.246807,1,4.871609
0.246807,1,4.878426
0.246807,1,4.885228
0.246807,1,4.891987
0.246807,1,4.898629
0.246807,1,4.905441
0.246807,1,4.912015
0.246807,1,4.917993
0.246807,1,4.924179
0.246807,1,4.930176
0.246807,1,4.937306
0.246807,1,4.943887
0.246807,1,4.950566
0.246807,1,4.95645
0.246807,1,4.962598
0.246807,1,4.968934
0.246807,1,4.975019
0.246807,1,4.981012
0.246807,1,4.987358
0.246807,1,4.994077
0.246807,1,5.000738
0.246807,1,5.0072
0.246807,1,5.013285
0.246807,1,5.0212
0.150652,1,5.029546
0.246807,1,5.036224
0.246807,1,5.043393
0.246807,1,5.050172
0.246807,1,5.056899
0.201711,1,5.062875
0.246807,1,5.069396
0.246807,1,5.075909
0.246807,1,5.08232
0.150652,1,5.087748
0.246807,1,5.094563
0.246807,1,5.100625
0.246807,1,5.107248
0.246807,1,5.113189
0.246807,1,5.118979
0.246807,1,5.125352
0.246807,1,5.131545
0.246807,1,5.138006
0.246807,1,5.145006
0.246807,1,5.150777
0.246807,1,5.156727
0.246807,1,5.162757
0.246807,1,5.168707
0.246807,1,5.175581
0.246807,1,5.182542
0.246807,1,5.188594
0.246807,1,5.195161
0.246807,1,5.201504
0.246807,1,5.207535
0.246807,1,5.213525
0.246807,1,5.219362
0.246807,1,5.225779
0.246807,1,5.232453
0.246807,1,5.238549
0.246807,1,5.245555
0.246807,1,5.251718
0.246807,1,5.258245
0.246807,1,5.264304
0.246807,1,5.270534
0.246807,1,5.276508
0.246807,1,5.283291
0.246807,1,5.289952
0.246807,1,5.29604
0.246807,1,5.302559
0.246807,1,5.30917
0.246807,1,5.315134
0.246807,1,5.321093
0.246807,1,5.327071
0.201711,1,5.332609
0.246807,1,5.339181
0.150652,1,5.345834
0.150652,1,5.35114
0.246807,1,5.357213
0.246807,1,5.363109
0.246807,1,5.369413
0.201711,1,5.375309
0.246807,1,5.381622
0.246807,1,5.388165
0.246807,1,5.394009
0.246807,1,5.399738
0.150652,1,5.405341
0.246807,1,5.411354
0.246807,1,5.417692
0.246807,1,5.423733
0.246807,1,5.430237
0.246807,1,5.436207
0.246807,1,5.44253
0.246807,1,5.449473
0.246807,1,5.456016
0.246807,1,5.4619
0.246807,1,5.467209
0.246807,1,5.473036
0.246807,1,5.479111
0.246807,1,5.484914
0.246807,1,5.491526
0.201711,1,5.497429
0.246807,1,5.504038
0.246807,1,5.509957
0.150652,1,5.515936
0.246807,1,5.522515
0.246807,1,5.529049
0.201711,1,5.534933
0.246807,1,5.541434
0.246807,1,5.547944
0.246807,1,5.554623
0.246807,1,5.561031
0.246807,1,5.566993
0.246807,1,5.573414
0.246807,1,5.580007
0.246807,1,5.586545
0.246807,1,5.592965
0.246807,1,5.599021
0.246807,1,5.605639
0.246807,1,5.61208
0.246807,1,5.618737
0.246807,1,5.624764
0.246807,1,5.631475
0.246807,1,5.637514
0.246807,1,5.64374
0.246807,1,5.650051
0.246807,1,5.656723
0.246807,1,5.662796
0.246807,1,5.669587
0.246807,1,5.675558
0.246807,1,5.682276
0.246807,1,5.688594
0.150652,1,5.694721
0.246807,1,5.700711
0.246807,1,5.707416
0.246807,1,5.713873
0.246807,1,5.719369
0.246807,1,5.725965
0.246807,1,5.732373
0.246807,1,5.73903
0.246807,1,5.745106
0.246807,1,5.750647
0.246807,1,5.757564
0.246807,1,5.7636
0.150652,1,5.769324
0.246807,1,5.775529
0.246807,1,5.781728
0.150652,1,5.787246
0.246807,1,5.793172
0.246807,1,5.799274
0.246807,1,5.805877
0.246807,1,5.811932
0.246807,1,5.818228
0.246807,1,5.824092
0.246807,1,5.83075
0.246807,1,5.836964
0.246807,1,5.842983
0.246807,1,5.849583
0.246807,1,5.856541
0.246807,1,5.863133
0.246807,1,5.868545
0.150652,1,5.874268
0.246807,1,5.880515
0.201711,1,5.886448
0.246807,1,5.892474
0.246807,1,5.899326
0.201711,1,5.905462
0.246807,1,5.911972
0.246807,1,5.918167
0.246807,1,5.924138
0.246807,1,5.931065
0.246807,1,5.937719
0.246807,1,5.943774
0.246807,1,5.949793
0.246807,1,5.955819
0.246807,1,5.962306
0.246807,1,5.968861
0.150652,1,5.97476
0.246807,1,5.980957
0.246807,1,5.986877
0.246807,1,5.993737
0.150652,1,5.999709
0.246807,1,6.005695
0.246807,1,6.011652
0.246807,1,6.017625
0.246807,1,6.024338
0.246807,1,6.031138
0.150652,1,6.037077
0.246807,1,6.043251
0.246807,1,6.049735
0.246807,1,6.055817
0.150652,1,6.061653
0.246807,1,6.068334
0.246807,1,6.075659
0.246807,1,6.082139
0.246807,1,6.088149
0.246807,1,6.094705
0.246807,1,6.1013
0.201711,1,6.107029
0.246807,1,6.113723
0.201711,1,6.119242
0.246807,1,6.125308
0.246807,1,6.13149
0.150652,1,6.137755
0.246807,1,6.143884
0.246807,1,6.149806
0.246807,1,6.156054
0.246807,1,6.162613
0.201711,1,6.168066
0.246807,1,6.174746
0.246807,1,6.181879
0.150652,1,6.187564
0.246807,1,6.193184
0.246807,1,6.19974
0.246807,1,6.206559
0.246807,1,6.213148
0.246807,1,6.219775
0.246807,1,6.226221
0.246807,1,6.232702
0.246807,1,6.239505
0.246807,1,6.246039
0.246807,1,6.252157
0.246807,1,6.258533
0.246807,1,6.264804
0.246807,1,6.270996
0.246807,1,6.277362
0.246807,1,6.285178
0.246807,1,6.291694
0.246807,1,6.298003
0.246807,1,6.304148
0.246807,1,6.312528
0.246807,1,6.318752
0.246807,1,6.324819
0.150652,1,6.330989
0.246807,1,6.337854
