#{"t_start": 1622540635.227435, "env_id": null}
r,l,t
-390.746932,77,0.011796
-393.000869,128,0.024442
-353.350673,70,0.031425
12.308092,14,0.032963
-35.130696,800,0.112269
-393.994866,68,0.118968
-395.597803,176,0.136236
-369.965176,616,0.196046
-451.704276,608,0.251091
-398.649705,2,0.2514
-399.040556,8,0.252237
-418.112335,421,0.288865
-371.037399,179,0.305272
-296.370867,210,0.323555
-291.1926,139,0.335754
-399.563474,1,0.335942
-363.66853,178,0.352277
-383.00891,414,0.389063
-390.078466,20,0.390912
-0.062773,1,0.391095
-354.917621,202,0.409595
-401.550967,3,0.410009
-366.834561,51,0.414708
-392.490699,39,0.418427
4.463358,6,0.419113
-399.962076,4,0.419575
-393.531946,18,0.421313
-399.024889,1,0.421498
-379.216358,125,0.432693
-394.339992,49,0.437117
-419.379227,201,0.454964
-324.581865,154,0.468534
-433.48374,604,0.524569
-398.980469,2,0.52493
-335.686962,172,0.54008
-376.948804,89,0.548264
1.511703,1,0.548501
-403.087664,9,0.549479
-348.053443,306,0.577408
-389.564494,73,0.583915
-446.58905,541,0.63184
-377.311896,30,0.634579
0.755419,1,0.634768
-395.608302,651,0.693514
-397.313467,2,0.693852
2.184686,4,0.694313
10.034698,13,0.695556
-307.242554,338,0.724977
-403.895507,289,0.750834
11.959027,11,0.752057
4.05564,5,0.752646
-390.410439,384,0.786337
-388.565876,22,0.7884
17.530478,15,0.78981
124.116182,800,0.861532
11.155898,9,0.862497
-393.06533,14,0.86394
-407.892946,87,0.871674
-322.260501,308,0.89852
-425.186866,229,0.91901
-379.491643,24,0.925632
-16.174157,800,1.212273
61.196734,800,2.81089
7.156012,6,4.176867
17.690505,17,4.191836
104.698444,120,4.257969
2.730351,4,4.464802
77.601457,95,4.501907
42.974834,78,4.687721
44.520506,70,4.840688
78.120828,100,4.991033
58.35298,61,5.17848
35.40965,28,5.289019
73.974611,153,5.382427
106.486356,81,5.668593
118.715247,104,5.837678
64.604969,68,6.035654
66.918217,86,6.176343
86.326364,89,6.34597
179.469798,800,6.749016
34.420143,30,8.108342
48.983706,46,8.177972
42.003804,42,8.27009
83.132357,224,8.414084
119.768718,262,8.874002
57.082866,43,9.333792
31.886362,31,9.417504
54.969971,57,9.487044
51.006566,51,9.608016
101.699699,89,9.722582
140.276517,125,9.911392
183.49455,267,10.210387
162.80043,111,10.70012
79.538701,80,10.927851
6.041103,8,10.930512
163.538205,142,10.979373
92.45919,86,11.008952
8.774167,8,11.011766
48.304257,38,11.024148
75.388788,61,11.043993
89.335313,80,11.069895
105.723805,93,11.100205
153.805135,148,11.148541
98.300375,134,11.197957
113.635524,153,11.559489
44.568234,35,11.833308
75.20148,114,11.927585
17.213958,16,12.129704
36.313161,31,12.166651
98.254717,89,12.248067
7.261634,8,12.398523
4.309399,3,12.413218
90.239008,86,12.447012
114.592727,103,12.626547
67.986767,60,12.818239
125.437094,101,12.950643
72.435532,60,13.171423
110.46064,94,13.311525
47.215007,37,13.491218
21.316118,17,13.558757
0.643047,4,13.589142
4.892516,6,13.598029
70.448099,75,13.631237
74.384979,73,13.780866
106.958296,93,13.937995
186.440958,137,14.147841
189.846837,259,14.472869
8.766816,9,14.911528
51.738992,41,14.938754
92.867661,82,15.033749
70.324405,135,15.219059
