#{"t_start": 1625531623.4572062, "env_id": null}
r,l,t
-399.770305,26,0.015229
-400.294488,3,0.102739
-309.051891,190,0.180135
117.40551,800,1.061569
-345.210617,167,3.717563
-399.822005,13,4.275972
-376.29818,100,4.354732
93.223836,800,4.960649
-97.136271,669,7.845826
410.185512,800,10.355551
418.058563,800,13.306104
451.053821,800,18.482236
452.210677,800,21.445576
418.383559,800,24.402431
442.238183,800,27.358194
468.409444,800,30.325415
-324.595177,186,33.092792
-42.902497,570,33.916375
402.792943,800,36.127973
426.164455,800,41.321321
411.86036,800,44.32579
478.886756,800,47.328217
540.737422,800,50.3341
571.675298,800,53.336463
568.095157,800,56.34502
644.511873,800,60.044442
693.544846,800,63.047855
673.610239,800,66.067423
738.490279,800,69.080949
718.665479,800,72.09374
760.151273,800,75.113707
707.511087,800,80.357283
738.342996,800,83.380206
736.019046,800,86.400607
738.184968,800,89.420896
744.742211,800,92.492289
752.745439,800,95.508538
760.076091,800,100.748966
760.35402,800,103.76891
740.623957,800,106.795486
774.380051,800,109.806899
756.222547,800,112.839958
786.318827,800,115.855101
734.438276,800,118.877219
-166.967885,273,123.931473
766.52358,800,125.143979
763.032279,800,128.162135
756.864697,800,131.193002
714.602473,800,134.209854
763.128482,800,137.236788
716.871117,800,140.268462
713.316476,800,145.514634
730.989664,800,148.543752
734.637992,800,151.578033
755.231177,800,154.70529
757.618122,800,157.735838
632.582985,800,160.769241
737.038248,800,166.058148
686.883245,800,169.081254
746.176923,800,172.110882
639.397822,800,175.14084
763.160688,800,178.180474
735.024892,800,181.209673
716.647526,800,186.455577
751.599207,800,189.508379
741.281333,800,192.549258
732.945404,800,195.57851
725.120892,800,198.611999
755.782738,800,201.643023
720.298206,800,206.677689
755.525177,800,209.715382
-401.440387,8,212.490973
732.01961,800,212.790152
746.453842,800,215.844708
770.466389,800,218.897799
710.824307,800,221.955797
756.502245,800,227.047876
727.037838,800,230.11894
718.980788,800,233.194081
757.91345,800,236.277136
728.597931,800,239.364335
700.711467,800,242.45827
-190.121433,253,245.364012
725.906618,800,248.116409
756.118733,800,251.20869
-399.818443,17,254.043081
750.645304,800,254.375569
729.32172,800,257.483209
732.667993,800,260.591208
754.664673,800,263.705733
731.149408,800,266.822459
734.430921,800,271.542826
691.142128,800,274.66084
761.664009,800,277.790977
727.42383,800,280.923878
270.808352,717,284.032112
737.878521,800,286.863406
697.617952,800,291.766803
713.829853,800,294.911421
713.039968,800,298.03395
716.156239,800,301.154919
717.543227,800,304.277718
729.211956,800,307.444052
-53.933916,426,310.444108
762.899732,800,314.238598
746.77654,800,317.380618
746.040757,800,320.515347
-399.413347,1,323.389683
732.211275,800,323.66887
751.44343,800,326.825774
719.429009,800,329.975774
740.798696,800,334.910845
732.03463,800,338.088948
-399.655784,1,340.976279
744.094182,800,341.254377
737.604123,800,344.407628
714.648169,800,347.561648
735.040561,800,350.719915
711.578548,800,356.125941
741.846723,800,359.268965
743.938366,800,362.397871
761.014995,800,365.527586
752.34365,800,368.665915
742.134743,800,371.801797
697.909875,800,376.945946
707.419582,800,380.076353
692.185765,800,383.229186
726.411259,800,386.363815
722.545788,800,389.49247
723.696446,800,392.617907
668.593077,800,395.747734
705.957457,800,400.883584
724.796649,800,404.013188
748.682346,800,407.158007
746.656883,800,410.332365
747.895709,800,413.61775
726.818782,800,416.760672
660.512175,800,422.134289
697.490621,800,425.304945
-400.252601,1,428.182395
727.456185,800,428.4598
712.7866,800,431.609407
703.176296,800,434.753812
688.707687,800,437.960941
736.391431,800,443.34974
743.223446,800,446.491924
676.99515,800,449.629051
686.613703,800,452.76697
691.897181,800,455.903177
729.724275,800,459.03751
740.287709,800,464.422368
722.579415,800,467.566155
716.319938,800,470.70914
759.385906,800,473.974089
718.201837,800,477.117033
731.525609,800,480.254861
726.890777,800,483.387917
700.999505,800,488.733575
-289.14292,154,491.642625
715.883303,800,492.474745
-348.596444,71,495.368682
762.184941,800,495.897176
721.580183,800,499.039544
709.069375,800,502.17614
735.774169,800,505.316891
733.352667,800,510.700869
-93.24148,394,513.721232
694.540483,800,515.415386
672.317266,800,518.557658
701.505385,800,521.700024
734.301099,800,524.852295
680.433745,800,530.225078
724.821725,800,533.460346
767.970147,800,536.604008
715.628193,800,539.752526
707.595034,800,542.919489
283.4381,764,546.060114
730.393834,800,549.099148
-399.971033,7,551.971838
700.056721,800,554.287863
722.942451,800,557.42658
719.338584,800,560.559116
727.192547,800,563.725634
765.270712,800,566.865535
728.072024,800,569.99838
725.227837,800,575.172889
727.654643,800,578.329812
755.006683,800,581.496287
722.594252,800,584.667907
746.581112,800,587.82487
707.571233,800,590.980388
281.762069,798,596.058229
613.205983,800,599.207318
738.3106,800,602.374693
710.309054,800,605.567699
738.889842,800,608.724762
750.214829,800,611.881509
730.938579,800,617.049591
684.160569,800,620.219243
659.714314,800,623.384903
704.5471,800,626.543527
697.639559,800,629.703532
713.410982,800,632.855968
728.610436,800,636.01211
746.220455,800,641.408317
-399.97766,5,644.487356
-395.346443,21,644.51241
-409.7845,116,644.621634
-402.705413,30,645.007081
-398.900064,30,645.114465
-390.04462,285,645.309728
-364.592705,484,646.387881
222.10954,800,648.248103
41.899053,800,651.151779
222.157261,800,653.984787
410.790542,800,656.849365
420.459398,800,659.762192
474.461216,800,664.883765
412.942902,800,667.816993
399.472458,800,670.767125
458.50258,800,673.721168
388.498486,800,676.678428
-335.089978,184,679.437362
410.554164,800,680.331106
466.86702,800,685.527675
-271.656058,268,688.31181
500.784358,800,689.489143
-350.902202,94,692.206258
57.589514,697,692.762026
-285.477494,196,695.174357
-274.724478,244,695.960737
-379.146087,46,696.847631
567.895907,800,697.287965
-3.434928,582,700.295267
-112.383734,432,702.407515
-329.732404,122,705.365457
103.555324,731,706.026345
595.418159,800,708.797634
701.347776,800,711.77381
668.885049,800,714.687273
743.979281,800,717.7452
709.377322,800,721.109803
681.502926,800,726.259457
747.713245,800,729.250116
723.392543,800,732.193304
715.0839,800,735.14458
778.291325,800,738.188295
769.181766,800,741.341784
731.685828,800,746.504107
782.681391,800,749.445954
751.215961,800,752.393211
770.14818,800,755.351802
725.429649,800,758.307535
663.653375,800,761.266092
744.523158,800,766.463991
687.098119,800,769.41223
724.945722,800,772.364384
740.509337,800,775.331377
714.244202,800,778.451138
780.939219,800,781.600949
711.27596,800,784.601679
689.010451,800,789.580473
775.96166,800,792.637791
745.71472,800,795.61217
774.343985,800,798.593832
729.369653,800,801.561333
755.988151,800,804.541439
691.057884,800,808.432832
765.04686,800,811.39642
699.957393,800,814.384858
715.927569,800,817.361077
691.4021,800,820.340794
744.335708,800,823.321339
-401.346219,9,826.03622
734.740471,800,828.122565
718.724439,800,831.089449
729.156126,800,834.056569
773.07216,800,837.038548
-400.842113,4,839.900605
694.939613,800,840.188885
705.310544,800,843.347455
711.458363,800,848.583826
726.997262,800,851.5622
674.342139,800,854.536549
709.266823,800,857.526237
695.525751,800,860.517597
724.365838,800,863.49768
734.241592,800,866.475448
