#{"t_start": 1622023875.0933256, "env_id": null}
r,l,t
-461.326586,707,0.079851
-421.222772,358,0.115281
-424.398109,377,0.151663
-61.411449,800,0.229076
-492.751004,709,0.299702
-435.455081,182,0.317731
-1.845129,800,0.392969
-64.099069,800,0.470172
-59.827532,800,0.546206
-435.760007,158,0.561148
-437.624075,251,0.58472
-463.062792,685,0.649794
13.963034,800,0.726226
-406.504804,177,0.743378
-57.134649,800,0.820178
-435.477074,208,0.839817
-455.115859,262,0.86452
-440.44983,790,0.940199
-474.174017,659,1.046802
284.14514,800,2.910427
161.796542,800,5.16697
68.172898,800,7.444199
1.325984,800,9.723904
136.291377,800,12.002408
190.843541,800,14.272531
10.038437,800,16.554562
11.626008,800,18.82495
152.45056,342,21.003514
166.724792,277,21.969337
135.935774,271,22.751857
98.828045,198,23.515713
80.668513,202,24.083622
73.965449,175,24.662983
51.992111,125,25.157782
103.676255,190,25.533786
98.451204,189,26.084267
80.006964,174,26.629626
80.349983,153,27.125343
73.987149,155,27.567279
116.181755,182,28.025907
184.497931,267,28.569944
100.419473,168,29.307715
132.09023,191,29.796363
87.759832,157,30.338059
143.146763,192,30.803592
168.436385,208,31.359166
90.579605,160,31.938848
81.739609,136,32.396241
153.328713,198,32.803139
69.138725,131,33.355452
99.891878,170,33.744182
83.345093,136,34.223265
135.441636,189,34.63202
245.272383,267,35.187181
54.648479,128,35.920394
91.244765,151,36.296326
108.837149,168,36.733087
179.298606,204,37.224766
257.064993,283,37.821909
118.947552,164,38.597297
104.241771,158,39.072999
183.960581,233,39.550263
147.62878,208,40.213955
148.986121,209,40.815297
179.599323,230,41.42405
202.39715,250,42.086287
92.640265,154,42.771547
73.830848,147,43.210722
138.949288,180,43.651068
527.438091,493,44.238972
131.721379,172,45.561587
91.347061,150,46.047038
102.211028,160,46.483389
105.765887,158,46.94492
123.238247,165,47.405058
90.310528,156,47.877806
95.305128,162,48.336964
399.756688,376,48.849967
255.053465,281,49.894183
90.526582,153,50.669101
248.582221,269,51.139126
110.440803,167,51.879886
92.907302,166,52.356903
233.543802,255,52.855864
164.415303,207,53.569322
325.960929,324,54.188096
133.374666,195,55.062999
262.468412,286,55.63656
525.359985,442,56.470552
863.997768,619,57.750677
91.307812,151,59.400161
195.146841,222,59.851804
488.159803,383,60.533824
733.102503,507,61.648753
260.299389,279,63.033486
1332.781904,800,63.93417
1370.511669,800,66.183974
1371.370643,800,68.477055
1386.649865,800,70.791688
1339.257532,800,73.079443
1318.526803,800,75.379678
1366.37913,800,77.677139
563.535727,382,79.871915
1371.231488,800,81.07268
1308.157051,800,83.346789
465.241269,354,85.546361
230.352345,228,86.533797
1385.598495,800,87.329214
1380.846716,800,89.645035
1369.754885,800,91.953408
600.559222,424,94.186792
1418.631426,800,95.502259
1374.012274,800,97.825971
1327.751269,800,100.161298
1366.321445,800,102.468607
1354.744236,800,104.813683
1323.155812,800,107.143207
1310.944378,800,109.483387
1328.303983,800,111.844596
1217.915456,800,114.200018
1410.632231,800,116.560401
1260.494052,800,118.911505
1353.678304,800,121.255762
1322.168118,800,123.626048
1287.465404,757,125.985223
1404.469833,800,128.231269
1273.793745,800,130.610814
1219.155334,800,132.968651
1376.435837,800,135.34443
132.890143,362,137.612628
1377.709884,800,138.789564
88.588562,156,141.048481
1319.302823,800,141.659081
1304.288803,800,144.028291
1388.068215,800,146.4056
1254.719836,800,148.783127
1348.990456,800,151.167585
1350.470847,800,153.525705
247.62359,450,155.802336
1350.274396,800,157.225652
1350.666031,800,159.610867
1325.491445,800,162.011947
1321.810019,800,164.417274
1380.934951,800,166.829256
1342.90139,800,169.23743
1387.467249,800,171.664483
1382.872114,800,174.089882
1395.875432,800,176.525097
1182.601534,733,178.965463
1311.210506,800,181.235851
1329.546723,800,183.709634
1403.576557,800,186.18698
1334.839345,800,188.673126
1348.079616,800,191.167455
1380.767738,800,193.67605
1325.670347,800,196.198818
1360.373081,800,198.712948
1371.156873,800,201.237745
1306.557132,800,203.760053
1291.262772,800,206.285609
1367.147951,800,208.821718
1283.952407,800,211.355187
1259.301889,800,213.88691
220.369555,439,216.341433
1303.583522,800,217.822789
1269.381609,800,220.35335
1285.868519,800,222.901368
1309.032758,800,225.450611
-396.340611,96,227.832633
1366.10153,800,228.309033
1373.27932,800,230.848969
859.284641,557,233.345602
