#{"t_start": 1626123548.1233914, "env_id": null}
r,l,t
-19.672467,800,0.217016
-401.679607,34,2.34624
-372.594536,288,2.51991
-6.621309,800,3.486337
-1.164433,800,5.829882
285.635695,800,8.188151
265.886252,800,10.551957
-399.37141,76,12.74182
-399.61613,71,12.96604
-403.659428,113,13.189503
-394.451545,187,13.546454
-401.67975,119,14.082314
-395.958001,115,14.670101
-360.228052,171,15.02371
-361.397109,156,15.523489
380.163149,800,16.154389
-331.133615,215,18.361129
-335.721555,209,18.996876
-330.298204,221,19.620799
-354.409458,198,20.267086
-338.315303,247,20.86931
356.535579,800,21.745674
410.255629,800,24.127424
363.037329,800,26.537006
-345.398671,178,28.768905
418.298675,800,30.538153
417.971994,800,32.94016
-360.191483,167,35.162601
-267.216346,332,35.705419
428.26379,800,36.824452
-119.298338,631,39.17535
427.172283,800,41.111285
491.318422,800,43.520075
-231.297755,302,47.530707
523.674884,800,48.567819
539.272964,800,50.959106
583.631663,800,53.377122
-77.551688,446,55.706184
614.625145,800,57.144546
50.748914,610,59.516697
-90.195566,431,61.301593
-5.356978,512,64.358596
159.763446,704,65.956676
694.11926,800,68.10755
679.494335,800,70.53972
685.82005,800,72.956147
697.492577,800,75.365942
671.641745,800,79.504129
724.626471,800,81.912354
696.981728,800,84.301854
692.089429,800,86.696523
707.523519,800,89.094709
704.547938,800,91.492545
704.680243,800,93.899624
689.851502,800,98.026639
667.377263,800,100.448595
707.637182,800,102.864486
699.395229,800,105.271708
661.671386,800,107.687199
703.30251,800,110.10644
718.493457,800,114.283828
707.909455,800,116.711999
688.346532,800,119.157313
687.196954,800,121.575871
691.120778,800,124.00049
689.504982,800,126.425343
650.347731,800,130.595917
665.71935,800,133.01119
695.612017,800,135.425762
699.154371,800,137.842008
701.493412,800,140.264514
703.205783,800,142.680707
674.366416,800,146.820768
710.693692,800,149.235968
701.056933,800,151.66251
725.293792,800,154.085742
-282.798158,191,156.351022
11.275373,501,157.014386
90.850728,583,158.561561
706.520278,800,160.392269
717.922066,800,164.549652
679.282505,800,166.987582
706.482889,800,169.437303
698.24726,800,171.884445
687.811302,800,174.33024
705.815569,800,176.787824
697.977287,800,180.979394
670.333303,800,183.452635
711.719955,800,185.930686
708.779877,800,188.424876
712.164155,800,190.926847
705.323312,800,193.440917
-155.098168,319,195.834705
721.690981,800,198.69909
716.142029,800,201.220793
674.547035,800,203.748782
271.545464,755,206.273771
718.29094,800,208.691433
689.367352,800,211.247797
-379.459539,89,213.613387
717.748806,800,215.825263
708.497429,800,218.389416
704.538797,800,220.95874
682.437972,800,223.528762
734.191536,800,226.094604
715.068562,800,228.660866
694.447339,800,231.233409
695.493669,800,235.534589
710.574132,800,238.098891
699.598079,800,240.668205
702.522503,800,243.246254
694.577022,800,245.808268
706.976616,800,248.374563
694.024696,800,252.680115
717.360992,800,255.248991
723.284291,800,257.82242
706.143769,800,260.393136
705.218117,800,262.963671
709.537256,800,265.53151
695.960089,800,269.825741
642.575213,800,272.400728
705.900961,800,274.9708
718.036728,800,277.538508
676.841402,800,280.116504
680.640966,800,282.690663
681.938521,800,287.003197
687.951425,800,289.576895
674.083814,800,292.142956
690.024896,800,294.717974
701.710532,800,297.293211
655.878854,800,299.859441
664.078298,800,302.426055
702.95721,800,306.710309
100.753729,615,309.235563
669.31913,800,311.255297
667.200248,800,313.822248
675.542693,800,316.384266
683.845312,800,318.958061
221.301298,742,323.238396
-67.276393,423,325.537438
666.183506,800,326.992781
677.127347,800,329.565097
649.891374,800,332.132186
680.190291,800,334.718336
635.240697,800,337.284642
697.997695,800,341.5942
685.408535,800,344.166066
658.803696,800,346.736477
638.026955,800,349.304317
-52.312596,477,351.796004
704.836691,800,353.420563
685.513096,800,357.718449
670.761651,800,360.2892
696.082962,800,362.878322
669.611063,800,365.454072
654.065656,800,368.031037
699.757477,800,370.622175
692.070817,800,373.203559
677.896473,800,377.511636
689.963227,800,380.092113
681.241508,800,382.665991
667.19085,800,385.244196
709.244219,800,387.826283
690.379179,800,390.408974
639.757155,800,394.728131
678.337855,800,397.308844
682.63889,800,399.883169
689.224843,800,402.46065
671.59381,800,405.032844
698.14226,800,407.619114
647.659946,800,411.951999
651.464964,800,414.536772
648.688094,800,417.10883
661.285801,800,419.697926
680.289819,800,422.277706
690.955831,800,424.861053
680.866615,800,429.194121
669.041163,800,431.775757
702.04842,800,434.357868
694.590843,800,436.945241
680.501864,800,439.531099
629.407211,800,442.119309
662.123649,800,444.702229
651.008253,800,449.018989
685.94803,800,451.60557
725.713241,800,454.195193
691.348323,800,456.773673
620.643185,800,459.375198
668.183162,800,461.964866
694.427849,800,466.296672
667.111683,800,468.883881
697.287617,800,471.468866
683.200765,800,474.060398
666.716882,800,476.641692
649.729336,800,479.222495
670.848327,800,483.553584
681.393439,800,486.143193
659.533613,800,488.727442
658.508022,800,491.309412
693.863623,800,493.892285
686.153139,800,496.485376
675.044446,800,500.820658
694.523527,800,503.401389
712.825704,800,505.988827
710.954005,800,508.581101
650.134454,800,511.168505
701.931299,800,513.752794
692.527819,800,516.344563
690.061337,800,520.715649
