#{"t_start": 1622641102.3290262, "env_id": null}
r,l,t
-402.769257,42,0.017936
-392.196551,81,0.182499
-407.859617,25,0.453126
-406.775017,27,0.544323
217.170309,800,0.884552
362.852272,800,3.737536
144.900933,272,6.452265
151.296538,499,7.50814
319.460815,461,9.295299
55.382514,188,10.873541
60.890749,179,11.553266
60.970868,217,12.211679
93.231559,236,12.999002
138.937709,268,13.86257
74.098337,236,14.818675
68.827403,196,15.661286
54.906877,191,16.373957
108.062248,231,17.079373
113.529671,288,17.939391
93.47569,241,18.971806
85.868236,193,19.83479
88.51272,191,20.53814
119.857588,271,21.258529
93.838488,216,22.226266
-325.91391,151,22.990575
84.876413,199,23.557858
70.61831,160,24.268514
79.38299,187,24.863777
56.580411,136,25.52867
39.887383,107,26.017282
65.244281,154,26.423413
60.881056,124,26.974873
128.906109,216,27.457389
69.553843,159,28.233912
55.238066,134,28.808735
91.147523,183,29.31228
96.483065,156,29.977433
135.334732,169,30.553217
106.389358,163,31.17104
36.388562,111,31.75404
57.169209,124,32.166151
64.187332,149,32.629743
117.796856,149,33.17767
66.57646,114,33.714824
73.299807,139,34.140406
76.097119,128,34.646799
81.99244,129,35.117016
52.414286,109,35.58607
57.997963,119,35.988973
67.472293,111,36.422892
107.446131,129,36.836281
83.003407,108,37.300601
74.475847,119,37.700242
49.04405,93,38.129608
123.421409,133,38.481317
217.890318,225,38.997962
77.817714,117,39.790343
95.292928,141,40.226534
58.442288,115,40.733343
74.413847,121,41.158437
149.651754,151,41.612326
63.722999,116,42.155647
63.920687,113,42.582576
71.916211,117,42.999817
46.318988,99,43.42438
29.811155,75,43.783886
33.007908,80,44.061666
41.223382,86,44.359139
47.889875,95,44.678854
100.236047,136,45.040447
75.480849,113,45.537006
97.341717,134,45.960868
90.891342,110,46.445743
26.383677,67,46.840507
56.243278,104,47.100978
68.577994,106,47.485634
134.010882,152,47.892956
49.10612,105,48.437909
22.877181,65,48.813508
46.936542,85,49.060239
27.05764,74,49.367754
67.744007,114,49.651044
91.745252,117,50.074459
84.971086,122,50.507018
104.72991,139,50.964603
135.060718,165,51.484271
43.668055,85,52.067591
111.680081,112,52.389406
75.93314,109,52.800177
49.092447,86,53.195135
45.896254,82,53.513993
330.273276,263,53.878064
228.002907,229,54.837477
65.55455,118,55.649207
431.338736,311,56.143741
127.64028,144,57.23752
68.319441,107,57.754527
553.234099,357,58.230166
369.543804,277,59.518998
936.927806,789,60.708759
1227.267188,800,63.638162
1145.779954,681,66.573758
1451.313449,800,69.128767
1368.349444,800,72.098941
1408.381999,800,75.059589
365.30417,256,77.847462
1439.226496,800,78.970845
435.887686,297,81.779784
1451.938046,800,83.039294
1457.710589,800,86.013093
1408.425613,800,88.98719
144.913925,144,91.745604
729.850067,443,92.376575
24.92833,70,93.902829
1205.126623,696,94.358707
1441.460162,800,96.980835
1449.093355,800,99.955227
1364.89647,800,102.92294
1405.060378,800,105.8916
35.659402,75,108.627007
1430.425777,800,109.137466
1463.421465,800,112.111377
1474.930624,800,115.088903
1449.772164,800,118.067534
1448.909208,800,121.056158
1177.821552,663,123.999547
417.621693,489,126.416136
1409.314262,800,128.336695
1401.871016,800,131.324821
1427.94588,800,134.321255
1456.503455,800,137.303689
1410.064468,800,140.298136
1440.632287,800,143.302773
1358.117214,800,146.295943
1453.046461,800,149.278206
1113.276131,677,152.224164
1451.697528,800,154.81277
-23.394689,271,157.645874
1332.760403,800,158.830391
1362.352346,800,161.832832
93.480758,114,164.609462
-409.691453,39,165.013291
1436.660111,800,165.404213
1372.630223,800,168.295642
1355.694598,800,170.628035
865.846638,699,172.946562
1421.653782,800,175.019307
1046.728539,592,177.314948
789.839415,489,179.03149
807.390111,479,180.465738
468.648432,328,181.843954
1434.790118,800,182.929803
50.419023,93,185.11903
-400.396766,38,185.383024
881.404775,738,185.67051
1433.261446,800,187.860536
