#{"t_start": 1626419636.05281, "env_id": null}
r,l,t
-4.105433,800,0.216212
-403.958608,37,2.46835
-87.736421,800,2.778708
-20.275451,800,5.282075
-402.969795,29,7.609214
-7.885178,800,7.903573
-67.984994,800,10.439683
-431.649149,774,12.961121
-26.621323,800,17.055979
-16.921785,800,19.62201
0.20891,800,22.15682
23.922779,800,24.704526
18.817574,800,27.256814
37.175832,800,29.826945
27.391581,800,34.042169
53.29128,800,36.607052
62.458492,800,39.166541
73.982286,800,41.724841
67.909113,800,44.282553
112.49592,800,46.84907
109.7247,800,51.056234
127.930895,800,53.616813
183.587499,800,56.181857
211.674627,800,58.766272
250.850146,800,61.343435
339.553721,800,63.920885
328.01855,800,68.146257
397.249608,800,70.714267
-77.63619,645,73.241631
431.20998,800,75.352519
375.640116,800,77.923103
415.858313,800,80.478352
413.591722,800,83.029617
392.857597,800,87.239366
414.183837,800,89.787058
391.106772,800,92.34934
415.327089,800,94.90694
408.355513,800,97.465407
362.956993,800,100.018264
415.287857,800,104.233496
421.571176,800,106.79637
407.315595,800,109.371624
428.528097,800,111.929718
492.358234,800,114.495753
460.337051,800,117.077352
463.917245,800,121.294584
442.448918,800,123.870981
461.759104,800,126.461161
469.771537,800,129.03445
409.210736,800,131.610391
372.934511,800,134.19013
-186.406776,475,136.683347
407.991189,800,139.94148
396.129165,800,142.519402
406.906347,800,145.091607
382.408528,800,147.67535
430.71165,800,150.249148
444.430892,800,152.828938
492.037491,800,156.386855
-187.507102,384,158.858869
487.695155,800,160.209039
34.822194,703,162.769374
-47.573039,564,165.010129
46.858157,687,166.87029
83.661027,744,169.115103
523.452739,800,171.559481
20.783975,660,174.693188
611.378123,800,176.900394
596.880812,800,179.527741
659.710223,800,182.165001
603.306126,800,184.81893
651.296524,800,187.480118
652.27745,800,191.799897
613.27701,800,194.478659
595.218286,800,197.155712
653.065453,800,199.846204
667.556002,800,202.546181
668.839631,800,205.254411
654.599481,800,209.602041
633.998031,800,212.320799
644.009636,800,215.055748
658.325729,800,217.779655
653.174525,800,220.530564
637.223548,800,223.272206
672.510596,800,226.021038
617.079988,800,230.399261
663.102924,800,233.138733
627.563325,800,235.874129
656.14466,800,238.623231
660.88827,800,241.38631
661.032415,800,244.127821
620.147106,800,248.517619
669.506335,800,251.283675
628.455247,800,254.04659
662.254929,800,256.807539
626.195136,800,259.570426
626.609485,800,262.342288
663.374279,800,266.770144
645.986594,800,269.530703
634.457005,800,272.309125
653.692739,800,275.077226
635.375939,800,277.850354
637.2696,800,280.623185
642.162822,800,285.04056
648.418785,800,287.805346
649.608162,800,290.579627
668.543002,800,293.34416
624.873721,800,296.117841
642.753842,800,298.882733
650.135138,800,301.658082
629.85971,800,306.052298
594.931966,800,308.821988
676.943449,800,311.596358
669.331048,800,314.363643
651.573973,800,317.136537
659.19245,800,319.911659
653.963097,800,324.325585
-330.960169,178,326.935362
644.324111,800,327.720329
677.329436,800,330.49536
677.216117,800,333.279979
617.348088,800,336.052163
658.53265,800,338.820509
658.795102,800,343.232481
668.650932,800,346.000363
642.634133,800,348.776106
618.351433,800,351.554509
621.951547,800,354.328894
625.161324,800,357.102307
652.740335,800,361.52353
683.445539,800,364.298455
661.545423,800,367.075221
681.289482,800,369.866553
653.1708,800,372.653795
662.438554,800,375.432693
653.971207,800,379.874595
660.708451,800,382.667797
665.605596,800,385.465473
695.868732,800,388.256027
617.657949,800,391.055885
672.851322,800,393.842959
643.120944,800,396.635748
653.245774,800,401.072618
644.809341,800,403.861835
655.81415,800,406.649242
650.976077,800,409.440595
677.326406,800,412.214267
640.035982,800,415.005318
653.019732,800,419.436623
683.762017,800,422.233698
684.072784,800,425.041613
642.382614,800,427.830224
618.764397,800,430.621229
652.548847,800,433.4147
657.658263,800,437.83454
658.09836,800,440.631062
690.705036,800,443.420192
671.141565,800,446.202479
632.210191,800,448.99011
658.526187,800,451.780322
667.066228,800,456.211802
660.688658,800,459.005186
637.293187,800,461.796958
664.392185,800,464.586252
682.274883,800,467.378807
650.912492,800,470.168943
661.293095,800,472.962064
661.869187,800,477.381449
642.352215,800,480.175403
669.649618,800,482.963696
657.229502,800,485.764385
691.567113,800,488.557625
658.693762,800,491.35133
649.262519,800,495.790473
681.890582,800,498.580669
681.394756,800,501.376781
641.374317,800,504.164333
654.499523,800,506.949583
649.197502,800,509.731045
662.339543,800,514.170861
645.686889,800,516.959011
686.78159,800,519.763711
681.114877,800,522.556728
645.160562,800,525.346229
681.379941,800,528.141808
660.033885,800,532.588079
663.01286,800,535.376842
667.842461,800,538.166545
679.306468,800,540.970779
689.74806,800,543.76805
661.691895,800,546.561476
678.882817,800,549.352813
684.222393,800,553.791115
