#{"t_start": 1634156294.941984, "env_id": null}
r,l,t
-419.233486,169,0.300578
-535.174877,785,2.62197
-66.25039,800,6.770196
-55.120187,800,11.418461
0.001565,800,16.521263
-0.01269,800,21.495469
-1.982605,800,26.248069
-22.159268,800,48.317149
0.509805,800,53.122992
3.681454,800,58.214673
2.689214,800,63.22883
1.384169,800,68.151081
3.073651,800,73.477186
1.455811,800,102.286824
2.373932,800,107.43262
0.374088,800,112.754808
1.184854,800,117.540394
-2.892628,800,122.521932
-4.676709,800,127.796495
-7.020138,800,151.22178
5.225702,800,156.246444
-0.81625,800,161.405192
-0.095307,800,166.123769
7.121668,800,171.474502
5.419374,800,176.321877
6.477712,800,199.982267
3.521656,800,205.073877
5.100938,800,210.035641
1.771989,800,214.8891
6.848765,800,219.912421
1.981027,800,224.976854
2.048455,800,230.304946
-1.547347,800,252.026988
0.416991,800,257.556586
-0.546708,800,263.07438
2.269728,800,268.513396
5.64781,800,273.584112
5.271275,800,278.754496
5.393859,800,305.718546
8.18644,800,310.530525
8.405442,800,315.741224
7.482686,800,321.107155
7.150156,800,326.227815
7.403585,800,331.43421
0.747265,800,356.581578
8.256354,800,361.758736
7.822388,800,366.763521
6.944961,800,371.589068
7.913666,800,376.693965
7.177161,800,381.653859
-0.528131,800,407.93498
9.153301,800,412.839157
8.455215,800,417.785176
0.001867,800,422.549401
-0.048198,800,427.386676
11.276701,800,432.408274
11.472438,800,437.273276
11.375344,800,460.86371
11.875857,800,465.710453
12.585614,800,470.637604
14.109118,800,475.596013
9.641641,800,480.322494
8.286446,800,485.263582
9.502888,800,505.637867
10.209665,800,510.388661
8.888635,800,515.557059
7.970095,800,520.786915
10.336154,800,525.789307
11.301068,800,530.988199
12.127901,800,554.331827
12.905533,800,559.383751
13.736486,800,564.330498
13.735982,800,569.283478
14.113076,800,574.309548
14.407697,800,579.369175
12.974392,800,602.63986
11.820691,800,607.678118
14.407318,800,612.789418
11.494532,800,618.034863
14.082945,800,623.072697
15.816413,800,628.084938
4.748927,800,633.097684
16.030313,800,654.516523
14.483936,800,659.723767
13.947296,800,664.981279
14.899912,800,670.322816
15.116234,800,675.667957
0.035669,800,681.122943
13.15852,800,705.329299
15.009121,800,710.424966
16.516597,800,715.448529
14.061815,800,720.517584
15.664274,800,725.613164
14.448323,800,730.767478
-434.335351,666,744.399434
16.44045,800,748.895744
14.716765,800,753.914401
17.412555,800,758.937275
9.038412,800,763.840642
17.866144,800,769.064287
17.910727,800,790.376552
1.644048,800,795.367916
13.699756,800,800.878642
14.62191,800,805.895085
15.256514,800,810.898791
-0.099454,800,815.945125
17.399583,800,821.106441
16.340781,800,841.765458
17.427523,800,847.195341
14.639008,800,852.681363
14.982568,800,858.14172
14.820838,800,863.675073
16.749209,800,869.162445
17.04648,800,890.055689
16.015469,800,895.266623
16.983078,800,900.3227
16.362407,800,905.212338
18.307372,800,910.249497
18.888142,800,915.221192
17.339152,800,936.28989
18.512857,800,941.328068
16.843926,800,946.462008
17.765212,800,951.558954
18.713173,800,956.502226
19.091272,800,961.599495
17.16187,800,981.911729
17.986902,800,986.825321
18.710132,800,991.809312
17.569682,800,996.691617
17.514235,800,1001.734306
16.940404,800,1006.719599
18.440767,800,1011.803436
18.377066,800,1032.936221
19.669045,800,1037.954671
19.852391,800,1043.104266
17.296165,800,1048.164784
19.552397,800,1053.631239
16.744337,800,1058.969999
19.789897,800,1078.745426
17.063699,800,1084.174844
21.053097,800,1089.232952
20.844485,800,1094.1917
20.812826,800,1099.129426
22.268952,800,1104.050142
20.123371,800,1122.967242
18.817472,800,1127.834676
19.735949,800,1132.673553
18.65399,800,1137.552582
21.65529,800,1142.408306
17.195674,800,1147.443639
19.200134,800,1166.139377
20.765887,800,1170.977786
21.392331,800,1175.947242
18.654906,800,1181.037221
22.451852,800,1185.931359
20.4716,800,1190.961971
21.867449,800,1195.816863
18.798488,800,1214.163461
19.867958,800,1219.152415
19.917289,800,1224.057281
21.007279,800,1228.936277
21.913174,800,1233.779783
17.352605,800,1238.856147
21.863576,800,1257.329938
21.109064,800,1262.162434
20.501978,800,1267.15345
19.718966,800,1272.173418
21.985326,800,1276.996459
22.799797,800,1281.863335
18.610971,800,1301.19383
22.850169,800,1306.056905
20.718362,800,1311.270483
19.131531,800,1316.368332
21.385369,800,1321.281205
19.263942,800,1326.384758
22.538107,800,1343.23606
20.048859,800,1348.290396
21.09623,800,1353.29328
21.366904,800,1358.153447
21.861467,800,1363.680307
20.276539,800,1368.838322
22.304258,800,1374.081005
20.745293,800,1392.919369
20.743473,800,1397.987265
20.427325,800,1402.846898
20.282565,800,1407.928493
20.568521,800,1412.922984
19.875204,800,1417.989782
21.592142,800,1435.064716
