#{"t_start": 1636533573.0886364, "env_id": null}
r,l,t
-403.018531,30,0.03171
-433.572686,451,0.648437
12.709603,800,2.756225
-52.249532,800,5.869201
2.080648,800,8.890223
-3.253029,800,11.914871
134.700962,800,14.949847
109.179051,800,26.641228
222.239373,800,29.725979
144.284492,800,32.786443
120.387714,800,35.834146
86.994217,800,38.842908
74.664893,800,41.909589
88.637061,800,52.433886
266.435717,800,55.495867
319.770823,800,58.567424
370.344659,800,61.560844
419.307491,800,64.607938
363.493424,800,67.703589
408.488217,800,70.877343
361.309585,800,83.112719
368.982101,800,86.345377
422.555132,800,89.499222
441.065823,800,92.672357
411.256823,800,95.777607
417.88675,800,98.875715
416.282213,800,110.384039
402.833138,800,113.48316
424.119339,800,116.57089
463.503165,800,119.660919
487.334027,800,122.782954
447.174854,800,125.861841
483.357947,800,137.20975
471.913398,800,140.368397
502.15034,800,143.643096
500.914573,800,146.789171
500.780981,800,150.032437
558.528081,800,153.228018
544.94747,800,166.397078
627.523976,800,169.693933
619.477371,800,173.046445
582.63169,800,176.33082
599.444405,800,179.6207
604.341816,800,182.878886
638.92099,800,186.194048
631.178645,800,199.369584
594.930572,800,202.687598
647.551659,800,206.033649
620.125954,800,209.348981
597.631442,800,212.691604
638.600056,800,216.073169
581.437455,800,229.246193
641.100374,800,232.605059
648.271804,800,235.957874
599.425556,800,239.298031
625.394612,800,242.658656
618.14052,800,246.049783
637.267464,800,259.075658
669.709467,800,262.452408
594.172521,800,265.765185
638.263528,800,269.160158
601.8496,800,272.636567
581.043402,800,276.237948
631.664401,800,289.72469
630.920782,800,293.004818
636.400104,800,296.288024
604.912093,800,299.746538
612.570091,800,303.234147
626.039755,800,306.667458
621.433419,800,310.071748
639.307536,800,323.709684
627.320531,800,327.062101
620.672043,800,330.422533
637.248855,800,333.789248
588.619105,800,337.142315
627.660955,800,340.422894
608.297881,800,352.421561
596.48298,800,355.731543
616.174578,800,359.042894
627.388414,800,362.518037
639.609628,800,365.998144
649.695724,800,369.466368
595.046632,800,382.360107
-159.719309,452,385.349163
628.85231,800,387.729216
600.12733,800,391.179625
606.275054,800,394.723405
-153.420872,406,397.693298
605.740049,800,399.947956
-146.904875,430,402.949512
-80.341593,497,415.290896
551.621909,800,417.806286
622.605995,800,421.307044
627.697521,800,424.818196
570.623553,800,428.314315
634.755612,800,431.86404
646.58857,800,445.047316
143.998522,729,448.533115
625.653955,800,451.890361
645.053347,800,455.509476
629.748191,800,459.115599
150.972226,793,462.699541
602.415503,800,466.163057
615.002414,800,480.768063
640.002344,800,484.348428
634.305309,800,487.983179
622.805781,800,491.517649
603.072667,800,495.091798
621.270679,800,498.548163
619.065469,800,514.052549
620.262444,800,517.570437
623.300762,800,521.082524
616.102446,800,524.688203
611.536087,800,528.210123
609.26226,800,531.834001
594.209176,800,546.994259
642.806299,800,550.702279
653.407697,800,554.223922
610.163151,800,557.866464
635.816731,800,561.515429
623.537738,800,565.249429
582.277507,800,568.871871
647.011716,800,582.737802
620.693449,800,586.315035
577.486974,800,589.84357
606.498218,800,593.446676
621.999873,800,597.007128
627.015838,800,600.573344
610.710805,800,615.121477
640.422611,800,618.588962
603.707912,800,622.060165
606.46912,800,625.536604
607.720827,800,629.011268
633.27084,800,632.486323
660.747317,800,646.412918
659.894233,800,649.874245
591.607086,800,653.358143
633.143358,800,656.939954
620.181065,800,660.433331
594.27267,800,663.883546
612.972004,800,677.773005
598.820218,800,681.28233
618.74509,800,684.893963
583.449342,800,688.394182
608.638357,800,691.906503
568.780395,800,695.36872
588.768751,800,698.888447
627.534695,800,713.865104
596.348677,800,717.661217
615.173407,800,722.557343
607.668209,800,727.713185
587.375338,800,732.651708
603.195809,800,737.705191
609.511933,800,755.710847
592.55651,800,760.641664
628.004585,800,765.66064
646.965005,800,770.712702
584.878725,800,775.629375
638.786635,800,780.726676
566.965783,800,799.590311
613.80622,800,804.52195
566.188663,800,809.471522
615.290889,800,814.39941
608.895911,800,819.269814
594.640687,800,824.207132
621.753792,800,847.650668
596.899836,800,852.633202
593.587916,800,857.532449
589.230351,800,862.464788
605.300723,800,867.449759
602.165864,800,872.453605
626.533525,800,877.405165
607.924965,800,894.109798
625.462066,800,899.184957
603.1561,800,904.072835
607.395874,800,909.095647
621.047419,800,914.25592
580.797211,800,919.124364
613.986569,800,941.566134
609.16961,800,946.608888
618.968338,800,951.563813
597.125983,800,956.64672
636.874405,800,1251.036028
594.565695,800,1256.582014
635.926271,800,1274.577934
610.127681,800,1279.499624
578.00518,800,1284.419881
619.146256,800,1289.391521
563.571953,800,1294.30033
568.49161,800,1299.201223
616.021251,800,1318.423159
