#{"t_start": 1636547773.37117, "env_id": null}
r,l,t
-403.091479,30,0.03217
-446.864152,585,0.778059
-408.432601,78,2.555127
3.346617,800,3.660643
32.189816,800,6.879044
43.240874,800,10.0356
121.649996,800,13.295993
-333.274224,731,16.239076
30.304729,800,28.255056
98.624794,800,31.364075
118.152222,800,34.547866
129.123893,800,37.70543
95.481726,800,40.92134
222.172006,800,44.020515
216.430126,800,56.493087
229.46458,800,59.685496
280.06201,800,62.850964
120.543739,800,66.133874
385.578516,800,69.298224
374.397202,800,72.563061
383.385837,800,84.611409
378.801819,800,87.698001
397.736438,800,90.811109
386.530267,800,93.844351
404.530703,800,96.928597
385.437447,800,99.967047
390.385546,800,103.112825
423.420661,800,114.547796
409.426082,800,117.706005
387.726872,800,120.812734
378.791581,800,123.924951
406.667216,800,127.025423
424.708176,800,130.173923
390.905707,800,142.081939
404.99465,800,145.30116
381.312268,800,148.495435
392.709652,800,151.641716
442.67429,800,154.668853
400.662853,800,157.677718
422.289367,800,168.685547
408.359829,800,171.834678
434.968898,800,174.947601
462.359244,800,178.155619
383.754022,800,181.159698
414.653754,800,184.133136
398.136787,800,194.522343
418.156049,800,197.47866
408.294336,800,200.405895
424.598164,800,203.378718
430.43909,800,206.475611
445.074474,800,209.515754
426.002134,800,212.578527
436.892519,800,223.746524
460.100606,800,226.755937
469.652259,800,229.828708
502.164307,800,232.980552
465.108962,800,236.076214
505.863464,800,239.379723
500.397211,800,251.32513
514.2232,800,254.41046
545.357582,800,257.559597
585.954002,800,260.72882
546.883142,800,263.872433
622.689264,800,267.184279
599.871471,800,281.698685
633.967609,800,284.994619
601.802229,800,288.290799
600.876287,800,291.633082
605.908078,800,295.056169
646.648709,800,298.406213
628.806606,800,311.477105
657.428202,800,315.028399
636.594047,800,318.375822
646.699054,800,321.661473
636.095294,800,324.93784
635.626313,800,328.283294
638.462778,800,331.494318
632.874177,800,344.060597
586.664753,800,347.322403
630.992792,800,350.602519
649.02306,800,353.89098
616.275136,800,357.169395
595.863136,800,360.446452
582.451589,800,373.407719
628.705199,800,376.796942
597.808634,800,380.100496
607.788642,800,383.379824
641.914865,800,386.676009
634.00166,800,390.012307
615.826758,800,402.176752
623.907849,800,405.487672
628.83994,800,408.791227
596.89708,800,412.084454
605.971482,800,415.391164
610.923278,800,418.705424
650.592511,800,432.110542
608.876338,800,435.442724
635.591116,800,438.745613
640.998488,800,442.063292
648.362239,800,445.362578
615.027204,800,448.677428
601.356443,800,452.033785
609.729001,800,464.65077
653.186727,800,467.987262
600.135535,800,471.33055
588.349228,800,474.677192
630.675902,800,478.038999
575.138138,800,481.386223
-256.5258,344,484.142438
634.835121,800,495.265988
632.625445,800,498.583945
598.829565,800,501.89983
600.359401,800,505.2704
623.16543,800,508.593903
638.150303,800,511.929902
616.052812,800,524.93242
648.199562,800,528.3366
630.121518,800,531.678815
635.981536,800,535.029503
625.628408,800,538.384974
617.637175,800,541.720883
630.290158,800,554.671774
579.456785,800,557.968132
639.209249,800,561.301786
651.272325,800,564.641877
635.248709,800,568.103073
632.827736,800,571.517285
606.61148,800,585.302596
589.775323,800,588.803379
642.35213,800,592.264807
566.815924,800,595.77715
613.456649,800,599.19866
646.237782,800,602.968416
621.593485,800,606.440925
636.217753,800,620.014542
610.584134,800,623.733559
583.979775,800,627.092688
645.593939,800,630.339356
606.177463,800,633.600741
590.427233,800,636.948534
562.797295,800,650.892402
614.642844,800,654.369597
624.180049,800,657.807636
602.29052,800,661.223395
609.514934,800,664.697994
615.811429,800,668.292392
632.515292,800,680.394665
615.30126,800,683.947368
639.044459,800,687.536142
661.443571,800,690.993728
640.513993,800,694.620179
659.401562,800,698.102905
639.082375,800,715.123599
610.961654,800,718.59508
631.22189,800,722.21389
632.209755,800,725.699394
619.293055,800,729.2709
607.154159,800,732.776713
621.962645,800,736.238197
644.798108,800,748.090002
636.905418,800,751.585924
635.866498,800,755.002926
623.653455,800,758.593076
618.828702,800,762.114919
597.520424,800,765.635861
628.904046,800,779.167927
643.513572,800,782.959351
599.457645,800,786.46676
633.185374,800,790.095083
628.88314,800,793.736179
618.914819,800,797.258909
614.470763,800,810.798628
647.358566,800,814.411975
611.762004,800,818.021763
617.446842,800,821.620163
639.30576,800,825.225602
636.968072,800,828.749892
626.986255,800,844.3644
600.225482,800,847.889128
636.468553,800,851.517855
625.047929,800,855.000339
653.937574,800,858.690835
642.135092,800,862.199319
620.177825,800,865.472354
653.852347,800,880.098626
604.264527,800,883.477379
625.586126,800,886.817019
655.857639,800,890.171907
635.385609,800,893.506392
596.629284,800,897.034856
610.753975,800,913.06582
